date,inpatient_beds_in_use,inpatient_beds_available
2020-08-14,6656,1346
2020-08-13,6605,1389
2020-08-12,6533,1459
2020-08-11,6476,1517
2020-08-10,6323,1657
2020-08-09,6398,1585
2020-08-08,6455,1523
2020-08-07,6554,1430
2020-08-06,6658,1384
2020-08-05,6689,1366
2020-08-04,6532,1513
2020-08-03,6487,1545
2020-08-02,6545,1462
2020-08-01,6605,1397
2020-07-31,6636,1324
2020-07-30,6612,1257
2020-07-29,6559,1323
2020-07-28,6543,1335
2020-07-27,6386,1484
2020-07-26,6633,1263
2020-07-25,6613,1289
2020-07-24,6636,1266
2020-07-23,6678,1226
2020-07-22,6727,1177
2020-07-21,6644,1245
2020-07-20,6636,1319
2020-07-19,6812,1120
2020-07-18,6804,1140
2020-07-17,6769,1100
2020-07-16,6826,1055
2020-07-15,6872,1008
2020-07-14,6823,1053
2020-07-13,6721,1155
2020-07-12,6896,987
2020-07-11,6791,1102
2020-07-10,7025,946
2020-07-09,6955,993
2020-07-08,6899,1057
2020-07-07,6784,1152
2020-07-06,6472,1457
2020-07-05,6428,1239
2020-07-04,6443,1237
2020-07-03,6562,1122
2020-07-02,6538,1135
2020-07-01,6602,1065
2020-06-30,6532,1140
2020-06-29,6488,1180
2020-06-28,6445,1209
2020-06-27,6515,1149
2020-06-26,6623,1111
2020-06-25,6674,1097
2020-06-24,6645,1132
2020-06-23,6705,1120
2020-06-22,6469,1353
2020-06-21,6398,1376
2020-06-20,6489,1296
2020-06-19,6598,1238
2020-06-18,6633,1202
2020-06-17,6528,1155
2020-06-16,6531,1146
2020-06-15,6231,1437
2020-06-14,6614,1335
2020-06-13,6664,1290
2020-06-12,6468,1237
2020-06-11,6063,1214
2020-06-10,6493,1276
2020-06-09,6359,1293
2020-06-08,5594,1594
2020-06-07,5660,1506
2020-06-06,5682,1485
2020-06-05,5714,1447
2020-06-04,5545,1609
2020-06-03,6228,1339
2020-06-02,6031,1543
2020-06-01,5720,1842
2020-05-31,5761,1798
2020-05-30,5875,1702
2020-05-29,6002,1694
2020-05-28,6084,1575
2020-05-27,5864,1782
2020-05-26,5589,2069
2020-05-25,5481,2169
2020-05-24,5721,1884
2020-05-23,5743,1861
2020-05-22,5877,1754
2020-05-21,5840,1769
2020-05-20,5843,1761
2020-05-19,5717,1922
2020-05-18,5479,2159
2020-05-17,5685,1950
2020-05-16,5683,1944
2020-05-15,5646,1978
2020-05-14,5757,1910
2020-05-13,5702,1948
2020-05-12,5633,1983
2020-05-11,5431,2206
2020-05-10,5493,2083
2020-05-09,5580,2024
2020-05-08,5608,2022
2020-05-07,5485,2131
2020-05-06,5377,2142
2020-05-05,5276,2263
2020-05-04,5065,2486
2020-05-03,5121,2379
2020-05-02,5173,2322
2020-05-01,5232,2245
2020-04-30,5180,2347
2020-04-29,5319,2036
2020-04-28,5217,2166
2020-04-27,4935,2328
2020-04-26,5062,2192
2020-04-25,5084,2133
2020-04-24,5038,2204
2020-04-23,4964,2280
2020-04-22,5075,2165
2020-04-21,4937,2299
2020-04-20,4793,2401
2020-04-19,4733,2354
2020-04-18,4708,2386
2020-04-17,4767,2357
2020-04-16,4678,2452
2020-04-15,4626,2482
2020-04-14,4653,2639
2020-04-13,4634,2578
2020-04-12,4497,2402
2020-04-11,4493,2414
2020-04-10,4435,2355
2020-04-09,4482,2360
2020-04-08,4534,2396
2020-04-07,4765,2347
2020-04-06,4793,2378
2020-04-05,4767,2300
2020-04-04,4845,2227
2020-04-03,4748,2335
2020-04-02,4939,2254
2020-04-01,4756,2147
2020-03-31,4347,2175
2020-03-30,4317,2214
2020-03-29,4056,2240
2020-03-28,3976,1970
2020-03-27,4053,1913
2020-03-26,3815,1828
