date,icu_beds_in_use,icu_beds_available
2020-08-15,1368,340
2020-08-14,1331,370
2020-08-13,1367,337
2020-08-12,1373,340
2020-08-11,1378,351
2020-08-10,1367,361
2020-08-09,1408,322
2020-08-08,1440,289
2020-08-07,1447,293
2020-08-06,1463,274
2020-08-05,1442,297
2020-08-04,1441,307
2020-08-03,1443,303
2020-08-02,1450,292
2020-08-01,1480,255
2020-07-31,1476,255
2020-07-30,1480,246
2020-07-29,1478,248
2020-07-28,1451,263
2020-07-27,1433,272
2020-07-26,1465,240
2020-07-25,1472,234
2020-07-24,1456,243
2020-07-23,1442,249
2020-07-22,1471,224
2020-07-21,1465,230
2020-07-20,1448,252
2020-07-19,1480,213
2020-07-18,1487,204
2020-07-17,1506,189
2020-07-16,1516,177
2020-07-15,1499,187
2020-07-14,1523,172
2020-07-13,1498,197
2020-07-12,1499,175
2020-07-11,1511,178
2020-07-10,1556,174
2020-07-09,1490,187
2020-07-08,1497,181
2020-07-07,1537,145
2020-07-06,1481,167
2020-07-05,1450,188
2020-07-04,1464,178
2020-07-03,1473,171
2020-07-02,1520,156
2020-07-01,1483,189
2020-06-30,1495,187
2020-06-29,1435,224
2020-06-28,1499,211
2020-06-27,1481,218
2020-06-26,1459,222
2020-06-25,1480,209
2020-06-24,1495,198
2020-06-23,1472,200
2020-06-22,1412,266
2020-06-21,1393,269
2020-06-20,1418,246
2020-06-19,1405,257
2020-06-18,1396,268
2020-06-17,1407,259
2020-06-16,1385,276
2020-06-15,1307,334
2020-06-14,1347,291
2020-06-13,1313,344
2020-06-12,1317,347
2020-06-11,1328,337
2020-06-10,1285,373
2020-06-09,1302,355
2020-06-08,1258,400
2020-06-07,1192,363
2020-06-06,1203,364
2020-06-05,1198,369
2020-06-04,1193,375
2020-06-03,1302,374
2020-06-02,1279,395
2020-06-01,1253,419
2020-05-31,1264,408
2020-05-30,1279,385
2020-05-29,1260,405
2020-05-28,1262,411
2020-05-27,1244,418
2020-05-26,1256,405
2020-05-25,1235,427
2020-05-24,1259,406
2020-05-23,1296,358
2020-05-22,1296,364
2020-05-21,1265,387
2020-05-20,1257,398
2020-05-19,1234,429
2020-05-18,1221,442
2020-05-17,1208,451
2020-05-16,1216,454
2020-05-15,1200,469
2020-05-14,1189,451
2020-05-13,1198,452
2020-05-12,1162,482
2020-05-11,1117,529
2020-05-10,1185,460
2020-05-09,1160,487
2020-05-08,1159,489
2020-05-07,1160,488
2020-05-06,1126,521
2020-05-05,1110,541
2020-05-04,1083,567
2020-05-03,1104,544
2020-05-02,1095,552
2020-05-01,1095,546
2020-04-30,1108,546
2020-04-29,1146,500
2020-04-28,1084,563
2020-04-27,1093,578
2020-04-26,1143,519
2020-04-25,1141,520
2020-04-24,1151,507
2020-04-23,1112,532
2020-04-22,1197,465
2020-04-21,1160,508
2020-04-20,1085,566
2020-04-19,1052,595
2020-04-18,1102,545
2020-04-17,1027,620
2020-04-16,995,650
2020-04-15,1032,585
2020-04-14,993,616
2020-04-13,1027,561
2020-04-12,1016,555
2020-04-11,1040,542
2020-04-10,1029,557
2020-04-09,959,607
2020-04-08,992,577
2020-04-07,978,599
2020-04-06,1034,549
2020-04-05,1012,563
2020-04-04,1033,538
2020-04-03,1048,525
2020-04-02,1037,517
2020-04-01,1066,498
2020-03-31,1096,467
2020-03-30,1065,477
2020-03-29,969,514
2020-03-28,1003,474
2020-03-27,989,461
2020-03-26,741,458
