date,ED_covid,ICU_covid,inpatient_beds_covid,ventilators_covid,deaths,hospitalizations,icu_beds_in_use,icu_beds_available,inpatient_beds_in_use,inpatient_beds_available,vents_in_use,vents_available
2020-08-17,960.0,427.0,1167.0,260.0,1.0,,1362.0,348.0,6511.0,1486.0,629.0,1299.0
2020-08-16,990.0,430.0,1182.0,266.0,1.0,10.0,1356.0,345.0,6521.0,1469.0,619.0,1339.0
2020-08-15,955.0,417.0,1208.0,267.0,2.0,9.0,1368.0,340.0,6465.0,1528.0,643.0,1317.0
2020-08-14,1053.0,442.0,1282.0,284.0,8.0,14.0,1331.0,370.0,6656.0,1346.0,645.0,1317.0
2020-08-13,1037.0,473.0,1359.0,324.0,5.0,39.0,1367.0,337.0,6605.0,1389.0,689.0,1237.0
2020-08-12,1026.0,497.0,1411.0,334.0,7.0,95.0,1373.0,340.0,6533.0,1459.0,708.0,1227.0
2020-08-11,927.0,519.0,1469.0,328.0,11.0,114.0,1378.0,351.0,6476.0,1517.0,679.0,1245.0
2020-08-10,949.0,510.0,1574.0,346.0,20.0,104.0,1367.0,361.0,6323.0,1657.0,692.0,1232.0
2020-08-09,987.0,506.0,1575.0,366.0,16.0,71.0,1408.0,322.0,6398.0,1585.0,703.0,1246.0
2020-08-08,1084.0,514.0,1626.0,374.0,11.0,83.0,1440.0,289.0,6455.0,1523.0,724.0,1221.0
2020-08-07,1121.0,539.0,1659.0,400.0,32.0,111.0,1447.0,293.0,6554.0,1430.0,766.0,1181.0
2020-08-06,1144.0,565.0,1772.0,411.0,29.0,124.0,1463.0,274.0,6658.0,1384.0,770.0,1180.0
2020-08-05,1136.0,593.0,1879.0,427.0,37.0,142.0,1442.0,297.0,6689.0,1366.0,796.0,1142.0
2020-08-04,1171.0,618.0,1945.0,455.0,43.0,173.0,1441.0,307.0,6532.0,1513.0,806.0,1154.0
2020-08-03,1111.0,638.0,2024.0,474.0,30.0,195.0,1443.0,303.0,6487.0,1545.0,795.0,1149.0
2020-08-02,1138.0,628.0,2017.0,461.0,47.0,136.0,1450.0,292.0,6545.0,1462.0,812.0,1153.0
2020-08-01,1198.0,685.0,2147.0,474.0,52.0,85.0,1480.0,255.0,6605.0,1397.0,815.0,1146.0
2020-07-31,1225.0,710.0,2226.0,490.0,41.0,179.0,1476.0,255.0,6636.0,1324.0,844.0,1091.0
2020-07-30,1195.0,719.0,2302.0,505.0,46.0,209.0,1480.0,246.0,6612.0,1257.0,858.0,1068.0
2020-07-29,1315.0,758.0,2348.0,531.0,50.0,183.0,1478.0,248.0,6559.0,1323.0,905.0,1026.0
2020-07-28,1225.0,800.0,2424.0,561.0,63.0,268.0,1451.0,263.0,6543.0,1335.0,922.0,987.0
2020-07-27,1158.0,814.0,2564.0,574.0,55.0,326.0,1433.0,272.0,6386.0,1484.0,920.0,1029.0
