date,pcr_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_positivity_COCHISE
2020-08-19 00:00:00,8,0,6.0,0
2020-08-18 00:00:00,49,0.1020408163265306,298.0,0.1040268456375839
2020-08-17 00:00:00,86,0.0348837209302326,34.0,0.0882352941176471
2020-08-16 00:00:00,17,0,2.0,0
2020-08-15 00:00:00,75,0.0133333333333333,10.0,0.3
2020-08-14 00:00:00,196,0.0102040816326531,14.0,0.0714285714285714
2020-08-13 00:00:00,93,0.021505376344086,13.0,0.1538461538461539
2020-08-12 00:00:00,99,0.0505050505050505,8.0,0
2020-08-11 00:00:00,94,0.0106382978723404,15.0,0.1333333333333333
2020-08-10 00:00:00,101,0.0198019801980198,13.0,0
2020-08-09 00:00:00,19,0,3.0,0.3333333333333333
2020-08-08 00:00:00,142,0.0352112676056338,11.0,0
2020-08-07 00:00:00,132,0.0757575757575758,22.0,0.1363636363636364
2020-08-06 00:00:00,113,0.079646017699115,14.0,0
2020-08-05 00:00:00,119,0.0252100840336134,8.0,0
2020-08-04 00:00:00,116,0.103448275862069,12.0,0.1666666666666667
2020-08-03 00:00:00,128,0.03125,18.0,0.1666666666666667
2020-08-02 00:00:00,27,0,3.0,0
2020-08-01 00:00:00,33,0.0303030303030303,5.0,0.2
2020-07-31 00:00:00,141,0.0709219858156028,16.0,0.0625
2020-07-30 00:00:00,128,0.0625,19.0,0.2631578947368421
2020-07-29 00:00:00,144,0.0486111111111111,23.0,0.1739130434782609
2020-07-28 00:00:00,118,0.0423728813559322,29.0,0.0689655172413793
2020-07-27 00:00:00,112,0.1071428571428571,20.0,0.05
2020-07-26 00:00:00,20,0.1,1.0,0
2020-07-25 00:00:00,172,0.0523255813953488,12.0,0.0833333333333333
2020-07-24 00:00:00,123,0.1219512195121951,18.0,0.1111111111111111
2020-07-23 00:00:00,156,0.0641025641025641,16.0,0
2020-07-22 00:00:00,186,0.0860215053763441,13.0,0.0769230769230769
2020-07-21 00:00:00,156,0.1282051282051282,28.0,0.1785714285714286
2020-07-20 00:00:00,164,0.1036585365853659,23.0,0.0869565217391304
2020-07-19 00:00:00,46,0.0652173913043478,2.0,0
2020-07-18 00:00:00,176,0.1022727272727273,4.0,0
2020-07-17 00:00:00,221,0.0769230769230769,25.0,0
2020-07-16 00:00:00,173,0.1271676300578035,22.0,0
2020-07-15 00:00:00,199,0.1306532663316583,22.0,0.0454545454545455
2020-07-14 00:00:00,255,0.1372549019607843,16.0,0
2020-07-13 00:00:00,148,0.1824324324324324,26.0,0.0384615384615385
2020-07-12 00:00:00,44,0.0454545454545455,2.0,0
2020-07-11 00:00:00,125,0.072,7.0,0.1428571428571429
2020-07-10 00:00:00,270,0.0814814814814815,30.0,0.0333333333333333
2020-07-09 00:00:00,300,0.11,32.0,0.03125
2020-07-08 00:00:00,204,0.142156862745098,36.0,0
2020-07-07 00:00:00,280,0.1321428571428572,19.0,0
2020-07-06 00:00:00,218,0.1834862385321101,28.0,0
2020-07-05 00:00:00,59,0.1864406779661017,5.0,0
2020-07-04 00:00:00,41,0.0731707317073171,4.0,0
