date,pcr_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_positivity_LA_PAZ
2020-08-21 00:00:00,1,0,,
2020-08-20 00:00:00,9,0,,
2020-08-19 00:00:00,5,0,1.0,0
2020-08-18 00:00:00,5,0,1.0,0
2020-08-17 00:00:00,4,0,2.0,0.5
2020-08-16 00:00:00,1,0,,
2020-08-15 00:00:00,2,0,,
2020-08-14 00:00:00,2,0,,
2020-08-13 00:00:00,6,0,1.0,0
2020-08-12 00:00:00,8,0,,
2020-08-11 00:00:00,7,0,4.0,0.25
2020-08-10 00:00:00,8,0,,
2020-08-09 00:00:00,3,0,,
2020-08-08 00:00:00,1,0,,
2020-08-07 00:00:00,7,0,7.0,0.5714285714285714
2020-08-06 00:00:00,12,0.1666666666666667,4.0,0.25
2020-08-05 00:00:00,9,0,,
2020-08-04 00:00:00,10,0,1.0,0
2020-08-03 00:00:00,12,0,1.0,0
2020-08-02 00:00:00,2,0,2.0,0
2020-08-01 00:00:00,4,0,1.0,0
2020-07-31 00:00:00,5,0.4,3.0,0.6666666666666666
2020-07-30 00:00:00,10,0.1,2.0,0.5
2020-07-29 00:00:00,9,0.2222222222222222,3.0,0.3333333333333333
2020-07-28 00:00:00,7,0.1428571428571429,4.0,0.25
2020-07-27 00:00:00,17,0,6.0,0
2020-07-26 00:00:00,2,0,,
2020-07-25 00:00:00,6,0,1.0,0
2020-07-24 00:00:00,34,0,4.0,0
2020-07-23 00:00:00,8,0.125,2.0,0
2020-07-22 00:00:00,15,0,1.0,1
2020-07-21 00:00:00,24,0.125,4.0,0
2020-07-20 00:00:00,36,0.0833333333333333,1.0,1
2020-07-19 00:00:00,2,0,,
2020-07-18 00:00:00,11,0,,
2020-07-17 00:00:00,50,0.02,1.0,0
2020-07-16 00:00:00,27,0,6.0,0
2020-07-15 00:00:00,24,0.0416666666666667,2.0,0
2020-07-14 00:00:00,22,0.1818181818181818,7.0,0.1428571428571429
2020-07-13 00:00:00,22,0,,
2020-07-12 00:00:00,1,0,,
2020-07-11 00:00:00,2,0.5,,
2020-07-10 00:00:00,84,0,,
2020-07-09 00:00:00,35,0.0857142857142857,2.0,0
2020-07-08 00:00:00,44,0.0909090909090909,1.0,0
2020-07-07 00:00:00,57,0.1052631578947368,10.0,0.1
2020-07-06 00:00:00,48,0.0625,1.0,0
2020-07-05 00:00:00,5,0.2,,
2020-07-04 00:00:00,4,0.75,1.0,0
2020-07-03 00:00:00,3,0,,
2020-07-02 00:00:00,54,0.1111111111111111,7.0,0
2020-07-01 00:00:00,71,0.1267605633802817,,
2020-06-30 00:00:00,83,0.0240963855421687,1.0,0
2020-06-29 00:00:00,125,0.104,1.0,0
2020-06-28 00:00:00,7,0.1428571428571429,,
2020-06-27 00:00:00,10,0.2,,
2020-06-26 00:00:00,33,0.2121212121212121,1.0,0
2020-06-25 00:00:00,62,0.0645161290322581,18.0,0
2020-06-24 00:00:00,56,0.0892857142857143,49.0,0.0204081632653061
2020-06-23 00:00:00,57,0.1228070175438597,60.0,0.0333333333333333
2020-06-22 00:00:00,75,0.2133333333333334,46.0,0.0217391304347826
2020-06-21 00:00:00,4,0.5,,
2020-06-20 00:00:00,8,0,,
2020-06-19 00:00:00,40,0.1,2.0,0
2020-06-18 00:00:00,87,0.0574712643678161,1.0,0
2020-06-17 00:00:00,72,0.1666666666666667,2.0,0
2020-06-16 00:00:00,70,0.1,8.0,0.25
2020-06-15 00:00:00,64,0.140625,8.0,0
2020-06-14 00:00:00,4,0,1.0,0
2020-06-13 00:00:00,2,1,,
2020-06-12 00:00:00,66,0.1060606060606061,8.0,0
2020-06-11 00:00:00,204,0.0196078431372549,232.0,0.0258620689655172
2020-06-10 00:00:00,328,0.0518292682926829,199.0,0.0150753768844221
2020-06-09 00:00:00,25,0.04,5.0,0
2020-06-08 00:00:00,31,0.3548387096774194,6.0,0
