date,pcr_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2020-08-24 00:00:00,14,0.0714285714285714,,
2020-08-23 00:00:00,9,0.1111111111111111,,
2020-08-22 00:00:00,20,0.05,1.0,0
2020-08-21 00:00:00,103,0.0776699029126214,9.0,0.4444444444444444
2020-08-20 00:00:00,136,0.0147058823529412,1.0,0
2020-08-19 00:00:00,57,0.0350877192982456,6.0,0
2020-08-18 00:00:00,86,0.0813953488372093,3.0,0
2020-08-17 00:00:00,115,0.0173913043478261,5.0,0
2020-08-16 00:00:00,11,0.0909090909090909,1.0,1
2020-08-15 00:00:00,15,0.0666666666666667,4.0,0.25
2020-08-14 00:00:00,80,0.0625,2.0,0
2020-08-13 00:00:00,41,0.0487804878048781,1.0,0
2020-08-12 00:00:00,59,0.1016949152542373,7.0,0.2857142857142857
2020-08-11 00:00:00,55,0.0363636363636364,5.0,0
2020-08-10 00:00:00,60,0.1666666666666667,3.0,0.6666666666666666
2020-08-09 00:00:00,12,0.0833333333333333,1.0,0
2020-08-08 00:00:00,25,0.08,,
2020-08-07 00:00:00,73,0.1095890410958904,2.0,0.5
2020-08-06 00:00:00,50,0.16,23.0,0.0434782608695652
2020-08-05 00:00:00,53,0.1132075471698113,6.0,0
2020-08-04 00:00:00,54,0.0740740740740741,6.0,0.1666666666666667
2020-08-03 00:00:00,38,0.1052631578947368,4.0,0.5
2020-08-02 00:00:00,20,0.15,3.0,0
2020-08-01 00:00:00,248,0.0241935483870968,2.0,1
2020-07-31 00:00:00,205,0.0195121951219512,8.0,0
2020-07-30 00:00:00,44,0.1818181818181818,8.0,0.375
2020-07-29 00:00:00,43,0.0930232558139535,8.0,0.375
2020-07-28 00:00:00,36,0.1111111111111111,7.0,0.1428571428571429
2020-07-27 00:00:00,47,0.0851063829787234,9.0,0.5555555555555556
2020-07-26 00:00:00,212,0.0471698113207547,,
2020-07-25 00:00:00,356,0.050561797752809,6.0,0.1666666666666667
2020-07-24 00:00:00,47,0.0851063829787234,11.0,0.1818181818181818
2020-07-23 00:00:00,51,0.1372549019607843,10.0,0.1
2020-07-22 00:00:00,64,0.171875,6.0,0.3333333333333333
2020-07-21 00:00:00,65,0.1846153846153846,8.0,0.375
2020-07-20 00:00:00,79,0.1518987341772152,9.0,0.1111111111111111
2020-07-19 00:00:00,10,0.2,1.0,1
2020-07-18 00:00:00,36,0.25,,
2020-07-17 00:00:00,66,0.1363636363636364,10.0,0
2020-07-16 00:00:00,72,0.2222222222222222,5.0,0.6
2020-07-15 00:00:00,60,0.1833333333333333,6.0,0.1666666666666667
2020-07-14 00:00:00,70,0.1285714285714286,9.0,0.1111111111111111
2020-07-13 00:00:00,107,0.1775700934579439,10.0,0.4
2020-07-12 00:00:00,22,0.0909090909090909,2.0,0
2020-07-11 00:00:00,39,0.1794871794871795,4.0,0.25
2020-07-10 00:00:00,98,0.2857142857142857,16.0,0.25
2020-07-09 00:00:00,90,0.1666666666666667,9.0,0.3333333333333333
2020-07-08 00:00:00,107,0.2523364485981308,7.0,0.1428571428571429
2020-07-07 00:00:00,127,0.2519685039370079,15.0,0.2666666666666667
2020-07-06 00:00:00,127,0.3070866141732284,7.0,0
2020-07-05 00:00:00,27,0.2962962962962963,2.0,0
2020-07-04 00:00:00,15,0.4,2.0,0
2020-07-03 00:00:00,59,0.2033898305084746,2.0,0
2020-07-02 00:00:00,157,0.2802547770700637,7.0,0
2020-07-01 00:00:00,136,0.2867647058823529,4.0,0
2020-06-30 00:00:00,141,0.375886524822695,11.0,0.0909090909090909
2020-06-29 00:00:00,174,0.3103448275862069,16.0,0.1875
2020-06-28 00:00:00,21,0.3333333333333333,4.0,0
2020-06-27 00:00:00,62,0.435483870967742,1.0,0
2020-06-26 00:00:00,160,0.325,8.0,0.125
2020-06-25 00:00:00,189,0.3386243386243386,8.0,0.25
2020-06-24 00:00:00,154,0.2467532467532468,9.0,0.1111111111111111
2020-06-23 00:00:00,120,0.2833333333333334,11.0,0.1818181818181818
2020-06-22 00:00:00,160,0.3,22.0,0.2727272727272727
2020-06-21 00:00:00,40,0.425,3.0,0
2020-06-20 00:00:00,90,0.2555555555555556,5.0,0
2020-06-19 00:00:00,187,0.2352941176470588,18.0,0.1111111111111111
2020-06-18 00:00:00,172,0.2732558139534884,16.0,0.125
2020-06-17 00:00:00,174,0.3448275862068966,16.0,0.0625
2020-06-16 00:00:00,203,0.3103448275862069,20.0,0.05
2020-06-15 00:00:00,203,0.3152709359605912,21.0,0.0476190476190476
2020-06-14 00:00:00,45,0.2,3.0,0
2020-06-13 00:00:00,106,0.3207547169811321,,
2020-06-12 00:00:00,211,0.2938388625592417,32.0,0
2020-06-11 00:00:00,214,0.2102803738317757,33.0,0.1515151515151515
2020-06-10 00:00:00,245,0.3428571428571429,26.0,0.0384615384615385
2020-06-09 00:00:00,241,0.3236514522821577,39.0,0.1282051282051282
2020-06-08 00:00:00,223,0.3318385650224216,26.0,0.0769230769230769
2020-06-07 00:00:00,80,0.35,2.0,0
2020-06-06 00:00:00,105,0.3523809523809524,6.0,0
2020-06-05 00:00:00,189,0.2486772486772487,30.0,0
2020-06-04 00:00:00,160,0.30625,13.0,0
2020-06-03 00:00:00,130,0.3076923076923077,13.0,0
2020-06-02 00:00:00,105,0.4285714285714286,17.0,0
2020-06-01 00:00:00,109,0.3577981651376147,9.0,0
2020-05-31 00:00:00,26,0.2307692307692308,2.0,0
2020-05-30 00:00:00,52,0.2692307692307692,8.0,0
2020-05-29 00:00:00,81,0.1728395061728395,11.0,0
2020-05-28 00:00:00,83,0.2891566265060241,21.0,0
2020-05-27 00:00:00,108,0.3055555555555556,17.0,0
2020-05-26 00:00:00,96,0.3541666666666667,24.0,0
2020-05-25 00:00:00,27,0.5185185185185186,4.0,0
