date,pcr_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_positivity_APACHE
2020-08-26 00:00:00,19,0,1.0,0
2020-08-25 00:00:00,19,0,7.0,0
2020-08-24 00:00:00,42,0.0476190476190476,1.0,0
2020-08-23 00:00:00,6,0,,
2020-08-22 00:00:00,13,0,1.0,0
2020-08-21 00:00:00,56,0.0357142857142857,3.0,0.3333333333333333
2020-08-20 00:00:00,53,0.0377358490566038,3.0,0
2020-08-19 00:00:00,46,0.0217391304347826,,
2020-08-18 00:00:00,73,0.0410958904109589,1.0,0
2020-08-17 00:00:00,56,0.0178571428571429,1.0,0
2020-08-16 00:00:00,5,0.2,,
2020-08-15 00:00:00,33,0,2.0,0.5
2020-08-14 00:00:00,231,0.0476190476190476,1.0,0
2020-08-13 00:00:00,43,0,3.0,0
2020-08-12 00:00:00,37,0,2.0,1
2020-08-11 00:00:00,53,0.0188679245283019,3.0,0.3333333333333333
2020-08-10 00:00:00,113,0.0176991150442478,2.0,0
2020-08-09 00:00:00,12,0,2.0,0
2020-08-08 00:00:00,10,0.1,4.0,0
2020-08-07 00:00:00,57,0.087719298245614,2.0,0.5
2020-08-06 00:00:00,80,0.0375,2.0,0.5
2020-08-05 00:00:00,81,0.0246913580246914,1.0,1
2020-08-04 00:00:00,79,0.0379746835443038,5.0,0
2020-08-03 00:00:00,117,0.0598290598290598,4.0,0.25
2020-08-02 00:00:00,13,0.1538461538461539,1.0,0
2020-08-01 00:00:00,18,0.1666666666666667,1.0,0
2020-07-31 00:00:00,255,0.0588235294117647,1.0,1
2020-07-30 00:00:00,101,0.0495049504950495,2.0,1
2020-07-29 00:00:00,106,0.0283018867924528,2.0,0
2020-07-28 00:00:00,102,0.0980392156862745,1.0,1
2020-07-27 00:00:00,102,0.0784313725490196,3.0,0.3333333333333333
2020-07-26 00:00:00,23,0,1.0,0
2020-07-25 00:00:00,26,0.0769230769230769,,
2020-07-24 00:00:00,96,0.0520833333333333,2.0,0
2020-07-23 00:00:00,95,0.1157894736842105,1.0,0
2020-07-22 00:00:00,80,0.075,2.0,0.5
2020-07-21 00:00:00,127,0.031496062992126,1.0,0
2020-07-20 00:00:00,99,0.1919191919191919,1.0,0
2020-07-19 00:00:00,9,0.1111111111111111,1.0,0
