date,inpatient_covid,inpatient_non_covid,inpatient_empty
2020-08-28,812.0,5818,1315
2020-08-27,809.0,5869,1279
2020-08-26,895.0,5732,1330
2020-08-25,967.0,5657,1346
2020-08-24,999.0,5384,1550
2020-08-23,908.0,5576,1460
2020-08-22,969.0,5617,1376
2020-08-21,1046.0,5584,1337
2020-08-20,1068.0,5553,1336
2020-08-19,1070.0,5535,1375
2020-08-18,1160.0,5342,1495
2020-08-17,1167.0,5344,1486
2020-08-16,1182.0,5339,1469
2020-08-15,1208.0,5257,1528
2020-08-14,1282.0,5374,1346
2020-08-13,1359.0,5246,1389
2020-08-12,1411.0,5122,1459
2020-08-11,1469.0,5007,1517
2020-08-10,1574.0,4749,1657
2020-08-09,1575.0,4823,1585
2020-08-08,1626.0,4829,1523
2020-08-07,1659.0,4895,1430
2020-08-06,1772.0,4886,1384
2020-08-05,1879.0,4810,1366
2020-08-04,1945.0,4587,1513
2020-08-03,2024.0,4463,1545
2020-08-02,2017.0,4528,1462
2020-08-01,2147.0,4458,1397
2020-07-31,2226.0,4410,1324
2020-07-30,2302.0,4310,1257
2020-07-29,2348.0,4211,1323
2020-07-28,2424.0,4119,1335
2020-07-27,2564.0,3822,1484
2020-07-26,2626.0,4007,1263
2020-07-25,2650.0,3963,1289
2020-07-24,2758.0,3878,1266
2020-07-23,2844.0,3834,1226
2020-07-22,2966.0,3761,1177
2020-07-21,3094.0,3550,1245
2020-07-20,3041.0,3595,1319
2020-07-19,3084.0,3728,1120
2020-07-18,3136.0,3668,1140
2020-07-17,3238.0,3531,1100
2020-07-16,3466.0,3360,1055
2020-07-15,3454.0,3418,1008
2020-07-14,3493.0,3330,1053
2020-07-13,3517.0,3204,1155
2020-07-12,3373.0,3523,987
2020-07-11,3432.0,3359,1102
2020-07-10,3485.0,3540,946
2020-07-09,3432.0,3523,993
2020-07-08,3437.0,3462,1057
2020-07-07,3421.0,3363,1152
2020-07-06,3356.0,3116,1457
2020-07-05,3212.0,3216,1239
2020-07-04,3182.0,3261,1237
2020-07-03,3113.0,3449,1122
2020-07-02,3013.0,3525,1135
2020-07-01,2938.0,3664,1065
2020-06-30,2876.0,3656,1140
2020-06-29,2793.0,3695,1180
2020-06-28,2721.0,3724,1209
2020-06-27,2691.0,3824,1149
2020-06-26,2577.0,4046,1111
2020-06-25,2655.0,4019,1097
2020-06-24,2453.0,4192,1132
2020-06-23,2270.0,4435,1120
2020-06-22,2136.0,4333,1353
2020-06-21,1992.0,4406,1376
2020-06-20,1942.0,4547,1296
2020-06-19,1938.0,4660,1238
2020-06-18,1832.0,4801,1202
2020-06-17,1667.0,4861,1155
2020-06-16,1582.0,4949,1146
2020-06-15,1506.0,4725,1437
2020-06-14,1449.0,5165,1335
2020-06-13,1457.0,5207,1290
2020-06-12,1412.0,5056,1237
2020-06-11,1336.0,4727,1214
2020-06-10,1291.0,5202,1276
2020-06-09,1274.0,5085,1293
2020-06-08,1243.0,4351,1594
2020-06-07,1266.0,4394,1506
2020-06-06,1252.0,4430,1485
2020-06-05,1278.0,4436,1447
2020-06-04,1233.0,4312,1609
2020-06-03,1079.0,5149,1339
2020-06-02,1088.0,4943,1543
2020-06-01,1009.0,4711,1842
2020-05-31,976.0,4785,1798
2020-05-30,972.0,4903,1702
2020-05-29,975.0,5027,1694
2020-05-28,934.0,5150,1575
2020-05-27,945.0,4919,1782
2020-05-26,907.0,4682,2069
2020-05-25,818.0,4663,2169
2020-05-24,833.0,4888,1884
2020-05-23,816.0,4927,1861
2020-05-22,784.0,5093,1754
2020-05-21,794.0,5046,1769
2020-05-20,812.0,5031,1761
2020-05-19,810.0,4907,1922
2020-05-18,792.0,4687,2159
2020-05-17,797.0,4888,1950
2020-05-16,796.0,4887,1944
2020-05-15,789.0,4857,1978
2020-05-14,808.0,4949,1910
2020-05-13,781.0,4921,1948
2020-05-12,755.0,4878,1983
2020-05-11,765.0,4666,2206
2020-05-10,717.0,4776,2083
2020-05-09,713.0,4867,2024
2020-05-08,739.0,4869,2022
2020-05-07,730.0,4755,2131
2020-05-06,766.0,4611,2142
2020-05-05,754.0,4522,2263
2020-05-04,728.0,4337,2486
2020-05-03,693.0,4428,2379
2020-05-02,732.0,4441,2322
2020-05-01,718.0,4514,2245
2020-04-30,709.0,4471,2347
2020-04-29,755.0,4564,2036
2020-04-28,756.0,4461,2166
2020-04-27,737.0,4198,2328
2020-04-26,647.0,4415,2192
2020-04-25,671.0,4413,2133
2020-04-24,697.0,4341,2204
2020-04-23,639.0,4325,2280
2020-04-22,699.0,4376,2165
2020-04-21,664.0,4273,2299
2020-04-20,669.0,4124,2401
2020-04-19,637.0,4096,2354
2020-04-18,631.0,4077,2386
2020-04-17,613.0,4154,2357
2020-04-16,566.0,4112,2452
2020-04-15,578.0,4048,2482
2020-04-14,590.0,4063,2639
2020-04-13,580.0,4054,2578
2020-04-12,525.0,3972,2402
2020-04-11,508.0,3985,2414
2020-04-10,522.0,3913,2355
2020-04-09,519.0,3963,2360
2020-04-08,338.0,4196,2396
2020-04-07,,4765,2347
2020-04-06,,4793,2378
2020-04-05,,4767,2300
2020-04-04,,4845,2227
2020-04-03,,4748,2335
2020-04-02,,4939,2254
2020-04-01,,4756,2147
2020-03-31,,4347,2175
2020-03-30,,4317,2214
2020-03-29,,4056,2240
2020-03-28,,3976,1970
2020-03-27,,4053,1913
2020-03-26,,3815,1828
