date,pcr_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_positivity_COCONINO
2020-08-29 00:00:00,1,0,,
2020-08-28 00:00:00,83,0.0602409638554217,6.0,0.3333333333333333
2020-08-27 00:00:00,239,0.0083682008368201,9.0,0.1111111111111111
2020-08-26 00:00:00,363,0.0275482093663912,8.0,0.25
2020-08-25 00:00:00,266,0.0150375939849624,15.0,0.0666666666666667
2020-08-24 00:00:00,328,0.0335365853658537,6.0,0
2020-08-23 00:00:00,96,0.0208333333333333,,
2020-08-22 00:00:00,124,0.032258064516129,2.0,0
2020-08-21 00:00:00,237,0.0464135021097046,13.0,0.1538461538461539
2020-08-20 00:00:00,225,0.0266666666666667,2.0,0
2020-08-19 00:00:00,325,0.0492307692307692,14.0,0.0714285714285714
2020-08-18 00:00:00,256,0.01953125,10.0,0
2020-08-17 00:00:00,379,0.0316622691292876,13.0,0.0769230769230769
2020-08-16 00:00:00,216,0.0046296296296296,1.0,0
2020-08-15 00:00:00,225,0.0044444444444444,,
2020-08-14 00:00:00,254,0.0196850393700787,9.0,0.1111111111111111
2020-08-13 00:00:00,274,0.0218978102189781,13.0,0.1538461538461539
2020-08-12 00:00:00,264,0.0227272727272727,12.0,0.0833333333333333
2020-08-11 00:00:00,331,0.0241691842900302,7.0,0
2020-08-10 00:00:00,494,0.0303643724696356,7.0,0.1428571428571429
2020-08-09 00:00:00,30,0.0333333333333333,1.0,0
2020-08-08 00:00:00,57,0.1228070175438597,4.0,0
2020-08-07 00:00:00,131,0.083969465648855,10.0,0.1
2020-08-06 00:00:00,99,0.1414141414141414,11.0,0
2020-08-05 00:00:00,173,0.0404624277456647,3.0,0
2020-08-04 00:00:00,102,0.0490196078431373,21.0,0.0476190476190476
2020-08-03 00:00:00,147,0.0884353741496599,24.0,0.0833333333333333
2020-08-02 00:00:00,34,0.0294117647058824,,
2020-08-01 00:00:00,27,0,,
2020-07-31 00:00:00,121,0.0743801652892562,16.0,0.1875
2020-07-30 00:00:00,196,0.0561224489795918,22.0,0
2020-07-29 00:00:00,162,0.0555555555555556,28.0,0.0714285714285714
2020-07-28 00:00:00,111,0.036036036036036,23.0,0.0434782608695652
2020-07-27 00:00:00,192,0.0677083333333333,17.0,0.0588235294117647
2020-07-26 00:00:00,35,0,2.0,0
2020-07-25 00:00:00,42,0.1904761904761905,3.0,0
2020-07-24 00:00:00,133,0.075187969924812,13.0,0.0769230769230769
2020-07-23 00:00:00,112,0.0803571428571429,19.0,0.1052631578947368
2020-07-22 00:00:00,163,0.0674846625766871,16.0,0
2020-07-21 00:00:00,194,0.0979381443298969,13.0,0.3846153846153847
2020-07-20 00:00:00,191,0.0785340314136126,22.0,0.0454545454545455
2020-07-19 00:00:00,55,0.1636363636363636,,
2020-07-18 00:00:00,42,0.1190476190476191,4.0,0.5
2020-07-17 00:00:00,268,0.0932835820895523,26.0,0.0769230769230769
2020-07-16 00:00:00,185,0.0918918918918919,28.0,0.1785714285714286
2020-07-15 00:00:00,161,0.093167701863354,25.0,0.04
2020-07-14 00:00:00,186,0.0645161290322581,26.0,0.0384615384615385
2020-07-13 00:00:00,358,0.0893854748603352,32.0,0.0625
2020-07-12 00:00:00,50,0.1,,
2020-07-11 00:00:00,63,0.0634920634920635,1.0,1
2020-07-10 00:00:00,306,0.0915032679738562,19.0,0.0526315789473684
