date,cases
2020-09-13 00:00:00,2
2020-09-12 00:00:00,64
2020-09-11 00:00:00,257
2020-09-10 00:00:00,359
2020-09-09 00:00:00,455
2020-09-08 00:00:00,544
2020-09-07 00:00:00,125
2020-09-06 00:00:00,158
2020-09-05 00:00:00,184
2020-09-04 00:00:00,375
2020-09-03 00:00:00,454
2020-09-02 00:00:00,557
2020-09-01 00:00:00,667
2020-08-31 00:00:00,710
2020-08-30 00:00:00,240
2020-08-29 00:00:00,263
2020-08-28 00:00:00,541
2020-08-27 00:00:00,659
2020-08-26 00:00:00,736
2020-08-25 00:00:00,539
2020-08-24 00:00:00,738
2020-08-23 00:00:00,252
2020-08-22 00:00:00,331
2020-08-21 00:00:00,486
2020-08-20 00:00:00,521
2020-08-19 00:00:00,817
2020-08-18 00:00:00,605
2020-08-17 00:00:00,622
2020-08-16 00:00:00,256
2020-08-15 00:00:00,453
2020-08-14 00:00:00,637
2020-08-13 00:00:00,661
2020-08-12 00:00:00,706
2020-08-11 00:00:00,943
2020-08-10 00:00:00,926
2020-08-09 00:00:00,354
2020-08-08 00:00:00,501
2020-08-07 00:00:00,980
2020-08-06 00:00:00,914
2020-08-05 00:00:00,932
2020-08-04 00:00:00,1004
2020-08-03 00:00:00,1269
2020-08-02 00:00:00,541
2020-08-01 00:00:00,670
2020-07-31 00:00:00,1191
2020-07-30 00:00:00,1699
2020-07-29 00:00:00,1317
2020-07-28 00:00:00,1574
2020-07-27 00:00:00,1672
2020-07-26 00:00:00,744
2020-07-25 00:00:00,1132
2020-07-24 00:00:00,1839
2020-07-23 00:00:00,1778
2020-07-22 00:00:00,1847
2020-07-21 00:00:00,2091
2020-07-20 00:00:00,2274
2020-07-19 00:00:00,916
2020-07-18 00:00:00,1555
2020-07-17 00:00:00,2624
2020-07-16 00:00:00,2651
2020-07-15 00:00:00,3118
2020-07-14 00:00:00,3517
2020-07-13 00:00:00,3591
2020-07-12 00:00:00,1527
2020-07-11 00:00:00,2132
2020-07-10 00:00:00,3751
2020-07-09 00:00:00,4138
2020-07-08 00:00:00,4623
2020-07-07 00:00:00,4804
2020-07-06 00:00:00,4951
2020-07-05 00:00:00,1908
2020-07-04 00:00:00,1650
2020-07-03 00:00:00,3204
2020-07-02 00:00:00,4849
2020-07-01 00:00:00,5072
2020-06-30 00:00:00,5327
2020-06-29 00:00:00,5478
2020-06-28 00:00:00,2150
2020-06-27 00:00:00,3010
2020-06-26 00:00:00,4720
2020-06-25 00:00:00,4728
2020-06-24 00:00:00,4595
2020-06-23 00:00:00,4338
2020-06-22 00:00:00,4352
2020-06-21 00:00:00,1811
2020-06-20 00:00:00,2559
2020-06-19 00:00:00,3780
2020-06-18 00:00:00,3555
2020-06-17 00:00:00,3346
2020-06-16 00:00:00,3021
2020-06-15 00:00:00,3023
2020-06-14 00:00:00,1101
2020-06-13 00:00:00,1605
2020-06-12 00:00:00,2309
2020-06-11 00:00:00,2086
2020-06-10 00:00:00,2079
2020-06-09 00:00:00,1990
2020-06-08 00:00:00,1908
2020-06-07 00:00:00,730
2020-06-06 00:00:00,869
2020-06-05 00:00:00,1430
2020-06-04 00:00:00,1400
2020-06-03 00:00:00,1343
2020-06-02 00:00:00,1324
2020-06-01 00:00:00,1185
2020-05-31 00:00:00,381
2020-05-30 00:00:00,746
2020-05-29 00:00:00,915
2020-05-28 00:00:00,856
2020-05-27 00:00:00,808
2020-05-26 00:00:00,789
2020-05-25 00:00:00,314
2020-05-24 00:00:00,263
2020-05-23 00:00:00,375
2020-05-22 00:00:00,545
2020-05-21 00:00:00,549
2020-05-20 00:00:00,527
2020-05-19 00:00:00,443
2020-05-18 00:00:00,551
2020-05-17 00:00:00,129
2020-05-16 00:00:00,485
2020-05-15 00:00:00,571
2020-05-14 00:00:00,496
2020-05-13 00:00:00,413
2020-05-12 00:00:00,489
2020-05-11 00:00:00,527
2020-05-10 00:00:00,182
2020-05-09 00:00:00,428
2020-05-08 00:00:00,387
2020-05-07 00:00:00,459
2020-05-06 00:00:00,431
2020-05-05 00:00:00,448
2020-05-04 00:00:00,495
2020-05-03 00:00:00,155
2020-05-02 00:00:00,307
2020-05-01 00:00:00,352
2020-04-30 00:00:00,422
2020-04-29 00:00:00,394
2020-04-28 00:00:00,392
2020-04-27 00:00:00,447
2020-04-26 00:00:00,139
2020-04-25 00:00:00,156
2020-04-24 00:00:00,348
2020-04-23 00:00:00,224
2020-04-22 00:00:00,256
2020-04-21 00:00:00,241
2020-04-20 00:00:00,416
2020-04-19 00:00:00,120
2020-04-18 00:00:00,145
2020-04-17 00:00:00,248
2020-04-16 00:00:00,267
2020-04-15 00:00:00,231
2020-04-14 00:00:00,248
2020-04-13 00:00:00,274
2020-04-12 00:00:00,90
2020-04-11 00:00:00,99
2020-04-10 00:00:00,195
2020-04-09 00:00:00,230
2020-04-08 00:00:00,211
2020-04-07 00:00:00,196
2020-04-06 00:00:00,270
2020-04-05 00:00:00,104
2020-04-04 00:00:00,118
2020-04-03 00:00:00,200
2020-04-02 00:00:00,170
2020-04-01 00:00:00,197
2020-03-31 00:00:00,167
2020-03-30 00:00:00,195
2020-03-29 00:00:00,83
2020-03-28 00:00:00,114
2020-03-27 00:00:00,157
2020-03-26 00:00:00,176
2020-03-25 00:00:00,175
2020-03-24 00:00:00,147
2020-03-23 00:00:00,168
2020-03-22 00:00:00,55
2020-03-21 00:00:00,48
2020-03-20 00:00:00,122
2020-03-19 00:00:00,69
2020-03-18 00:00:00,71
2020-03-17 00:00:00,88
2020-03-16 00:00:00,53
2020-03-15 00:00:00,16
2020-03-14 00:00:00,14
2020-03-13 00:00:00,12
2020-03-12 00:00:00,14
2020-03-11 00:00:00,4
2020-03-10 00:00:00,1
2020-03-09 00:00:00,2
2020-03-06 00:00:00,2
2020-03-05 00:00:00,1
2020-03-04 00:00:00,1
2020-03-03 00:00:00,1
2020-03-02 00:00:00,2
2020-02-27 00:00:00,2
2020-01-27 00:00:00,1
2020-01-22 00:00:00,1
