date,cases,cases_APACHE,cases_YUMA,cases_YAVAPAI,cases_SANTA_CRUZ,cases_PINAL,cases_PIMA,cases_NAVAJO,cases_MOHAVE,cases_MARICOPA,cases_LA_PAZ,cases_GREENLEE,cases_GRAHAM,cases_GILA,cases_COCONINO,cases_COCHISE
2020-09-15 00:00:00,35,1.0,1.0,,,,9.0,,3.0,6.0,,,,,15.0,
2020-09-14 00:00:00,329,4.0,2.0,2.0,1.0,1.0,134.0,6.0,2.0,144.0,,,1.0,4.0,28.0,
2020-09-13 00:00:00,121,1.0,3.0,,5.0,8.0,16.0,2.0,,81.0,,,,1.0,4.0,
2020-09-12 00:00:00,303,8.0,5.0,2.0,1.0,9.0,81.0,,4.0,187.0,,,,,6.0,
2020-09-11 00:00:00,388,3.0,25.0,4.0,2.0,13.0,76.0,3.0,6.0,238.0,,,2.0,,13.0,3.0
2020-09-10 00:00:00,427,2.0,25.0,8.0,1.0,11.0,72.0,12.0,7.0,245.0,,,1.0,1.0,42.0,
2020-09-09 00:00:00,477,3.0,14.0,8.0,4.0,19.0,109.0,2.0,3.0,272.0,,,1.0,2.0,36.0,4.0
2020-09-08 00:00:00,575,2.0,25.0,7.0,1.0,13.0,196.0,14.0,2.0,266.0,2.0,,5.0,6.0,35.0,1.0
2020-09-07 00:00:00,132,4.0,3.0,8.0,1.0,6.0,16.0,2.0,1.0,87.0,1.0,,,,1.0,2.0
2020-09-06 00:00:00,179,1.0,3.0,3.0,,14.0,34.0,6.0,3.0,102.0,2.0,,,9.0,2.0,
2020-09-05 00:00:00,190,3.0,2.0,4.0,,4.0,26.0,6.0,5.0,128.0,,,2.0,7.0,2.0,1.0
2020-09-04 00:00:00,382,,7.0,4.0,,12.0,70.0,12.0,3.0,239.0,,,7.0,5.0,18.0,4.0
2020-09-03 00:00:00,461,2.0,17.0,16.0,5.0,22.0,111.0,6.0,4.0,247.0,,,8.0,9.0,12.0,2.0
2020-09-02 00:00:00,571,14.0,22.0,4.0,,11.0,164.0,5.0,5.0,320.0,1.0,,5.0,3.0,15.0,2.0
2020-09-01 00:00:00,666,1.0,14.0,9.0,6.0,71.0,147.0,5.0,22.0,350.0,,,13.0,13.0,12.0,3.0
