date,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI
2020-09-15 00:00:00,28,0,0,3.0,0.0,0
2020-09-14 00:00:00,178,4,0.0224719101123596,22.0,2.0,0.0909090909090909
2020-09-13 00:00:00,74,2,0.027027027027027,3.0,0.0,0
2020-09-12 00:00:00,136,4,0.0294117647058824,4.0,0.0,0
2020-09-11 00:00:00,262,5,0.0190839694656489,38.0,1.0,0.0263157894736842
2020-09-10 00:00:00,271,4,0.014760147601476,29.0,4.0,0.1379310344827586
2020-09-09 00:00:00,263,6,0.0228136882129278,18.0,1.0,0.0555555555555556
2020-09-08 00:00:00,300,3,0.01,19.0,3.0,0.1578947368421053
2020-09-07 00:00:00,65,5,0.0769230769230769,2.0,1.0,0.5
2020-09-06 00:00:00,59,2,0.0338983050847458,3.0,0.0,0
2020-09-05 00:00:00,76,3,0.0394736842105263,3.0,1.0,0.3333333333333333
2020-09-04 00:00:00,235,4,0.0170212765957447,26.0,1.0,0.0384615384615385
2020-09-03 00:00:00,295,10,0.0338983050847458,23.0,3.0,0.1304347826086957
2020-09-02 00:00:00,209,1,0.0047846889952153,20.0,0.0,0
2020-09-01 00:00:00,229,5,0.0218340611353712,14.0,0.0,0
2020-08-31 00:00:00,255,11,0.0431372549019608,22.0,2.0,0.0909090909090909
2020-08-30 00:00:00,65,3,0.0461538461538462,4.0,0.0,0
2020-08-29 00:00:00,289,9,0.0311418685121107,6.0,1.0,0.1666666666666667
2020-08-28 00:00:00,212,6,0.0283018867924528,24.0,4.0,0.1666666666666667
2020-08-27 00:00:00,216,6,0.0277777777777778,25.0,3.0,0.12
2020-08-26 00:00:00,203,5,0.0246305418719212,12.0,1.0,0.0833333333333333
2020-08-25 00:00:00,209,7,0.0334928229665072,20.0,3.0,0.15
2020-08-24 00:00:00,234,10,0.0427350427350427,38.0,2.0,0.0526315789473684
2020-08-23 00:00:00,68,1,0.0147058823529412,1.0,0.0,0
2020-08-22 00:00:00,234,4,0.0170940170940171,4.0,0.0,0
2020-08-21 00:00:00,224,6,0.0267857142857143,74.0,8.0,0.1081081081081081
2020-08-20 00:00:00,147,1,0.0068027210884354,25.0,6.0,0.24
2020-08-19 00:00:00,189,11,0.0582010582010582,41.0,3.0,0.0731707317073171
2020-08-18 00:00:00,248,7,0.0282258064516129,34.0,8.0,0.2352941176470588
2020-08-17 00:00:00,317,14,0.0441640378548896,30.0,5.0,0.1666666666666667
2020-08-16 00:00:00,78,2,0.0256410256410256,4.0,0.0,0
2020-08-15 00:00:00,226,4,0.0176991150442478,3.0,0.0,0
2020-08-14 00:00:00,228,12,0.0526315789473684,84.0,7.0,0.0833333333333333
2020-08-13 00:00:00,174,15,0.0862068965517241,37.0,5.0,0.1351351351351352
2020-08-12 00:00:00,203,13,0.0640394088669951,26.0,1.0,0.0384615384615385
2020-08-11 00:00:00,202,16,0.0792079207920792,47.0,6.0,0.1276595744680851
2020-08-10 00:00:00,217,22,0.1013824884792627,23.0,3.0,0.1304347826086957
2020-08-09 00:00:00,79,5,0.0632911392405063,2.0,0.0,0
2020-08-08 00:00:00,312,10,0.0320512820512821,,,
2020-08-07 00:00:00,230,12,0.0521739130434783,28.0,4.0,0.1428571428571429
2020-08-06 00:00:00,236,22,0.0932203389830509,34.0,6.0,0.1764705882352941
2020-08-05 00:00:00,264,14,0.053030303030303,29.0,4.0,0.1379310344827586
2020-08-04 00:00:00,222,11,0.0495495495495496,28.0,3.0,0.1071428571428571
2020-08-03 00:00:00,239,17,0.0711297071129707,64.0,2.0,0.03125
