date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2020-09-25 00:00:00,14,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,
2020-09-24 00:00:00,3703,141,0.0380772346745882,201.0,24.0,0.1194029850746269,6.0,0.0,0.0,,,,98.0,3.0,0.0306122448979592,6.0,3.0,0.5,65.0,0.0,0.0,1.0,1.0,1.0,29.0,2.0,0.0689655172413793,,,,151.0,7.0,0.0463576158940397,11.0,1.0,0.0909090909090909,769.0,11.0,0.0143042912873862,,,,16.0,0.0,0.0,6.0,0.0,0.0,44.0,0.0,0.0,,,,1969.0,76.0,0.0385982732351447,164.0,17.0,0.1036585365853659,12.0,0.0,0.0,,,,1.0,0.0,0.0,,,,24.0,1.0,0.0416666666666667,,,,33.0,1.0,0.0303030303030303,8.0,0.0,0.0,346.0,30.0,0.0867052023121387,1.0,1.0,1.0,17.0,1.0,0.0588235294117647,,,
2020-09-23 00:00:00,9631,356,0.0369639705118887,606.0,85.0,0.1402640264026403,64.0,2.0,0.03125,1.0,0.0,0.0,124.0,5.0,0.0403225806451613,7.0,2.0,0.2857142857142857,123.0,3.0,0.024390243902439,13.0,1.0,0.0769230769230769,84.0,4.0,0.0476190476190476,5.0,2.0,0.4,457.0,24.0,0.0525164113785558,39.0,3.0,0.0769230769230769,1507.0,46.0,0.0305242203052422,64.0,9.0,0.140625,185.0,1.0,0.0054054054054054,4.0,2.0,0.5,129.0,3.0,0.0232558139534884,8.0,1.0,0.125,5940.0,215.0,0.0361952861952862,438.0,64.0,0.1461187214611872,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,18.0,3.0,0.1666666666666667,1.0,0.0,0.0,52.0,1.0,0.0192307692307692,3.0,0.0,0.0,474.0,31.0,0.0654008438818566,6.0,0.0,0.0,66.0,0.0,0.0,7.0,1.0,0.1428571428571429
2020-09-22 00:00:00,11359,445,0.039175983801391,1027.0,110.0,0.1071080817916261,55.0,2.0,0.0363636363636364,1.0,0.0,0.0,263.0,16.0,0.0608365019011407,22.0,5.0,0.2272727272727273,296.0,6.0,0.0202702702702703,16.0,1.0,0.0625,36.0,1.0,0.0277777777777778,4.0,0.0,0.0,555.0,33.0,0.0594594594594595,95.0,7.0,0.0736842105263158,1921.0,70.0,0.0364393545028631,99.0,8.0,0.0808080808080808,105.0,4.0,0.0380952380952381,3.0,1.0,0.3333333333333333,134.0,2.0,0.0149253731343284,8.0,0.0,0.0,6480.0,240.0,0.037037037037037,733.0,82.0,0.111869031377899,2.0,0.0,0.0,,,,5.0,0.0,0.0,,,,34.0,2.0,0.0588235294117647,2.0,0.0,0.0,188.0,8.0,0.0425531914893617,11.0,1.0,0.0909090909090909,416.0,30.0,0.0721153846153846,8.0,3.0,0.375,87.0,2.0,0.0229885057471264,20.0,2.0,0.1
2020-09-21 00:00:00,11260,484,0.0429840142095915,1130.0,125.0,0.1106194690265487,77.0,11.0,0.1428571428571429,1.0,0.0,0.0,328.0,17.0,0.0518292682926829,10.0,1.0,0.1,250.0,5.0,0.02,28.0,4.0,0.1428571428571429,46.0,2.0,0.0434782608695652,2.0,0.0,0.0,513.0,24.0,0.0467836257309942,100.0,8.0,0.08,2165.0,126.0,0.0581986143187067,119.0,10.0,0.0840336134453782,139.0,2.0,0.0143884892086331,5.0,2.0,0.4,158.0,4.0,0.0253164556962025,9.0,2.0,0.2222222222222222,6008.0,221.0,0.0367842876165113,818.0,94.0,0.1149144254278729,7.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.125,1.0,0.0,0.0,35.0,4.0,0.1142857142857143,2.0,0.0,0.0,100.0,5.0,0.05,15.0,3.0,0.2,476.0,25.0,0.0525210084033613,5.0,1.0,0.2,103.0,5.0,0.0485436893203884,5.0,0.0,0.0
2020-09-20 00:00:00,4305,211,0.0490127758420441,404.0,28.0,0.0693069306930693,6.0,2.0,0.3333333333333333,,,,60.0,6.0,0.1,1.0,0.0,0.0,74.0,3.0,0.0405405405405405,,,,7.0,0.0,0.0,1.0,0.0,0.0,378.0,16.0,0.0423280423280423,48.0,4.0,0.0833333333333333,590.0,32.0,0.0542372881355932,52.0,5.0,0.0961538461538462,35.0,1.0,0.0285714285714286,,,,54.0,3.0,0.0555555555555556,1.0,0.0,0.0,2736.0,126.0,0.0460526315789474,288.0,19.0,0.0659722222222222,4.0,0.0,0.0,,,,1.0,0.0,0.0,,,,4.0,1.0,0.25,,,,41.0,5.0,0.1219512195121951,3.0,0.0,0.0,37.0,4.0,0.1081081081081081,1.0,0.0,0.0,53.0,0.0,0.0,4.0,0.0,0.0
2020-09-19 00:00:00,5824,251,0.0430975274725275,525.0,44.0,0.0838095238095238,8.0,0.0,0.0,,,,29.0,2.0,0.0689655172413793,1.0,0.0,0.0,100.0,4.0,0.04,2.0,0.0,0.0,8.0,1.0,0.125,2.0,0.0,0.0,421.0,16.0,0.0380047505938242,70.0,6.0,0.0857142857142857,507.0,13.0,0.0256410256410256,47.0,5.0,0.1063829787234043,51.0,4.0,0.0784313725490196,1.0,0.0,0.0,108.0,5.0,0.0462962962962963,3.0,0.0,0.0,3852.0,154.0,0.0399792315680166,383.0,33.0,0.0861618798955614,1.0,0.0,0.0,,,,8.0,0.0,0.0,,,,153.0,6.0,0.0392156862745098,1.0,0.0,0.0,36.0,9.0,0.25,3.0,0.0,0.0,282.0,18.0,0.0638297872340426,,,,38.0,2.0,0.0526315789473684,7.0,0.0,0.0
2020-09-18 00:00:00,10181,418,0.0410568706413908,1197.0,115.0,0.0960735171261487,62.0,2.0,0.032258064516129,1.0,0.0,0.0,305.0,22.0,0.0721311475409836,7.0,0.0,0.0,251.0,7.0,0.0278884462151394,42.0,1.0,0.0238095238095238,47.0,3.0,0.0638297872340426,,,,480.0,13.0,0.0270833333333333,99.0,6.0,0.0606060606060606,1990.0,104.0,0.0522613065326633,138.0,11.0,0.0797101449275362,102.0,4.0,0.0392156862745098,11.0,3.0,0.2727272727272727,116.0,2.0,0.0172413793103448,17.0,2.0,0.1176470588235294,5567.0,218.0,0.0391593317765403,837.0,91.0,0.1087216248506571,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,20.0,2.0,0.1,2.0,0.0,0.0,72.0,3.0,0.0416666666666667,14.0,0.0,0.0,386.0,17.0,0.0440414507772021,5.0,0.0,0.0,119.0,2.0,0.0168067226890756,12.0,1.0,0.0833333333333333
2020-09-17 00:00:00,9321,422,0.0452741122197189,801.0,101.0,0.1260923845193508,50.0,5.0,0.1,1.0,0.0,0.0,345.0,23.0,0.0666666666666667,14.0,4.0,0.2857142857142857,293.0,9.0,0.0307167235494881,25.0,3.0,0.12,79.0,1.0,0.0126582278481013,7.0,0.0,0.0,478.0,20.0,0.0418410041841004,46.0,7.0,0.1521739130434783,1340.0,71.0,0.0529850746268657,97.0,10.0,0.1030927835051546,114.0,5.0,0.043859649122807,6.0,2.0,0.3333333333333333,197.0,1.0,0.0050761421319797,12.0,1.0,0.0833333333333333,4975.0,225.0,0.0452261306532663,571.0,72.0,0.1260945709281962,9.0,1.0,0.1111111111111111,,,,2.0,0.0,0.0,,,,19.0,1.0,0.0526315789473684,1.0,0.0,0.0,104.0,2.0,0.0192307692307692,11.0,0.0,0.0,410.0,37.0,0.0902439024390244,5.0,1.0,0.2,123.0,0.0,0.0,3.0,0.0,0.0
2020-09-16 00:00:00,9932,484,0.0487313733387032,789.0,119.0,0.1508238276299113,66.0,0.0,0.0,,,,221.0,20.0,0.0904977375565611,16.0,3.0,0.1875,259.0,11.0,0.0424710424710425,7.0,1.0,0.1428571428571429,329.0,2.0,0.0060790273556231,2.0,1.0,0.5,393.0,15.0,0.0381679389312977,53.0,3.0,0.0566037735849057,1610.0,123.0,0.0763975155279503,76.0,7.0,0.0921052631578947,192.0,4.0,0.0208333333333333,6.0,2.0,0.3333333333333333,121.0,3.0,0.0247933884297521,19.0,3.0,0.1578947368421053,5385.0,229.0,0.0425255338904364,577.0,93.0,0.1611785095320624,15.0,1.0,0.0666666666666667,,,,5.0,0.0,0.0,,,,18.0,2.0,0.1111111111111111,2.0,0.0,0.0,77.0,4.0,0.051948051948052,6.0,2.0,0.3333333333333333,392.0,24.0,0.0612244897959184,6.0,0.0,0.0,123.0,1.0,0.008130081300813,5.0,0.0,0.0
