date,cases_MARICOPA
2020-10-01 00:00:00,15
2020-09-30 00:00:00,163
2020-09-29 00:00:00,248
2020-09-28 00:00:00,308
2020-09-27 00:00:00,155
2020-09-26 00:00:00,249
2020-09-25 00:00:00,296
2020-09-24 00:00:00,310
2020-09-23 00:00:00,357
2020-09-22 00:00:00,335
2020-09-21 00:00:00,323
2020-09-20 00:00:00,188
2020-09-19 00:00:00,213
2020-09-18 00:00:00,300
2020-09-17 00:00:00,324
2020-09-16 00:00:00,338
2020-09-15 00:00:00,315
2020-09-14 00:00:00,333
2020-09-13 00:00:00,115
2020-09-12 00:00:00,170
2020-09-11 00:00:00,237
2020-09-10 00:00:00,272
2020-09-09 00:00:00,280
2020-09-08 00:00:00,276
2020-09-07 00:00:00,89
2020-09-06 00:00:00,106
2020-09-05 00:00:00,127
2020-09-04 00:00:00,239
2020-09-03 00:00:00,246
2020-09-02 00:00:00,316
2020-09-01 00:00:00,342
2020-08-31 00:00:00,454
2020-08-30 00:00:00,155
2020-08-29 00:00:00,179
2020-08-28 00:00:00,346
2020-08-27 00:00:00,333
2020-08-26 00:00:00,518
2020-08-25 00:00:00,328
2020-08-24 00:00:00,374
2020-08-23 00:00:00,157
2020-08-22 00:00:00,246
2020-08-21 00:00:00,284
2020-08-20 00:00:00,300
2020-08-19 00:00:00,314
2020-08-18 00:00:00,305
2020-08-17 00:00:00,338
2020-08-16 00:00:00,168
2020-08-15 00:00:00,341
2020-08-14 00:00:00,400
2020-08-13 00:00:00,366
2020-08-12 00:00:00,432
2020-08-11 00:00:00,474
2020-08-10 00:00:00,481
2020-08-09 00:00:00,251
2020-08-08 00:00:00,353
2020-08-07 00:00:00,467
2020-08-06 00:00:00,569
2020-08-05 00:00:00,609
2020-08-04 00:00:00,673
2020-08-03 00:00:00,696
2020-08-02 00:00:00,367
2020-08-01 00:00:00,555
2020-07-31 00:00:00,753
2020-07-30 00:00:00,714
2020-07-29 00:00:00,830
2020-07-28 00:00:00,1113
2020-07-27 00:00:00,1038
2020-07-26 00:00:00,578
2020-07-25 00:00:00,827
2020-07-24 00:00:00,1259
2020-07-23 00:00:00,1168
2020-07-22 00:00:00,1252
2020-07-21 00:00:00,1344
2020-07-20 00:00:00,1479
2020-07-19 00:00:00,704
2020-07-18 00:00:00,1179
2020-07-17 00:00:00,1902
2020-07-16 00:00:00,1799
2020-07-15 00:00:00,2220
2020-07-14 00:00:00,2406
2020-07-13 00:00:00,2384
2020-07-12 00:00:00,1170
2020-07-11 00:00:00,1659
