date,ICU_covid
2020-10-23,191
2020-10-22,172
2020-10-21,164
2020-10-20,171
2020-10-19,170
2020-10-18,177
2020-10-17,176
2020-10-16,174
2020-10-15,167
2020-10-14,173
2020-10-13,163
2020-10-12,146
2020-10-11,155
2020-10-10,144
2020-10-09,145
2020-10-08,155
2020-10-07,156
2020-10-06,147
2020-10-05,138
2020-10-04,134
2020-10-03,133
2020-10-02,127
2020-10-01,125
2020-09-30,122
2020-09-29,115
2020-09-28,119
2020-09-27,115
2020-09-26,116
2020-09-25,115
2020-09-24,119
2020-09-23,122
2020-09-22,114
2020-09-21,122
2020-09-20,119
2020-09-19,120
2020-09-18,120
2020-09-17,130
2020-09-16,119
2020-09-15,135
2020-09-14,138
2020-09-13,168
2020-09-12,171
2020-09-11,185
2020-09-10,171
2020-09-09,204
2020-09-08,203
2020-09-07,212
2020-09-06,221
2020-09-05,229
2020-09-04,225
2020-09-03,236
2020-09-02,241
2020-09-01,248
2020-08-31,253
2020-08-30,256
2020-08-29,263
2020-08-28,262
2020-08-27,272
2020-08-26,311
2020-08-25,305
2020-08-24,319
2020-08-23,345
2020-08-22,329
2020-08-21,363
2020-08-20,365
2020-08-19,388
2020-08-18,414
2020-08-17,427
2020-08-16,430
2020-08-15,417
2020-08-14,442
2020-08-13,473
2020-08-12,497
2020-08-11,519
2020-08-10,510
2020-08-09,506
2020-08-08,514
2020-08-07,539
2020-08-06,565
2020-08-05,593
2020-08-04,618
2020-08-03,638
2020-08-02,628
2020-08-01,685
2020-07-31,710
2020-07-30,719
2020-07-29,758
2020-07-28,800
2020-07-27,814
2020-07-26,820
2020-07-25,837
2020-07-24,842
2020-07-23,837
2020-07-22,851
2020-07-21,870
2020-07-20,865
2020-07-19,886
2020-07-18,894
2020-07-17,894
2020-07-16,944
2020-07-15,918
2020-07-14,929
2020-07-13,970
2020-07-12,936
2020-07-11,922
2020-07-10,899
2020-07-09,876
2020-07-08,861
2020-07-07,871
2020-07-06,869
2020-07-05,839
2020-07-04,821
2020-07-03,796
2020-07-02,741
2020-07-01,723
2020-06-30,675
2020-06-29,683
2020-06-28,679
2020-06-27,666
2020-06-26,657
2020-06-25,625
2020-06-24,611
2020-06-23,581
2020-06-22,614
2020-06-21,583
2020-06-20,556
2020-06-19,546
2020-06-18,519
2020-06-17,540
2020-06-16,531
2020-06-15,502
2020-06-14,464
2020-06-13,452
2020-06-12,447
2020-06-11,429
2020-06-10,429
2020-06-09,413
2020-06-08,438
2020-06-07,390
2020-06-06,392
2020-06-05,391
2020-06-04,372
2020-06-03,375
2020-06-02,379
2020-06-01,380
2020-05-31,377
2020-05-30,376
2020-05-29,386
2020-05-28,378
2020-05-27,374
2020-05-26,376
2020-05-25,337
2020-05-24,334
2020-05-23,321
2020-05-22,309
2020-05-21,311
2020-05-20,299
2020-05-19,298
2020-05-18,318
2020-05-17,347
2020-05-16,337
2020-05-15,340
2020-05-14,312
2020-05-13,323
2020-05-12,292
2020-05-11,318
2020-05-10,297
2020-05-09,300
2020-05-08,296
2020-05-07,295
2020-05-06,288
2020-05-05,286
2020-05-04,303
2020-05-03,288
2020-05-02,282
2020-05-01,291
2020-04-30,311
2020-04-29,311
2020-04-28,312
2020-04-27,303
2020-04-26,328
2020-04-25,308
2020-04-24,313
2020-04-23,332
2020-04-22,305
2020-04-21,301
2020-04-20,290
2020-04-19,285
2020-04-18,283
2020-04-17,281
2020-04-16,285
2020-04-15,278
2020-04-14,279
2020-04-13,270
2020-04-12,274
2020-04-11,286
2020-04-10,268
2020-04-09,248
2020-04-08,155
