date,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE
2020-11-18 00:00:00,5,0,0,,,
2020-11-17 00:00:00,136,19,0.1397058823529412,3.0,1.0,0.3333333333333333
2020-11-16 00:00:00,190,26,0.1368421052631579,1.0,0.0,0
2020-11-15 00:00:00,42,3,0.0714285714285714,2.0,1.0,0.5
2020-11-14 00:00:00,68,10,0.1470588235294118,3.0,2.0,0.6666666666666666
2020-11-13 00:00:00,177,26,0.1468926553672317,3.0,1.0,0.3333333333333333
2020-11-12 00:00:00,207,35,0.1690821256038647,2.0,0.0,0
2020-11-11 00:00:00,67,10,0.1492537313432836,1.0,0.0,0
2020-11-10 00:00:00,93,9,0.0967741935483871,1.0,0.0,0
2020-11-09 00:00:00,176,17,0.0965909090909091,3.0,0.0,0
2020-11-08 00:00:00,18,3,0.1666666666666667,4.0,0.0,0
2020-11-07 00:00:00,49,12,0.2448979591836735,,,
2020-11-06 00:00:00,120,16,0.1333333333333333,3.0,0.0,0
2020-11-05 00:00:00,106,17,0.160377358490566,2.0,0.0,0
2020-11-04 00:00:00,106,16,0.1509433962264151,7.0,0.0,0
2020-11-03 00:00:00,95,12,0.1263157894736842,,,
2020-11-02 00:00:00,108,12,0.1111111111111111,2.0,0.0,0
2020-11-01 00:00:00,16,1,0.0625,,,
2020-10-31 00:00:00,16,4,0.25,1.0,0.0,0
2020-10-30 00:00:00,70,2,0.0285714285714286,2.0,0.0,0
2020-10-29 00:00:00,118,11,0.0932203389830509,2.0,0.0,0
2020-10-28 00:00:00,117,5,0.0427350427350427,2.0,0.0,0
2020-10-27 00:00:00,56,8,0.1428571428571429,3.0,2.0,0.6666666666666666
2020-10-26 00:00:00,79,11,0.1392405063291139,1.0,0.0,0
2020-10-25 00:00:00,22,2,0.0909090909090909,1.0,0.0,0
2020-10-24 00:00:00,20,5,0.25,3.0,1.0,0.3333333333333333
2020-10-23 00:00:00,74,8,0.1081081081081081,4.0,0.0,0
2020-10-22 00:00:00,99,3,0.0303030303030303,5.0,2.0,0.4
