date,cases_GREENLEE
2020-12-08 00:00:00,1
2020-12-07 00:00:00,7
2020-12-06 00:00:00,2
2020-12-05 00:00:00,1
2020-12-04 00:00:00,4
2020-12-03 00:00:00,7
2020-12-02 00:00:00,12
2020-12-01 00:00:00,18
2020-11-30 00:00:00,11
2020-11-29 00:00:00,8
2020-11-28 00:00:00,7
2020-11-27 00:00:00,6
2020-11-26 00:00:00,4
2020-11-25 00:00:00,14
2020-11-24 00:00:00,10
2020-11-23 00:00:00,5
2020-11-22 00:00:00,3
2020-11-21 00:00:00,8
2020-11-20 00:00:00,4
2020-11-19 00:00:00,14
2020-11-18 00:00:00,5
2020-11-17 00:00:00,11
2020-11-16 00:00:00,6
2020-11-15 00:00:00,3
2020-11-14 00:00:00,2
2020-11-12 00:00:00,1
2020-11-11 00:00:00,4
2020-11-10 00:00:00,2
2020-11-09 00:00:00,4
2020-11-08 00:00:00,2
2020-11-07 00:00:00,3
2020-11-06 00:00:00,3
2020-11-05 00:00:00,2
2020-11-04 00:00:00,3
2020-11-02 00:00:00,4
2020-10-31 00:00:00,1
2020-10-29 00:00:00,1
2020-10-26 00:00:00,1
2020-10-23 00:00:00,1
2020-10-22 00:00:00,2
2020-10-21 00:00:00,14
2020-10-20 00:00:00,1
2020-10-19 00:00:00,6
2020-10-18 00:00:00,4
2020-10-16 00:00:00,1
2020-10-15 00:00:00,2
2020-10-13 00:00:00,2
2020-10-12 00:00:00,2
2020-10-09 00:00:00,1
2020-10-08 00:00:00,2
2020-10-05 00:00:00,1
2020-10-01 00:00:00,1
2020-09-21 00:00:00,1
2020-08-20 00:00:00,1
2020-07-30 00:00:00,1
2020-07-26 00:00:00,2
2020-07-25 00:00:00,1
2020-07-24 00:00:00,2
2020-07-23 00:00:00,1
2020-07-21 00:00:00,7
2020-07-20 00:00:00,1
2020-07-19 00:00:00,1
2020-07-15 00:00:00,1
2020-07-11 00:00:00,2
2020-07-09 00:00:00,4
2020-07-08 00:00:00,2
2020-07-06 00:00:00,3
2020-07-04 00:00:00,3
2020-07-01 00:00:00,4
2020-06-30 00:00:00,3
2020-06-29 00:00:00,2
2020-06-24 00:00:00,1
2020-06-20 00:00:00,1
2020-06-18 00:00:00,3
2020-06-15 00:00:00,1
2020-06-11 00:00:00,1
2020-06-07 00:00:00,1
2020-06-03 00:00:00,1
2020-06-01 00:00:00,1
2020-05-29 00:00:00,2
2020-05-28 00:00:00,1
2020-05-27 00:00:00,1
2020-05-20 00:00:00,1
2020-05-17 00:00:00,1
2020-04-07 00:00:00,1
2020-03-27 00:00:00,1
