date,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI
2020-12-08 00:00:00,1,0,0,,,
2020-12-07 00:00:00,302,53,0.1754966887417219,1.0,0.0,0
2020-12-06 00:00:00,157,45,0.2866242038216561,2.0,2.0,1
2020-12-05 00:00:00,198,53,0.2676767676767677,50.0,0.0,0
2020-12-04 00:00:00,715,123,0.172027972027972,101.0,5.0,0.0495049504950495
2020-12-03 00:00:00,733,145,0.1978171896316508,28.0,4.0,0.1428571428571429
2020-12-02 00:00:00,769,164,0.2132639791937582,19.0,0.0,0
2020-12-01 00:00:00,734,155,0.2111716621253406,23.0,1.0,0.0434782608695652
2020-11-30 00:00:00,911,222,0.2436882546652031,61.0,3.0,0.0491803278688525
2020-11-29 00:00:00,288,75,0.2604166666666667,4.0,0.0,0
2020-11-28 00:00:00,348,99,0.2844827586206897,2.0,0.0,0
2020-11-27 00:00:00,439,105,0.2391799544419135,7.0,1.0,0.1428571428571429
2020-11-26 00:00:00,81,22,0.2716049382716049,1.0,1.0,1
2020-11-25 00:00:00,726,147,0.2024793388429752,27.0,7.0,0.2592592592592593
2020-11-24 00:00:00,799,148,0.1852315394242804,59.0,3.0,0.0508474576271187
2020-11-23 00:00:00,861,152,0.1765389082462253,20.0,2.0,0.1
2020-11-22 00:00:00,240,48,0.2,1.0,0.0,0
2020-11-21 00:00:00,354,62,0.1751412429378531,38.0,3.0,0.0789473684210526
2020-11-20 00:00:00,806,130,0.1612903225806452,63.0,4.0,0.0634920634920635
2020-11-19 00:00:00,728,119,0.1634615384615385,24.0,4.0,0.1666666666666667
2020-11-18 00:00:00,657,94,0.1430745814307458,9.0,3.0,0.3333333333333333
2020-11-17 00:00:00,713,108,0.1514726507713885,30.0,2.0,0.0666666666666667
2020-11-16 00:00:00,644,109,0.1692546583850932,20.0,0.0,0
2020-11-15 00:00:00,230,50,0.2173913043478261,,,
2020-11-14 00:00:00,238,38,0.1596638655462185,5.0,0.0,0
2020-11-13 00:00:00,567,76,0.1340388007054674,34.0,4.0,0.1176470588235294
2020-11-12 00:00:00,583,62,0.1063464837049743,15.0,3.0,0.2
2020-11-11 00:00:00,305,47,0.1540983606557377,16.0,2.0,0.125
2020-11-10 00:00:00,490,74,0.1510204081632653,61.0,3.0,0.0491803278688525
2020-11-09 00:00:00,450,56,0.1244444444444445,20.0,1.0,0.05
2020-11-08 00:00:00,160,19,0.11875,3.0,0.0,0
2020-11-07 00:00:00,211,14,0.0663507109004739,68.0,1.0,0.0147058823529412
2020-11-06 00:00:00,485,38,0.0783505154639175,30.0,1.0,0.0333333333333333
2020-11-05 00:00:00,478,41,0.0857740585774059,19.0,2.0,0.1052631578947368
2020-11-04 00:00:00,404,43,0.1064356435643564,25.0,1.0,0.04
2020-11-03 00:00:00,420,36,0.0857142857142857,15.0,1.0,0.0666666666666667
2020-11-02 00:00:00,506,25,0.0494071146245059,23.0,3.0,0.1304347826086957
2020-11-01 00:00:00,136,8,0.0588235294117647,,,
2020-10-31 00:00:00,120,10,0.0833333333333333,35.0,0.0,0
2020-10-30 00:00:00,316,13,0.0411392405063291,70.0,1.0,0.0142857142857143
2020-10-29 00:00:00,374,16,0.0427807486631016,21.0,4.0,0.1904761904761905
2020-10-28 00:00:00,323,14,0.043343653250774,75.0,5.0,0.0666666666666667
2020-10-27 00:00:00,352,15,0.0426136363636364,17.0,2.0,0.1176470588235294
2020-10-26 00:00:00,346,16,0.046242774566474,21.0,0.0,0
2020-10-25 00:00:00,84,10,0.1190476190476191,,,
2020-10-24 00:00:00,104,9,0.0865384615384615,44.0,0.0,0
2020-10-23 00:00:00,291,14,0.0481099656357388,154.0,3.0,0.0194805194805195
