date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_test,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA
2020-12-14T00:00:00Z,23,9,0.391304348,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,0.307692308,2,0,0,5,2,0.4,,,,1,1,1,,,,3,2,0.666666667,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,
2020-12-14T00:00:00Z,4911,930,0.1893708,52,13,0.25,6,1,0.166666667,1,0,0,66,21,0.318181818,1,1,1,76,13,0.171052632,,,,69,3,0.043478261,,,,6,0,0,,,,1,0,0,,,,2,0,0,,,,3034,564,0.18589321,37,6,0.162162162,167,49,0.293413174,3,0,0,37,6,0.162162162,,,,966,135,0.139751553,2,0,0,117,28,0.239316239,,,,12,4,0.333333333,,,,210,64,0.304761905,,,,142,42,0.295774648,8,6,0.75
2020-12-13T00:00:00Z,8096,1852,0.228754941,117,36,0.307692308,8,4,0.5,,,,129,25,0.19379845,2,1,0.5,61,9,0.147540984,,,,34,6,0.176470588,,,,1,0,0,,,,2,1,0.5,,,,5,1,0.2,1,1,1,5623,1299,0.231015472,100,29,0.29,346,86,0.248554913,,,,47,12,0.255319149,,,,923,188,0.20368364,,,,584,135,0.231164384,12,4,0.333333333,20,6,0.3,,,,221,56,0.253393665,,,,92,24,0.260869565,2,1,0.5
2020-12-12T00:00:00Z,11497,3067,0.266765243,312,53,0.169871795,41,7,0.170731707,,,,146,21,0.143835616,,,,402,57,0.141791045,12,0,0,41,5,0.12195122,,,,3,0,0,,,,,,,,,,10,2,0.2,,,,7488,2069,0.276308761,229,44,0.192139738,359,94,0.26183844,7,4,0.571428571,104,37,0.355769231,9,1,0.111111111,1899,476,0.250658241,8,2,0.25,626,175,0.279552716,27,2,0.074074074,60,17,0.283333333,,,,201,59,0.293532338,3,0,0,117,48,0.41025641,17,0,0
2020-12-11T00:00:00Z,24019,4736,0.197177235,1070,250,0.23364486,99,19,0.191919192,2,0,0,263,56,0.212927757,11,0,0,621,114,0.183574879,17,1,0.058823529,95,21,0.221052632,3,0,0,273,50,0.183150183,,,,9,2,0.222222222,,,,24,1,0.041666667,,,,14083,2688,0.190868423,799,189,0.236545682,748,143,0.191176471,15,3,0.2,245,57,0.232653061,23,5,0.217391304,4577,809,0.176753332,85,22,0.258823529,1529,286,0.18705036,36,9,0.25,173,43,0.248554913,3,1,0.333333333,640,155,0.2421875,31,6,0.193548387,640,292,0.45625,45,14,0.311111111
2020-12-10T00:00:00Z,27608,4818,0.174514633,1267,240,0.189423836,101,23,0.227722772,2,0,0,415,85,0.204819277,11,3,0.272727273,851,122,0.143360752,8,3,0.375,332,34,0.102409639,3,1,0.333333333,49,14,0.285714286,,,,15,4,0.266666667,,,,39,8,0.205128205,10,0,0,16440,2685,0.163321168,940,180,0.191489362,654,131,0.20030581,28,6,0.214285714,279,59,0.211469534,30,2,0.066666667,5224,910,0.174196018,68,10,0.147058824,1305,283,0.216858238,56,9,0.160714286,208,49,0.235576923,2,0,0,769,130,0.169050715,48,10,0.208333333,927,281,0.303128371,61,16,0.262295082
2020-12-09T00:00:00Z,29634,5193,0.175237902,1371,284,0.207148067,178,24,0.134831461,61,10,0.163934426,553,81,0.146473779,6,1,0.166666667,706,113,0.160056657,50,1,0.02,138,14,0.101449275,,,,73,18,0.246575342,,,,2,0,0,2,1,0.5,59,2,0.033898305,,,,18473,3003,0.162561576,1012,215,0.212450593,677,116,0.171344165,32,7,0.21875,408,90,0.220588235,14,5,0.357142857,4815,883,0.183385254,65,17,0.261538462,1682,381,0.226516052,45,10,0.222222222,234,55,0.235042735,6,1,0.166666667,698,171,0.244985673,13,2,0.153846154,938,242,0.257995736,65,14,0.215384615
2020-12-08T00:00:00Z,30364,5068,0.166908181,1300,240,0.184615385,100,17,0.17,2,0,0,567,85,0.149911817,8,2,0.25,672,89,0.132440476,11,4,0.363636364,160,26,0.1625,8,1,0.125,61,14,0.229508197,1,0,0,11,1,0.090909091,,,,44,5,0.113636364,,,,18993,2992,0.157531722,955,183,0.191623037,864,142,0.164351852,73,5,0.068493151,350,60,0.171428571,8,1,0.125,4834,801,0.165701283,65,14,0.215384615,1792,363,0.202566964,70,12,0.171428571,230,73,0.317391304,3,1,0.333333333,765,171,0.223529412,60,11,0.183333333,921,229,0.24864278,36,6,0.166666667
2020-12-07T00:00:00Z,29114,5066,0.174005633,1042,209,0.200575816,149,37,0.248322148,,,,561,82,0.146167558,12,2,0.166666667,806,125,0.155086849,7,2,0.285714286,310,31,0.1,27,3,0.111111111,90,19,0.211111111,1,0,0,16,3,0.1875,,,,40,6,0.15,3,1,0.333333333,16583,2772,0.167159139,700,156,0.222857143,728,141,0.193681319,76,16,0.210526316,441,97,0.219954649,5,0,0,5457,863,0.158145501,112,7,0.0625,1578,311,0.197084918,45,5,0.111111111,228,65,0.285087719,2,1,0.5,994,191,0.192152918,25,2,0.08,1133,323,0.285083848,27,14,0.518518519
2020-12-06T00:00:00Z,8890,2003,0.225309336,304,73,0.240131579,30,6,0.2,1,0,0,211,35,0.165876777,1,0,0,85,16,0.188235294,,,,44,9,0.204545455,,,,9,0,0,1,0,0,2,0,0,,,,6,2,0.333333333,,,,5271,1138,0.215898312,266,66,0.248120301,313,72,0.230031949,,,,82,27,0.329268293,,,,1801,414,0.229872293,5,1,0.2,469,115,0.245202559,25,3,0.12,72,24,0.333333333,,,,281,77,0.274021352,2,2,1,214,68,0.317757009,3,1,0.333333333
2020-12-05T00:00:00Z,14312,3007,0.21010341,590,83,0.140677966,50,16,0.32,2,1,0.5,319,46,0.144200627,1,0,0,293,44,0.150170648,2,0,0,42,7,0.166666667,,,,10,2,0.2,,,,3,0,0,,,,11,5,0.454545455,1,0,0,8937,1840,0.205885644,503,74,0.147117296,307,81,0.263843648,,,,46,16,0.347826087,,,,2226,529,0.237646002,10,3,0.3,992,171,0.172379032,19,3,0.157894737,50,16,0.32,,,,245,71,0.289795918,50,0,0,781,163,0.208706786,2,2,1
2020-12-04T00:00:00Z,23454,3960,0.168841136,1037,188,0.181292189,120,13,0.108333333,5,3,0.6,282,47,0.166666667,11,0,0,637,80,0.125588697,13,0,0,211,39,0.184834123,4,1,0.25,38,13,0.342105263,6,2,0.333333333,5,1,0.2,1,0,0,17,4,0.235294118,1,0,0,13462,2125,0.157851731,714,135,0.18907563,537,115,0.2141527,23,1,0.043478261,212,39,0.183962264,2,0,0,4545,773,0.170077008,71,18,0.253521127,1396,250,0.179083095,41,11,0.268292683,240,59,0.245833333,1,0,0,810,131,0.161728395,104,6,0.057692308,942,271,0.287685775,40,11,0.275
