date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_test,ser_positivity
2020-12-14T00:00:00Z,23,9,0.391304348,2,0,0
2020-12-14T00:00:00Z,4911,930,0.1893708,52,13,0.25
2020-12-13T00:00:00Z,8096,1852,0.228754941,117,36,0.307692308
2020-12-12T00:00:00Z,11497,3067,0.266765243,312,53,0.169871795
2020-12-11T00:00:00Z,24019,4736,0.197177235,1070,250,0.23364486
2020-12-10T00:00:00Z,27608,4818,0.174514633,1267,240,0.189423836
2020-12-09T00:00:00Z,29634,5193,0.175237902,1371,284,0.207148067
2020-12-08T00:00:00Z,30364,5068,0.166908181,1300,240,0.184615385
2020-12-07T00:00:00Z,29114,5066,0.174005633,1042,209,0.200575816
2020-12-06T00:00:00Z,8890,2003,0.225309336,304,73,0.240131579
2020-12-05T00:00:00Z,14312,3007,0.21010341,590,83,0.140677966
2020-12-04T00:00:00Z,23454,3960,0.168841136,1037,188,0.181292189
2020-12-03T00:00:00Z,29471,5011,0.170031556,1349,248,0.183839881
2020-12-02T00:00:00Z,27543,4799,0.174236648,1540,243,0.157792208
2020-12-01T00:00:00Z,26804,4736,0.176690046,1746,266,0.152348225
2020-11-30T00:00:00Z,26669,4789,0.179571787,1434,222,0.154811715
2020-11-29T00:00:00Z,12498,2427,0.194191071,528,53,0.100378788
2020-11-28T00:00:00Z,13012,2414,0.185521057,884,81,0.091628959
2020-11-27T00:00:00Z,14064,2490,0.177047782,874,103,0.11784897
2020-11-26T00:00:00Z,5887,1029,0.174791914,203,28,0.137931034
2020-11-25T00:00:00Z,24365,3281,0.134660373,1476,180,0.12195122
2020-11-24T00:00:00Z,25609,3554,0.138779335,1365,200,0.146520147
2020-11-23T00:00:00Z,28181,3671,0.130265072,1149,199,0.173194082
2020-11-22T00:00:00Z,13232,1669,0.126133615,452,62,0.137168142
2020-11-21T00:00:00Z,17959,2114,0.117712568,926,90,0.097192225
2020-11-20T00:00:00Z,24036,2862,0.119071393,1482,189,0.127530364
2020-11-19T00:00:00Z,25322,2983,0.117802701,981,177,0.180428135
2020-11-18T00:00:00Z,25329,3001,0.118480793,1557,210,0.134874759
2020-11-17T00:00:00Z,23948,2886,0.120511107,1667,196,0.117576485
2020-11-16T00:00:00Z,21104,2769,0.131207354,1277,181,0.141738449
2020-11-15T00:00:00Z,9604,1263,0.131507705,734,64,0.08719346
2020-11-14T00:00:00Z,13440,1652,0.122916667,924,102,0.11038961
2020-11-13T00:00:00Z,18052,2061,0.114170175,1447,127,0.087767795
2020-11-12T00:00:00Z,18716,2142,0.114447532,1170,127,0.108547009
2020-11-11T00:00:00Z,13601,1653,0.121535181,1180,139,0.11779661
2020-11-10T00:00:00Z,18645,2028,0.108769107,1492,161,0.107908847
2020-11-09T00:00:00Z,17519,1877,0.107140819,1324,137,0.10347432
2020-11-08T00:00:00Z,8517,1006,0.118116708,633,60,0.09478673
2020-11-07T00:00:00Z,11478,1290,0.112388918,1014,74,0.072978304
2020-11-06T00:00:00Z,17041,1556,0.091309195,1308,132,0.100917431
2020-11-05T00:00:00Z,16759,1641,0.097917537,1085,122,0.112442396
2020-11-04T00:00:00Z,17095,1674,0.097923369,1135,112,0.098678414
2020-11-03T00:00:00Z,16806,1427,0.084910151,1323,134,0.101284958
2020-11-02T00:00:00Z,15812,1488,0.094105742,1139,117,0.102721686
2020-11-01T00:00:00Z,6869,717,0.104382006,525,39,0.074285714
2020-10-31T00:00:00Z,7918,766,0.096741601,790,58,0.073417722
2020-10-30T00:00:00Z,13055,948,0.072615856,1429,131,0.091672498
2020-10-29T00:00:00Z,14087,1056,0.074962732,1350,119,0.088148148
2020-10-28T00:00:00Z,13155,1018,0.077385025,1323,132,0.099773243
2020-10-27T00:00:00Z,13153,875,0.066524747,1649,131,0.079442086
2020-10-26T00:00:00Z,13613,1022,0.075075296,1276,134,0.105015674
2020-10-25T00:00:00Z,5058,438,0.086595492,514,36,0.070038911
2020-10-24T00:00:00Z,7944,705,0.088746224,848,69,0.081367925
2020-10-23T00:00:00Z,11846,784,0.066182678,1546,123,0.079560155
