date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA
2020-12-24T00:00:00Z,30,10,0.3333333333333333,2,1,0.5,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5,0.2941176470588236,2,1,0.5,3,1,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-23T00:00:00Z,5096,985,0.1932888540031397,145,36,0.2482758620689655,9,2,0.2222222222222222,NA,NA,NA,88,7,0.0795454545454546,NA,NA,NA,90,15,0.1666666666666667,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,3244,603,0.185881627620222,112,27,0.2410714285714286,155,44,0.2838709677419355,5,1,0.2,29,9,0.3103448275862069,NA,NA,NA,754,125,0.1657824933687003,3,1,0.3333333333333333,152,34,0.2236842105263158,9,1,0.1111111111111111,7,3,0.4285714285714286,NA,NA,NA,174,64,0.367816091954023,6,2,0.3333333333333333,188,48,0.2553191489361702,5,1,0.2
2020-12-22T00:00:00Z,14526,3276,0.2255266418835192,683,189,0.2767203513909224,76,16,0.2105263157894737,1,1,1,270,55,0.2037037037037037,7,1,0.1428571428571429,713,94,0.1318373071528752,9,2,0.2222222222222222,24,9,0.375,1,0,0,4,0,0,NA,NA,NA,27,7,0.2592592592592593,1,1,1,8364,1932,0.2309899569583931,480,139,0.2895833333333334,695,162,0.2330935251798562,20,2,0.1,147,45,0.3061224489795919,1,0,0,2158,431,0.1997219647822058,50,11,0.22,643,223,0.3468118195956454,36,6,0.1666666666666667,46,13,0.2826086956521739,3,1,0.3333333333333333,419,81,0.1933174224343675,40,10,0.25,589,153,0.2597623089983022,25,11,0.44
2020-12-21T00:00:00Z,20870,5048,0.2418782942022041,1013,250,0.246791707798618,131,25,0.1908396946564886,1,0,0,453,81,0.1788079470198676,9,3,0.3333333333333333,647,101,0.1561051004636785,41,2,0.0487804878048781,87,22,0.2528735632183909,1,0,0,4,1,0.25,NA,NA,NA,49,9,0.1836734693877551,2,1,0.5,11255,2726,0.2422034651266104,678,175,0.2581120943952802,709,186,0.2623413258110014,57,9,0.1578947368421053,254,63,0.2480314960629922,16,7,0.4375,4207,864,0.2053719990492037,86,18,0.2093023255813954,948,298,0.3143459915611815,61,19,0.3114754098360656,182,50,0.2747252747252748,3,1,0.3333333333333333,658,171,0.2598784194528876,28,7,0.25,768,346,0.4505208333333334,22,6,0.2727272727272727
2020-12-20T00:00:00Z,11407,2652,0.2324888226527571,346,64,0.184971098265896,41,16,0.3902439024390244,1,0,0,260,35,0.1346153846153846,NA,NA,NA,80,20,0.25,26,2,0.0769230769230769,4,1,0.25,NA,NA,NA,2,0,0,NA,NA,NA,3,1,0.3333333333333333,NA,NA,NA,7119,1672,0.2348644472538278,245,47,0.1918367346938776,418,119,0.284688995215311,1,0,0,80,23,0.2875,2,0,0,2002,390,0.1948051948051948,6,0,0,507,130,0.2564102564102564,11,2,0.1818181818181818,61,19,0.3114754098360656,2,0,0,292,78,0.2671232876712329,49,11,0.2244897959183674,183,92,0.5027322404371586,1,1,1
2020-12-19T00:00:00Z,16063,3665,0.2281641038411256,611,108,0.176759410801964,37,6,0.1621621621621622,1,0,0,430,44,0.1023255813953488,NA,NA,NA,423,34,0.0803782505910166,NA,NA,NA,6,1,0.1666666666666667,NA,NA,NA,NA,NA,NA,1,0,0,4,0,0,NA,NA,NA,9162,2083,0.2273521065269592,521,94,0.1804222648752399,509,135,0.2652259332023576,3,0,0,168,45,0.2678571428571429,2,0,0,3456,837,0.2421875,15,6,0.4,835,233,0.2790419161676647,14,3,0.2142857142857143,72,21,0.2916666666666667,1,0,0,326,93,0.2852760736196319,48,4,0.0833333333333333,228,69,0.3026315789473684,2,0,0
2020-12-18T00:00:00Z,25833,4933,0.1909573026748732,1179,264,0.2239185750636132,119,24,0.2016806722689076,1,0,0,365,67,0.1835616438356164,8,3,0.375,884,109,0.1233031674208145,35,9,0.2571428571428571,63,14,0.2222222222222222,2,1,0.5,7,0,0,NA,NA,NA,11,0,0,3,0,0,14305,2593,0.1812652918559944,904,203,0.2245575221238938,743,199,0.2678331090174967,23,3,0.1304347826086957,278,67,0.2410071942446043,11,3,0.2727272727272727,4790,890,0.18580375782881,53,14,0.2641509433962264,1510,347,0.2298013245033113,48,14,0.2916666666666667,189,34,0.1798941798941799,7,2,0.2857142857142857,739,177,0.2395128552097429,54,5,0.0925925925925926,1019,302,0.296368989205103,19,6,0.3157894736842105
2020-12-17T00:00:00Z,31017,5619,0.1811587194119354,1339,269,0.2008961911874533,113,24,0.2123893805309735,2,1,0.5,366,66,0.180327868852459,12,3,0.25,778,111,0.1426735218508997,36,0,0,177,90,0.5084745762711864,2,1,0.5,4,0,0,NA,NA,NA,71,9,0.1267605633802817,NA,NA,NA,19023,3089,0.1623823792251485,916,186,0.203056768558952,713,176,0.2468443197755961,14,4,0.2857142857142857,245,55,0.2244897959183674,9,3,0.3333333333333333,4660,931,0.1997854077253219,73,13,0.1780821917808219,1939,390,0.2011346054667354,69,20,0.2898550724637682,223,52,0.2331838565022422,6,3,0.5,805,184,0.2285714285714286,158,20,0.1265822784810127,1081,332,0.3071230342275671,21,10,0.4761904761904762
2020-12-16T00:00:00Z,29213,5324,0.182247629480026,1268,266,0.2097791798107256,102,19,0.1862745098039216,1,0,0,327,81,0.2477064220183487,9,0,0,724,119,0.1643646408839779,3,2,0.6666666666666666,124,57,0.4596774193548388,2,1,0.5,6,1,0.1666666666666667,NA,NA,NA,32,5,0.15625,NA,NA,NA,17478,2970,0.1699279093717817,1006,207,0.205765407554672,693,180,0.2597402597402597,22,4,0.1818181818181818,361,100,0.2770083102493075,4,2,0.5,4594,873,0.1900304745319983,62,16,0.2580645161290323,2064,328,0.1589147286821706,100,17,0.17,205,54,0.2634146341463415,3,2,0.6666666666666666,695,145,0.2086330935251799,22,4,0.1818181818181818,924,282,0.3051948051948052,20,7,0.35
2020-12-15T00:00:00Z,27715,3991,0.1440014432617716,1002,261,0.2604790419161677,114,12,0.1052631578947368,1,1,1,341,73,0.2140762463343109,14,2,0.1428571428571429,631,88,0.1394611727416799,48,6,0.125,42,4,0.0952380952380952,1,0,0,9,1,0.1111111111111111,NA,NA,NA,51,6,0.1176470588235294,2,2,1,17193,2087,0.121386610829989,742,207,0.2789757412398922,635,165,0.2598425196850394,36,5,0.1388888888888889,404,61,0.150990099009901,11,3,0.2727272727272727,3951,750,0.1898253606681853,60,16,0.2666666666666667,1583,224,0.1415034744156665,39,12,0.3076923076923077,148,41,0.2770270270270271,3,0,0,851,169,0.1985898942420682,19,3,0.1578947368421053,988,254,0.257085020242915,17,4,0.2352941176470588
