date,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE
2020-12-27 00:00:00,22.0,11.0,0.5,,,
2020-12-26 00:00:00,93.0,24.0,0.2580645161290323,,,
2020-12-25 00:00:00,66.0,14.0,0.2121212121212121,1.0,0.0,0
2020-12-24 00:00:00,729.0,204.0,0.2798353909465021,9.0,1.0,0.1111111111111111
2020-12-23 00:00:00,1253.0,271.0,0.2162809257781325,31.0,8.0,0.2580645161290323
2020-12-22 00:00:00,1617.0,336.0,0.2077922077922078,38.0,6.0,0.1578947368421053
2020-12-21 00:00:00,1741.0,350.0,0.2010338885697875,79.0,15.0,0.189873417721519
2020-12-20 00:00:00,637.0,177.0,0.2778649921507064,1.0,0.0,0
2020-12-19 00:00:00,753.0,194.0,0.2576361221779549,3.0,0.0,0
2020-12-18 00:00:00,1263.0,293.0,0.2319873317498021,32.0,3.0,0.09375
2020-12-17 00:00:00,1409.0,269.0,0.1909155429382541,14.0,4.0,0.2857142857142857
2020-12-16 00:00:00,1175.0,264.0,0.2246808510638298,37.0,12.0,0.3243243243243244
2020-12-15 00:00:00,1393.0,259.0,0.185929648241206,44.0,10.0,0.2272727272727273
2020-12-14 00:00:00,1492.0,323.0,0.2164879356568365,17.0,2.0,0.1176470588235294
2020-12-13 00:00:00,630.0,149.0,0.2365079365079365,1.0,0.0,0
2020-12-12 00:00:00,602.0,153.0,0.2541528239202658,61.0,16.0,0.2622950819672132
2020-12-11 00:00:00,1270.0,235.0,0.1850393700787402,30.0,5.0,0.1666666666666667
2020-12-10 00:00:00,1209.0,191.0,0.1579818031430935,36.0,6.0,0.1666666666666667
2020-12-09 00:00:00,1007.0,175.0,0.1737835153922542,51.0,8.0,0.1568627450980392
2020-12-08 00:00:00,1239.0,214.0,0.1727199354317998,96.0,11.0,0.1145833333333333
2020-12-07 00:00:00,1172.0,226.0,0.1928327645051195,91.0,24.0,0.2637362637362638
2020-12-06 00:00:00,466.0,105.0,0.2253218884120172,,,
2020-12-05 00:00:00,459.0,124.0,0.2701525054466231,,,
2020-12-04 00:00:00,1044.0,178.0,0.1704980842911877,30.0,1.0,0.0333333333333333
2020-12-03 00:00:00,1162.0,192.0,0.1652323580034424,48.0,7.0,0.1458333333333334
2020-12-02 00:00:00,1235.0,217.0,0.1757085020242915,18.0,3.0,0.1666666666666667
2020-12-01 00:00:00,1191.0,215.0,0.1805205709487826,63.0,11.0,0.1746031746031746
2020-11-30 00:00:00,1332.0,233.0,0.1749249249249249,47.0,9.0,0.1914893617021277
2020-11-29 00:00:00,484.0,131.0,0.2706611570247934,2.0,0.0,0
2020-11-28 00:00:00,405.0,88.0,0.217283950617284,,,
