date,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO
2021-01-02 00:00:00,48,11,0.2291666666666667,,,
2021-01-01 00:00:00,60,19,0.3166666666666667,,,
2020-12-31 00:00:00,215,63,0.2930232558139535,3.0,1.0,0.3333333333333333
2020-12-30 00:00:00,301,72,0.239202657807309,7.0,3.0,0.4285714285714286
2020-12-29 00:00:00,321,90,0.2803738317757009,9.0,5.0,0.5555555555555556
2020-12-28 00:00:00,322,92,0.2857142857142857,9.0,2.0,0.2222222222222222
2020-12-27 00:00:00,99,28,0.2828282828282828,,,
2020-12-26 00:00:00,92,32,0.3478260869565218,1.0,1.0,1
2020-12-25 00:00:00,43,18,0.4186046511627907,2.0,1.0,0.5
2020-12-24 00:00:00,179,39,0.217877094972067,5.0,2.0,0.4
2020-12-23 00:00:00,213,63,0.295774647887324,9.0,3.0,0.3333333333333333
2020-12-22 00:00:00,269,80,0.2973977695167287,3.0,2.0,0.6666666666666666
2020-12-21 00:00:00,386,73,0.189119170984456,16.0,7.0,0.4375
2020-12-20 00:00:00,84,24,0.2857142857142857,2.0,0.0,0
2020-12-19 00:00:00,172,47,0.2732558139534884,2.0,0.0,0
2020-12-18 00:00:00,294,74,0.2517006802721089,11.0,3.0,0.2727272727272727
2020-12-17 00:00:00,262,57,0.217557251908397,9.0,3.0,0.3333333333333333
2020-12-16 00:00:00,375,100,0.2666666666666667,4.0,2.0,0.5
2020-12-15 00:00:00,398,61,0.1532663316582915,11.0,3.0,0.2727272727272727
2020-12-14 00:00:00,349,65,0.1862464183381089,7.0,2.0,0.2857142857142857
2020-12-13 00:00:00,68,20,0.2941176470588236,,,
2020-12-12 00:00:00,114,37,0.324561403508772,43.0,4.0,0.0930232558139535
2020-12-11 00:00:00,256,58,0.2265625,28.0,5.0,0.1785714285714286
2020-12-10 00:00:00,276,58,0.2101449275362319,32.0,2.0,0.0625
2020-12-09 00:00:00,399,87,0.2180451127819549,14.0,5.0,0.3571428571428572
2020-12-08 00:00:00,342,59,0.1725146198830409,8.0,1.0,0.125
2020-12-07 00:00:00,435,94,0.2160919540229885,5.0,0.0,0
2020-12-06 00:00:00,80,26,0.325,,,
2020-12-05 00:00:00,45,15,0.3333333333333333,,,
2020-12-04 00:00:00,208,38,0.1826923076923077,2.0,0.0,0
2020-12-03 00:00:00,216,55,0.2546296296296297,10.0,3.0,0.3
2020-12-02 00:00:00,266,66,0.2481203007518797,7.0,2.0,0.2857142857142857
2020-12-01 00:00:00,318,77,0.2421383647798742,9.0,0.0,0
2020-11-30 00:00:00,348,91,0.2614942528735632,12.0,0.0,0
2020-11-29 00:00:00,61,15,0.2459016393442623,4.0,0.0,0
2020-11-28 00:00:00,86,11,0.1279069767441861,5.0,0.0,0
2020-11-27 00:00:00,180,41,0.2277777777777778,7.0,1.0,0.1428571428571429
2020-11-26 00:00:00,40,6,0.15,,,
2020-11-25 00:00:00,248,43,0.1733870967741936,7.0,1.0,0.1428571428571429
2020-11-24 00:00:00,270,48,0.1777777777777778,9.0,0.0,0
2020-11-23 00:00:00,358,55,0.1536312849162011,15.0,2.0,0.1333333333333333
2020-11-22 00:00:00,96,8,0.0833333333333333,,,
2020-11-21 00:00:00,98,22,0.2244897959183674,2.0,1.0,0.5
2020-11-20 00:00:00,345,44,0.127536231884058,7.0,1.0,0.1428571428571429
2020-11-19 00:00:00,271,43,0.1586715867158672,10.0,6.0,0.6
2020-11-18 00:00:00,296,50,0.1689189189189189,44.0,3.0,0.0681818181818182
2020-11-17 00:00:00,324,49,0.1512345679012346,8.0,3.0,0.375
2020-11-16 00:00:00,318,51,0.160377358490566,3.0,0.0,0
2020-11-15 00:00:00,70,15,0.2142857142857143,1.0,0.0,0
2020-11-14 00:00:00,76,13,0.1710526315789474,2.0,1.0,0.5
2020-11-13 00:00:00,241,31,0.1286307053941909,1.0,0.0,0
2020-11-12 00:00:00,311,35,0.112540192926045,9.0,0.0,0
2020-11-11 00:00:00,147,23,0.1564625850340136,7.0,2.0,0.2857142857142857
2020-11-10 00:00:00,215,31,0.1441860465116279,1.0,0.0,0
