date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-01-30,64,5,0.078125,2,2,1,38,4,0.105263158,,,,1,0,0,,,,11,0,0,,,,4,0,0,1,1,1,31,3,0.096774194,,,,2,2,1,,,,10,2,0.2,,,
2021-01-29,4504,618,0.137211368,137,56,0.408759124,311,36,0.115755627,4,1,0.25,47,10,0.212765957,,,,490,61,0.124489796,2,1,0.5,74,17,0.22972973,5,3,0.6,230,43,0.186956522,7,2,0.285714286,140,19,0.135714286,,,,138,16,0.115942029,4,2,0.5
2021-01-28,16208,2413,0.148877098,713,290,0.406732118,489,55,0.112474438,9,0,0,25,3,0.12,1,0,0,1428,220,0.154061625,57,24,0.421052632,284,40,0.14084507,23,15,0.652173913,264,64,0.242424242,6,3,0.5,402,56,0.139303483,23,5,0.217391304,185,25,0.135135135,11,3,0.272727273
2021-01-27,21892,3430,0.156678239,1068,414,0.387640449,259,33,0.127413127,1,0,0,34,6,0.176470588,2,2,1,2835,433,0.152733686,67,20,0.298507463,457,82,0.179431072,25,13,0.52,143,28,0.195804196,1,1,1,426,57,0.133802817,22,8,0.363636364,211,29,0.137440758,10,4,0.4
2021-01-26,21470,3423,0.159431765,1105,448,0.405429864,299,35,0.117056856,7,2,0.285714286,34,4,0.117647059,5,1,0.2,3052,433,0.141874181,97,41,0.422680412,480,107,0.222916667,25,14,0.56,254,47,0.18503937,4,2,0.5,185,40,0.216216216,4,2,0.5,212,24,0.113207547,16,4,0.25
2021-01-25,21608,3605,0.166836357,983,408,0.415055951,73,14,0.191780822,,,,1,0,0,,,,3883,512,0.131856812,74,30,0.405405405,548,123,0.224452555,19,9,0.473684211,47,12,0.255319149,1,1,1,281,52,0.185053381,10,2,0.2,111,11,0.099099099,,,
2021-01-24,11263,2218,0.196927994,323,108,0.334365325,199,25,0.125628141,,,,9,2,0.222222222,,,,1474,240,0.162822252,8,4,0.5,135,20,0.148148148,1,0,0,72,13,0.180555556,1,1,1,171,46,0.269005848,1,0,0,202,27,0.133663366,2,0,0
2021-01-23,14924,2994,0.200616457,467,142,0.304068522,529,86,0.162570888,11,4,0.363636364,11,2,0.181818182,6,3,0.5,1727,333,0.192819919,12,5,0.416666667,120,36,0.3,3,0,0,285,49,0.171929825,14,1,0.071428571,235,55,0.234042553,28,6,0.214285714,201,42,0.208955224,16,6,0.375
2021-01-22,23249,4069,0.17501828,1098,423,0.385245902,521,69,0.13243762,20,5,0.25,26,4,0.153846154,4,0,0,4150,603,0.145301205,73,27,0.369863014,520,120,0.230769231,27,19,0.703703704,316,66,0.208860759,10,3,0.3,438,91,0.207762557,28,11,0.392857143,313,55,0.17571885,11,3,0.272727273
2021-01-21,26019,4351,0.167223952,1268,482,0.380126183,610,87,0.142622951,5,3,0.6,42,6,0.142857143,5,2,0.4,4430,532,0.120090293,90,28,0.311111111,537,121,0.225325885,20,13,0.65,296,45,0.152027027,22,19,0.863636364,511,91,0.178082192,37,13,0.351351351,345,40,0.115942029,15,5,0.333333333
