date,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO
2021-02-12 00:00:00,61,3,0.0491803278688525,,,
2021-02-11 00:00:00,226,16,0.0707964601769912,10.0,1.0,0.1
2021-02-10 00:00:00,228,16,0.0701754385964912,5.0,3.0,0.6
2021-02-09 00:00:00,195,24,0.1230769230769231,19.0,3.0,0.1578947368421053
2021-02-08 00:00:00,292,31,0.1061643835616438,5.0,2.0,0.4
2021-02-07 00:00:00,70,9,0.1285714285714286,1.0,1.0,1
2021-02-06 00:00:00,172,6,0.0348837209302326,,,
2021-02-05 00:00:00,323,34,0.1052631578947368,7.0,1.0,0.1428571428571429
2021-02-04 00:00:00,389,40,0.102827763496144,12.0,3.0,0.25
2021-02-03 00:00:00,500,49,0.098,6.0,2.0,0.3333333333333333
2021-02-02 00:00:00,419,54,0.1288782816229117,5.0,2.0,0.4
2021-02-01 00:00:00,573,58,0.1012216404886562,28.0,6.0,0.2142857142857143
2021-01-31 00:00:00,78,16,0.2051282051282051,1.0,0.0,0
2021-01-30 00:00:00,240,20,0.0833333333333333,10.0,3.0,0.3
2021-01-29 00:00:00,375,42,0.112,8.0,3.0,0.375
2021-01-28 00:00:00,372,42,0.1129032258064516,5.0,1.0,0.2
2021-01-27 00:00:00,472,56,0.1186440677966102,10.0,0.0,0
2021-01-26 00:00:00,255,31,0.1215686274509804,1.0,0.0,0
2021-01-25 00:00:00,297,34,0.1144781144781145,7.0,2.0,0.2857142857142857
2021-01-24 00:00:00,73,14,0.1917808219178082,,,
2021-01-23 00:00:00,188,25,0.1329787234042553,,,
2021-01-22 00:00:00,496,79,0.1592741935483871,11.0,4.0,0.3636363636363637
2021-01-21 00:00:00,490,62,0.126530612244898,20.0,5.0,0.25
2021-01-20 00:00:00,587,85,0.1448040885860307,5.0,3.0,0.6
2021-01-19 00:00:00,592,87,0.1469594594594595,18.0,5.0,0.2777777777777778
2021-01-18 00:00:00,519,92,0.1772639691714836,24.0,3.0,0.125
2021-01-17 00:00:00,88,21,0.2386363636363637,1.0,1.0,1
2021-01-16 00:00:00,282,48,0.1702127659574468,,,
2021-01-15 00:00:00,569,97,0.1704745166959578,9.0,2.0,0.2222222222222222
2021-01-14 00:00:00,563,100,0.177619893428064,7.0,4.0,0.5714285714285714
2021-01-13 00:00:00,634,129,0.2034700315457413,10.0,7.0,0.7
2021-01-12 00:00:00,650,125,0.1923076923076923,38.0,4.0,0.1052631578947368
2021-01-11 00:00:00,866,152,0.1755196304849885,2.0,0.0,0
2021-01-10 00:00:00,129,29,0.2248062015503876,17.0,3.0,0.1764705882352941
2021-01-09 00:00:00,416,65,0.15625,1.0,1.0,1
2021-01-08 00:00:00,558,111,0.1989247311827957,7.0,1.0,0.1428571428571429
2021-01-07 00:00:00,701,160,0.2282453637660485,9.0,0.0,0
2021-01-06 00:00:00,682,136,0.1994134897360704,35.0,8.0,0.2285714285714286
2021-01-05 00:00:00,641,145,0.2262090483619345,13.0,0.0,0
2021-01-04 00:00:00,789,149,0.1888466413181242,18.0,4.0,0.2222222222222222
2021-01-03 00:00:00,104,31,0.2980769230769231,3.0,0.0,0
2021-01-02 00:00:00,357,81,0.226890756302521,4.0,1.0,0.25
2021-01-01 00:00:00,67,24,0.3582089552238806,2.0,0.0,0
2020-12-31 00:00:00,265,56,0.2113207547169812,7.0,3.0,0.4285714285714286
2020-12-30 00:00:00,575,130,0.2260869565217392,40.0,3.0,0.075
2020-12-29 00:00:00,582,98,0.1683848797250859,5.0,0.0,0
2020-12-28 00:00:00,662,122,0.1842900302114804,6.0,1.0,0.1666666666666667
2020-12-27 00:00:00,104,21,0.2019230769230769,1.0,0.0,0
2020-12-26 00:00:00,106,24,0.2264150943396227,1.0,1.0,1
2020-12-25 00:00:00,53,15,0.2830188679245283,,,
2020-12-24 00:00:00,376,58,0.1542553191489362,2.0,1.0,0.5
2020-12-23 00:00:00,680,111,0.1632352941176471,9.0,1.0,0.1111111111111111
2020-12-22 00:00:00,836,108,0.1291866028708134,69.0,9.0,0.1304347826086957
2020-12-21 00:00:00,742,98,0.1320754716981132,48.0,2.0,0.0416666666666667
