date,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO
2021-03-13 00:00:00,59,4,0.0677966101694915,,,
2021-03-12 00:00:00,205,9,0.0439024390243902,1.0,1.0,1
2021-03-11 00:00:00,573,20,0.0349040139616056,6.0,3.0,0.5
2021-03-10 00:00:00,1108,23,0.0207581227436823,54.0,29.0,0.5370370370370372
2021-03-09 00:00:00,902,19,0.0210643015521064,7.0,5.0,0.7142857142857144
2021-03-08 00:00:00,1222,29,0.0237315875613748,7.0,2.0,0.2857142857142857
2021-03-07 00:00:00,142,0,0,,,
2021-03-06 00:00:00,359,8,0.0222841225626741,,,
2021-03-05 00:00:00,1067,29,0.0271790065604499,28.0,19.0,0.6785714285714286
2021-03-04 00:00:00,877,26,0.0296465222348917,35.0,13.0,0.3714285714285715
2021-03-03 00:00:00,1114,45,0.040394973070018,12.0,7.0,0.5833333333333334
2021-03-02 00:00:00,1245,41,0.0329317269076305,51.0,19.0,0.3725490196078432
2021-03-01 00:00:00,1167,50,0.0428449014567267,6.0,4.0,0.6666666666666666
2021-02-28 00:00:00,118,2,0.0169491525423729,,,
2021-02-27 00:00:00,407,32,0.0786240786240786,44.0,21.0,0.4772727272727274
2021-02-26 00:00:00,857,31,0.0361726954492415,52.0,19.0,0.3653846153846154
2021-02-25 00:00:00,999,51,0.0510510510510511,4.0,1.0,0.25
2021-02-24 00:00:00,1169,46,0.039349871685201,8.0,3.0,0.375
2021-02-23 00:00:00,1169,40,0.0342172797262618,19.0,9.0,0.4736842105263158
2021-02-22 00:00:00,1433,61,0.0425680390788556,9.0,3.0,0.3333333333333333
2021-02-21 00:00:00,143,10,0.0699300699300699,,,
2021-02-20 00:00:00,406,27,0.0665024630541872,1.0,1.0,1
2021-02-19 00:00:00,1016,45,0.0442913385826772,6.0,4.0,0.6666666666666666
2021-02-18 00:00:00,1103,55,0.0498640072529465,9.0,3.0,0.3333333333333333
2021-02-17 00:00:00,1188,55,0.0462962962962963,98.0,33.0,0.336734693877551
2021-02-16 00:00:00,1073,53,0.0493942218080149,60.0,30.0,0.5
2021-02-15 00:00:00,1526,62,0.0406290956749672,12.0,6.0,0.5
2021-02-14 00:00:00,183,13,0.0710382513661202,,,
2021-02-13 00:00:00,545,18,0.0330275229357798,,,
2021-02-12 00:00:00,1065,56,0.0525821596244131,9.0,3.0,0.3333333333333333
2021-02-11 00:00:00,1125,60,0.0533333333333333,64.0,14.0,0.21875
2021-02-10 00:00:00,1348,73,0.0541543026706232,16.0,8.0,0.5
2021-02-09 00:00:00,1167,55,0.0471293916023993,63.0,23.0,0.3650793650793651
2021-02-08 00:00:00,1680,89,0.0529761904761905,6.0,2.0,0.3333333333333333
2021-02-07 00:00:00,218,12,0.055045871559633,1.0,1.0,1
2021-02-06 00:00:00,549,30,0.0546448087431694,,,
2021-02-05 00:00:00,1076,64,0.0594795539033457,7.0,1.0,0.1428571428571429
2021-02-04 00:00:00,1369,75,0.0547845142439737,16.0,4.0,0.25
2021-02-03 00:00:00,1458,96,0.065843621399177,15.0,5.0,0.3333333333333333
2021-02-02 00:00:00,1235,98,0.0793522267206478,11.0,7.0,0.6363636363636364
2021-02-01 00:00:00,1629,118,0.0724370779619398,36.0,9.0,0.25
2021-01-31 00:00:00,217,28,0.1290322580645161,1.0,0.0,0
2021-01-30 00:00:00,659,42,0.0637329286798179,25.0,7.0,0.2800000000000001
2021-01-29 00:00:00,1222,94,0.0769230769230769,14.0,5.0,0.3571428571428572
2021-01-28 00:00:00,1191,79,0.0663308144416457,7.0,1.0,0.1428571428571429
2021-01-27 00:00:00,1467,118,0.0804362644853443,12.0,1.0,0.0833333333333333
2021-01-26 00:00:00,669,59,0.0881913303437967,2.0,0.0,0
2021-01-25 00:00:00,998,73,0.0731462925851704,8.0,2.0,0.25
2021-01-24 00:00:00,160,21,0.13125,,,
2021-01-23 00:00:00,569,51,0.0896309314586995,,,
2021-01-22 00:00:00,1413,147,0.1040339702760085,12.0,5.0,0.4166666666666667
2021-01-21 00:00:00,1325,130,0.0981132075471698,34.0,13.0,0.3823529411764706
2021-01-20 00:00:00,1417,147,0.1037402964008469,5.0,3.0,0.6
2021-01-19 00:00:00,1497,173,0.115564462257849,40.0,10.0,0.25
2021-01-18 00:00:00,1494,165,0.1104417670682731,50.0,10.0,0.2
2021-01-17 00:00:00,228,36,0.1578947368421053,1.0,1.0,1
2021-01-16 00:00:00,755,84,0.1112582781456954,,,
2021-01-15 00:00:00,1652,204,0.1234866828087167,11.0,2.0,0.1818181818181818
2021-01-14 00:00:00,1567,198,0.1263560944479898,8.0,5.0,0.625
2021-01-13 00:00:00,1704,227,0.1332159624413146,14.0,9.0,0.642857142857143
2021-01-12 00:00:00,1745,222,0.1272206303724929,65.0,9.0,0.1384615384615385
2021-01-11 00:00:00,2184,282,0.1291208791208791,2.0,0.0,0
2021-01-10 00:00:00,274,41,0.1496350364963504,32.0,9.0,0.28125
2021-01-09 00:00:00,1155,117,0.1012987012987013,1.0,1.0,1
2021-01-08 00:00:00,1709,227,0.1328262141603277,7.0,1.0,0.1428571428571429
2021-01-07 00:00:00,1833,277,0.1511183851609384,11.0,0.0,0
2021-01-06 00:00:00,2065,260,0.12590799031477,55.0,12.0,0.2181818181818182
2021-01-05 00:00:00,1666,272,0.163265306122449,13.0,0.0,0
2021-01-04 00:00:00,1851,267,0.1442463533225284,21.0,6.0,0.2857142857142857
2021-01-03 00:00:00,302,54,0.1788079470198676,5.0,2.0,0.4
2021-01-02 00:00:00,1030,161,0.1563106796116505,4.0,1.0,0.25
2021-01-01 00:00:00,136,29,0.2132352941176471,2.0,0.0,0
2020-12-31 00:00:00,666,95,0.1426426426426427,9.0,4.0,0.4444444444444444
2020-12-30 00:00:00,1608,236,0.1467661691542289,44.0,4.0,0.0909090909090909
2020-12-29 00:00:00,1640,225,0.1371951219512195,12.0,0.0,0
2020-12-28 00:00:00,1973,270,0.1368474404460213,7.0,2.0,0.2857142857142857
2020-12-27 00:00:00,239,40,0.1673640167364017,1.0,0.0,0
2020-12-26 00:00:00,270,43,0.1592592592592593,1.0,1.0,1
2020-12-25 00:00:00,101,22,0.2178217821782178,,,
2020-12-24 00:00:00,918,130,0.1416122004357298,3.0,2.0,0.6666666666666666
2020-12-23 00:00:00,1519,222,0.1461487820934826,15.0,1.0,0.0666666666666667
2020-12-22 00:00:00,1851,168,0.0907617504051864,80.0,16.0,0.2
2020-12-21 00:00:00,1961,187,0.0953595104538501,51.0,3.0,0.0588235294117647
2020-12-20 00:00:00,175,32,0.1828571428571429,29.0,3.0,0.103448275862069
2020-12-19 00:00:00,860,60,0.0697674418604651,,,
