Category,Yavapai,Yuma,Santa Cruz,Pinal,Pima,Navajo,Mohave,Maricopa,La Paz,Greenlee,Graham,Gila,Coconino,Cochise,Arizona,Apache
Total_doses_administered,104876,78015,23024,123333,405357,29606,56584,1087589,9682,6655,9515,25551,81791,48344,2904159,12063
Total_people_one_dose,62338,52791,14486,79226,257181,19244,38634,685479,6074,3787,5807,16269,50085,32407,7189020,7205
Total_people_complete,43606,27212,8897,48180,168387,10893,19232,435467,3626,2904,3894,9613,32147,17223,1136413,5061
Total_doses_ordered,109800,75200,26300,127140,379540,28400,66800,914375,11800,9400,12400,29800,66850,50400,2819270,15500
Male-65 years and older,18515,12237,2615,21909,54880,4386,13094,129079,2433,476,1313,4402,5975,8251,398599,1430
Male-55-64 years,3752,4050,1186,6019,15836,1721,2080,59826,294,497,517,1473,4031,2744,157668,662
Male-45-54 years,1595,2637,1202,2996,10260,944,808,31867,94,376,284,773,3322,1173,75985,338
Male-20-44 years,2703,5884,1866,5020,22499,1556,1239,61503,117,711,432,1115,8526,1991,150464,570
Male-Less than 20 years,103,120,47,150,686,480,26,2272,3,30,24,56,673,73,6583,486
Female-65 years and older,22962,13926,3222,25058,73517,4789,14843,170319,2386,470,1660,4665,6923,9789,494219,1472
Female-55-64 years,5480,4737,1278,7647,24344,1998,3217,79540,444,370,642,1764,4927,3683,203584,779
Female-45-54 years,2302,2991,1227,3817,16689,1166,1321,47970,128,290,343,843,3830,1736,107884,394
Female-20-44 years,3630,6041,1804,6014,37447,1725,1998,99557,162,554,563,1103,11032,2863,223335,568
Female-Less than 20 years,120,150,47,189,1182,508,45,3583,8,31,31,52,966,90,9882,527
"Black or African American, non-Hispanic",0.002694596,0.001136191,0.000551914,0.009332358,0.012550788,0.004624578,0.004762521,0.024524535,0.001646362,0.008714022,0.001549854,0.002827463,0.004751922,0.003054896,0.01815903,0.008038808
"Asian or Pacific Islander, non-Hispanic",0.006479863,0.002556431,0.000758882,0.012586072,0.019172223,0.008002078,0.006160217,0.026612599,0.00214027,0.009506205,0.002583089,0.004794394,0.010781671,0.013145308,0.026898466,0.009147609
"American Indian or Alaska Native, non-Hispanic",0.01002454,0.004317528,0.003311487,0.058743411,0.023383036,0.046713432,0.012113369,0.036517776,0.004939085,0.017163982,0.004821767,0.007437458,0.047639014,0.016138489,0.027950911,0.046708247
Hispanic or Latino,0.028405537,0.06898576,0.044084167,0.097182637,0.126001672,0.078877631,0.033725896,0.085782652,0.008231808,0.020068656,0.032719132,0.044440347,0.114844764,0.157774555,0.094090045,0.051559252
"Other Race, non-Hispanic",0.176447945,0.193815331,0.054363574,0.09798976,0.155286845,0.221356196,0.168241232,0.130406254,0.049390846,0.073673092,0.162562425,0.166574467,0.208086253,0.16258833,0.149210176,0.199168399
"Unknown, non-Hispanic",0.314610166,0.31767914,0.186409107,0.32807022,0.244915337,0.24463497,0.245036884,0.181639625,0.420480738,0.42249802,0.252109523,0.363390497,0.24097035,0.164933502,0.1866178,0.25987526
"White, non-Hispanic",0.461337354,0.41150962,0.710520869,0.396095543,0.418690099,0.395791115,0.529959881,0.514516559,0.513170892,0.448376023,0.54365421,0.410535374,0.372926026,0.482364921,0.497073572,0.425502426
