date,Arizona_cume,Arizona,Apache_cume,Apache,Cochise_cume,Cochise,Coconino_cume,Coconino,Gila_cume,Gila,Graham_cume,Graham,Greenlee_cume,Greenlee,La Paz_cume,La Paz,Maricopa_cume,Maricopa,Mohave_cume,Mohave,Navajo_cume,Navajo,Pima_cume,Pima,Pinal_cume,Pinal,Santa Cruz_cume,Santa Cruz,Yavapai_cume,Yavapai,Yuma_cume,Yuma
2020-12-01T00:00:00Z,25,,,,,,,,,,,,,,,,17,,,,,,4,,,,,,,,1,
2020-12-02T00:00:00Z,32,7,,,,,1,,,,,,,,,,21,4,,,,,5,1,,,,,,,,
2020-12-03T00:00:00Z,37,5,,,,,,,,,,,,,,,24,3,,,,,6,1,,,,,,,,
2020-12-04T00:00:00Z,40,3,,,,,2,1,,,,,,,,,25,1,,,,,7,1,,,,,,,,
2020-12-05T00:00:00Z,41,1,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,
2020-12-07T00:00:00Z,45,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2020-12-08T00:00:00Z,48,3,1,,,,,,,,,,,,,,26,1,,,,,,,,,,,,,,
2020-12-09T00:00:00Z,51,3,,,,,,,,,,,,,,,27,1,,,,,10,2,,,,,,,,
2020-12-10T00:00:00Z,52,1,,,,,,,,,,,,,,,28,1,,,,,,,,,,,,,,
2020-12-11T00:00:00Z,59,7,,,,,,,,,,,,,,,30,2,,,,,13,3,,,,,,,,
2020-12-12T00:00:00Z,62,3,,,,,,,,,,,,,,,32,2,,,,,,,,,,,,,,
2020-12-13T00:00:00Z,65,3,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,
2020-12-14T00:00:00Z,69,4,,,,,,,,,,,,,,,34,2,,,,,15,1,,,,,,,,
2020-12-15T00:00:00Z,99,30,,,,,3,1,,,,,,,,,38,4,,,,,29,14,,,,,,,,
2020-12-16T00:00:00Z,652,553,,,,,142,139,,,,,,,,,63,25,,,4,,30,1,2,1,,,,,,
2020-12-17T00:00:00Z,3554,2902,3,2,56,,267,125,,,,,,,,,1291,1228,,,12,8,1262,1232,4,2,,,,,,
2020-12-18T00:00:00Z,7048,3494,,,194,138,477,210,,,,,,,,,2930,1639,,,32,20,2665,1403,6,2,,,,,,
2020-12-19T00:00:00Z,9596,2548,,,267,73,525,48,,,,,,,,,4610,1680,,,,,3401,736,,,,,2,,2,1
2020-12-20T00:00:00Z,10604,1008,,,303,36,526,1,,,,,,,,,5569,959,,,,,3404,3,,,,,,,4,2
2020-12-21T00:00:00Z,15989,5385,5,2,641,338,527,1,,,,,20,,30,,8801,3232,,,37,5,4924,1520,32,26,,,,,179,175
2020-12-22T00:00:00Z,23597,7608,7,2,1093,452,564,37,,,,,50,30,70,40,12998,4197,54,,125,88,6421,1497,126,94,61,,373,371,838,659
2020-12-23T00:00:00Z,33140,9543,51,44,1540,447,894,330,28,,62,,60,10,88,18,17783,4785,287,233,293,168,8257,1836,358,232,81,20,804,431,1581,743
2020-12-24T00:00:00Z,36876,3736,52,1,1667,127,1281,387,87,59,,,70,10,,,19333,1550,443,156,394,101,9287,1030,395,37,101,20,815,11,1819,238
2020-12-25T00:00:00Z,37013,137,,,1668,1,1403,122,,,,,,,,,19334,1,,,,,9288,1,,,,,821,6,,
2020-12-26T00:00:00Z,43512,6499,54,2,1690,22,1501,98,111,24,72,10,,,,,24434,5100,623,180,,,10073,785,557,162,,,826,5,1923,104
2020-12-27T00:00:00Z,46143,2631,,,,,1592,91,,,,,,,,,26741,2307,684,61,,,10235,162,558,1,,,830,4,1924,1
