date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2021-03-24 00:00:00,24,1,0.0416666666666667,,,
2021-03-23 00:00:00,7,1,0.1428571428571429,,,
2021-03-22 00:00:00,17,2,0.1176470588235294,11.0,5.0,0.4545454545454546
2021-03-21 00:00:00,9,1,0.1111111111111111,,,
2021-03-20 00:00:00,6,1,0.1666666666666667,,,
2021-03-19 00:00:00,11,0,0,,,
2021-03-18 00:00:00,17,0,0,,,
2021-03-17 00:00:00,21,1,0.0476190476190476,1.0,1.0,1
2021-03-16 00:00:00,16,1,0.0625,,,
2021-03-15 00:00:00,17,3,0.1764705882352941,,,
2021-03-14 00:00:00,12,1,0.0833333333333333,,,
2021-03-13 00:00:00,6,0,0,,,
2021-03-12 00:00:00,18,1,0.0555555555555556,,,
2021-03-11 00:00:00,26,1,0.0384615384615385,,,
2021-03-10 00:00:00,220,0,0,6.0,3.0,0.5
2021-03-09 00:00:00,8,0,0,2.0,0.0,0
2021-03-08 00:00:00,33,1,0.0303030303030303,2.0,1.0,0.5
2021-03-07 00:00:00,8,0,0,,,
2021-03-06 00:00:00,6,0,0,,,
2021-03-05 00:00:00,23,0,0,2.0,2.0,1
2021-03-04 00:00:00,26,0,0,22.0,9.0,0.4090909090909091
2021-03-03 00:00:00,18,0,0,2.0,1.0,0.5
2021-03-02 00:00:00,26,0,0,17.0,9.0,0.5294117647058824
2021-03-01 00:00:00,18,1,0.0555555555555556,,,
2021-02-28 00:00:00,17,1,0.0588235294117647,,,
2021-02-27 00:00:00,7,0,0,,,
2021-02-26 00:00:00,9,0,0,1.0,1.0,1
2021-02-25 00:00:00,24,0,0,,,
2021-02-24 00:00:00,15,1,0.0666666666666667,1.0,1.0,1
2021-02-23 00:00:00,24,0,0,,,
2021-02-22 00:00:00,208,2,0.0096153846153846,3.0,0.0,0
2021-02-21 00:00:00,12,1,0.0833333333333333,,,
2021-02-20 00:00:00,3,2,0.6666666666666666,,,
2021-02-19 00:00:00,20,2,0.1,4.0,4.0,1
2021-02-18 00:00:00,26,1,0.0384615384615385,1.0,1.0,1
2021-02-17 00:00:00,216,0,0,5.0,5.0,1
2021-02-16 00:00:00,19,0,0,5.0,3.0,0.6
2021-02-15 00:00:00,19,3,0.1578947368421053,3.0,0.0,0
2021-02-14 00:00:00,8,1,0.125,,,
2021-02-13 00:00:00,9,0,0,,,
2021-02-12 00:00:00,12,1,0.0833333333333333,5.0,5.0,1
2021-02-11 00:00:00,33,3,0.0909090909090909,1.0,1.0,1
2021-02-10 00:00:00,240,2,0.0083333333333333,1.0,1.0,1
2021-02-09 00:00:00,131,2,0.0152671755725191,7.0,6.0,0.8571428571428572
2021-02-08 00:00:00,31,4,0.1290322580645161,1.0,1.0,1
2021-02-07 00:00:00,8,0,0,,,
2021-02-06 00:00:00,8,2,0.25,,,
2021-02-05 00:00:00,26,2,0.0769230769230769,3.0,3.0,1
2021-02-04 00:00:00,219,4,0.0182648401826484,,,
2021-02-03 00:00:00,216,2,0.0092592592592593,1.0,0.0,0
2021-02-02 00:00:00,22,0,0,4.0,3.0,0.75
2021-02-01 00:00:00,45,11,0.2444444444444445,,,
2021-01-31 00:00:00,12,1,0.0833333333333333,,,
2021-01-30 00:00:00,11,2,0.1818181818181818,,,
2021-01-29 00:00:00,23,3,0.1304347826086957,2.0,0.0,0
2021-01-28 00:00:00,68,16,0.2352941176470588,,,
2021-01-27 00:00:00,238,7,0.0294117647058824,1.0,0.0,0
2021-01-26 00:00:00,56,11,0.1964285714285714,5.0,5.0,1
2021-01-25 00:00:00,61,6,0.0983606557377049,5.0,1.0,0.2
2021-01-24 00:00:00,7,0,0,,,
2021-01-23 00:00:00,13,3,0.2307692307692308,,,
2021-01-22 00:00:00,19,4,0.2105263157894737,6.0,3.0,0.5
2021-01-21 00:00:00,51,7,0.1372549019607843,5.0,0.0,0
2021-01-20 00:00:00,268,13,0.0485074626865672,6.0,3.0,0.5
2021-01-19 00:00:00,80,18,0.225,1.0,1.0,1
2021-01-18 00:00:00,12,2,0.1666666666666667,1.0,1.0,1
2021-01-17 00:00:00,13,3,0.2307692307692308,,,
2021-01-16 00:00:00,17,7,0.4117647058823529,1.0,0.0,0
2021-01-15 00:00:00,25,5,0.2,4.0,2.0,0.5
