date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-03-28 00:00:00,72,1,0.0138888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,,,,,,,,64.0,1.0,0.015625,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,
2021-03-27 00:00:00,2049,148,0.0722303562713519,12.0,6.0,0.5,2.0,1.0,0.5,,,,26.0,3.0,0.1153846153846154,1.0,0.0,0.0,53.0,3.0,0.0566037735849057,,,,6.0,1.0,0.1666666666666667,,,,100.0,4.0,0.04,,,,251.0,25.0,0.099601593625498,,,,11.0,0.0,0.0,,,,21.0,2.0,0.0952380952380952,,,,1346.0,98.0,0.0728083209509658,11.0,6.0,0.5454545454545454,4.0,2.0,0.5,,,,,,,,,,4.0,0.0,0.0,,,,25.0,3.0,0.12,,,,18.0,0.0,0.0,,,
2021-03-26 00:00:00,7915,424,0.0535691724573595,451.0,206.0,0.4567627494456764,17.0,0.0,0.0,,,,155.0,3.0,0.0193548387096774,6.0,3.0,0.5,167.0,12.0,0.0718562874251497,16.0,8.0,0.5,36.0,3.0,0.0833333333333333,,,,566.0,44.0,0.0777385159010601,18.0,7.0,0.3888888888888889,1060.0,55.0,0.0518867924528302,26.0,14.0,0.5384615384615384,68.0,2.0,0.0294117647058824,3.0,0.0,0.0,190.0,10.0,0.0526315789473684,17.0,7.0,0.4117647058823529,4627.0,254.0,0.0548951804625027,335.0,158.0,0.4716417910447762,4.0,0.0,0.0,,,,2.0,0.0,0.0,,,,38.0,1.0,0.0263157894736842,3.0,1.0,0.3333333333333333,145.0,12.0,0.0827586206896552,5.0,3.0,0.6,78.0,5.0,0.0641025641025641,5.0,1.0,0.2
2021-03-25 00:00:00,9342,477,0.0510597302504817,785.0,403.0,0.513375796178344,28.0,0.0,0.0,,,,221.0,13.0,0.0588235294117647,6.0,5.0,0.8333333333333334,225.0,9.0,0.04,58.0,33.0,0.5689655172413794,48.0,10.0,0.2083333333333334,,,,575.0,34.0,0.0591304347826087,33.0,17.0,0.5151515151515152,1268.0,73.0,0.0575709779179811,41.0,17.0,0.4146341463414634,136.0,4.0,0.0294117647058824,34.0,29.0,0.8529411764705882,185.0,9.0,0.0486486486486487,16.0,8.0,0.5,5514.0,284.0,0.0515052593398622,561.0,274.0,0.4884135472370766,4.0,0.0,0.0,,,,2.0,0.0,0.0,,,,72.0,3.0,0.0416666666666667,4.0,3.0,0.75,191.0,11.0,0.0575916230366492,4.0,2.0,0.5,127.0,6.0,0.047244094488189,16.0,7.0,0.4375
2021-03-24 00:00:00,9756,493,0.0505330053300533,879.0,395.0,0.4493742889647327,23.0,1.0,0.0434782608695652,1.0,1.0,1.0,179.0,8.0,0.0446927374301676,16.0,10.0,0.625,228.0,14.0,0.0614035087719298,36.0,24.0,0.6666666666666666,51.0,4.0,0.0784313725490196,1.0,0.0,0.0,640.0,35.0,0.0546875,42.0,16.0,0.380952380952381,1275.0,58.0,0.0454901960784314,32.0,14.0,0.4375,80.0,2.0,0.025,19.0,13.0,0.6842105263157896,219.0,15.0,0.0684931506849315,36.0,12.0,0.3333333333333333,5948.0,297.0,0.0499327505043712,648.0,291.0,0.4490740740740741,11.0,0.0,0.0,,,,1.0,0.0,0.0,,,,86.0,9.0,0.1046511627906977,6.0,2.0,0.3333333333333333,201.0,10.0,0.0497512437810945,7.0,3.0,0.4285714285714286,97.0,3.0,0.0309278350515464,14.0,4.0,0.2857142857142857
2021-03-23 00:00:00,10749,484,0.0450274444134338,888.0,351.0,0.3952702702702703,25.0,0.0,0.0,,,,183.0,7.0,0.0382513661202186,9.0,7.0,0.7777777777777778,260.0,12.0,0.0461538461538462,22.0,6.0,0.2727272727272727,58.0,6.0,0.103448275862069,3.0,0.0,0.0,660.0,27.0,0.0409090909090909,57.0,24.0,0.4210526315789474,1479.0,52.0,0.035158891142664,34.0,11.0,0.3235294117647059,88.0,4.0,0.0454545454545455,3.0,1.0,0.3333333333333333,224.0,19.0,0.0848214285714286,21.0,12.0,0.5714285714285714,6503.0,301.0,0.046286329386437,677.0,258.0,0.3810930576070901,2.0,1.0,0.5,,,,4.0,0.0,0.0,,,,42.0,3.0,0.0714285714285714,1.0,0.0,0.0,207.0,1.0,0.0048309178743961,27.0,22.0,0.8148148148148148,153.0,14.0,0.0915032679738562,16.0,3.0,0.1875
2021-03-22 00:00:00,11640,535,0.0459621993127148,598.0,181.0,0.302675585284281,46.0,3.0,0.0652173913043478,2.0,0.0,0.0,297.0,13.0,0.0437710437710438,13.0,3.0,0.2307692307692308,239.0,11.0,0.0460251046025105,18.0,5.0,0.2777777777777778,45.0,4.0,0.0888888888888889,1.0,0.0,0.0,714.0,35.0,0.0490196078431373,55.0,19.0,0.3454545454545455,1468.0,56.0,0.0381471389645777,51.0,12.0,0.2352941176470588,139.0,4.0,0.0287769784172662,6.0,0.0,0.0,259.0,8.0,0.0308880308880309,12.0,3.0,0.25,7002.0,325.0,0.0464153099114539,407.0,128.0,0.3144963144963145,9.0,1.0,0.1111111111111111,8.0,4.0,0.5,2.0,0.0,0.0,,,,87.0,8.0,0.0919540229885058,5.0,1.0,0.2,260.0,5.0,0.0192307692307692,3.0,2.0,0.6666666666666666,88.0,13.0,0.1477272727272727,5.0,1.0,0.2
2021-03-21 00:00:00,5072,274,0.0540220820189274,197.0,101.0,0.5126903553299492,7.0,0.0,0.0,1.0,1.0,1.0,33.0,6.0,0.1818181818181818,,,,117.0,3.0,0.0256410256410256,,,,14.0,2.0,0.1428571428571429,,,,355.0,17.0,0.047887323943662,3.0,1.0,0.3333333333333333,674.0,32.0,0.0474777448071217,18.0,11.0,0.6111111111111112,37.0,2.0,0.0540540540540541,,,,138.0,10.0,0.072463768115942,,,,3202.0,175.0,0.0546533416614616,174.0,88.0,0.5057471264367818,5.0,0.0,0.0,,,,,,,,,,25.0,1.0,0.04,,,,55.0,2.0,0.0363636363636364,,,,46.0,2.0,0.0434782608695652,,,
2021-03-20 00:00:00,5527,329,0.059525963452144,362.0,167.0,0.4613259668508288,7.0,0.0,0.0,,,,45.0,4.0,0.0888888888888889,1.0,0.0,0.0,89.0,1.0,0.0112359550561798,31.0,15.0,0.4838709677419356,16.0,0.0,0.0,,,,397.0,29.0,0.0730478589420655,18.0,6.0,0.3333333333333333,683.0,32.0,0.0468521229868228,7.0,3.0,0.4285714285714286,38.0,0.0,0.0,,,,138.0,10.0,0.072463768115942,,,,3575.0,215.0,0.0601398601398601,299.0,139.0,0.4648829431438128,3.0,0.0,0.0,,,,,,,,,,21.0,2.0,0.0952380952380952,,,,87.0,6.0,0.0689655172413793,,,,58.0,7.0,0.1206896551724138,,,
2021-03-19 00:00:00,9345,394,0.0421615837346174,689.0,312.0,0.4528301886792454,37.0,1.0,0.027027027027027,,,,181.0,7.0,0.0386740331491713,11.0,4.0,0.3636363636363637,169.0,5.0,0.029585798816568,32.0,13.0,0.40625,33.0,1.0,0.0303030303030303,3.0,0.0,0.0,514.0,28.0,0.0544747081712062,77.0,28.0,0.3636363636363637,1368.0,41.0,0.0299707602339181,49.0,17.0,0.3469387755102041,73.0,2.0,0.0273972602739726,1.0,1.0,1.0,258.0,11.0,0.0426356589147287,27.0,14.0,0.5185185185185186,5575.0,262.0,0.0469955156950673,450.0,216.0,0.48,8.0,0.0,0.0,,,,3.0,0.0,0.0,,,,38.0,0.0,0.0,4.0,2.0,0.5,169.0,1.0,0.0059171597633136,16.0,14.0,0.875,102.0,4.0,0.0392156862745098,9.0,2.0,0.2222222222222222
