date,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA
2021-03-29 00:00:00,30,0,0,,,
2021-03-28 00:00:00,658,25,0.0379939209726444,,,
2021-03-27 00:00:00,1033,72,0.0696999031945789,6.0,2.0,0.3333333333333333
2021-03-26 00:00:00,2588,105,0.0405718701700155,52.0,24.0,0.4615384615384616
2021-03-25 00:00:00,3397,124,0.0365027965852223,48.0,20.0,0.4166666666666667
2021-03-24 00:00:00,3292,104,0.031591737545565,49.0,21.0,0.4285714285714286
2021-03-23 00:00:00,4130,94,0.0227602905569007,51.0,15.0,0.2941176470588236
2021-03-22 00:00:00,4564,114,0.0249780893952673,93.0,23.0,0.2473118279569893
2021-03-21 00:00:00,1476,54,0.0365853658536585,32.0,15.0,0.46875
2021-03-20 00:00:00,1351,61,0.0451517394522576,15.0,8.0,0.5333333333333334
2021-03-19 00:00:00,3143,87,0.0276805599745466,84.0,26.0,0.3095238095238096
2021-03-18 00:00:00,4356,83,0.0190541781450872,68.0,44.0,0.6470588235294118
2021-03-17 00:00:00,5045,116,0.0229930624380575,52.0,22.0,0.4230769230769231
2021-03-16 00:00:00,5191,97,0.0186861876324408,62.0,34.0,0.5483870967741936
2021-03-15 00:00:00,6803,114,0.016757312950169,54.0,22.0,0.4074074074074074
2021-03-14 00:00:00,1474,48,0.0325644504748982,7.0,4.0,0.5714285714285714
2021-03-13 00:00:00,1547,78,0.0504201680672269,7.0,5.0,0.7142857142857144
2021-03-12 00:00:00,5169,121,0.0234087831301993,76.0,26.0,0.3421052631578948
2021-03-11 00:00:00,5491,113,0.0205791294846112,56.0,29.0,0.517857142857143
2021-03-10 00:00:00,4666,130,0.0278611230175739,76.0,27.0,0.3552631578947369
2021-03-09 00:00:00,5824,121,0.0207760989010989,62.0,28.0,0.4516129032258064
2021-03-08 00:00:00,7843,140,0.0178503123804667,81.0,35.0,0.4320987654320988
2021-03-07 00:00:00,1818,70,0.0385038503850385,2.0,2.0,1
2021-03-06 00:00:00,1827,83,0.0454296661193213,10.0,7.0,0.7
2021-03-05 00:00:00,5642,131,0.0232187167671039,93.0,39.0,0.4193548387096775
2021-03-04 00:00:00,6311,157,0.0248771985422279,77.0,34.0,0.4415584415584416
2021-03-03 00:00:00,6114,160,0.0261694471704285,85.0,39.0,0.4588235294117648
2021-03-02 00:00:00,7062,164,0.0232228830359672,89.0,41.0,0.4606741573033708
2021-03-01 00:00:00,8590,181,0.0210710128055879,73.0,29.0,0.3972602739726027
2021-02-28 00:00:00,1775,81,0.0456338028169014,3.0,1.0,0.3333333333333333
2021-02-27 00:00:00,1767,106,0.0599886813808715,8.0,3.0,0.375
2021-02-26 00:00:00,5974,169,0.0282892534315367,80.0,28.0,0.35
2021-02-25 00:00:00,6444,173,0.026846679081316,61.0,34.0,0.5573770491803278
2021-02-24 00:00:00,6622,175,0.0264270613107822,93.0,27.0,0.2903225806451613
2021-02-23 00:00:00,6824,167,0.0244724501758499,108.0,47.0,0.4351851851851852
2021-02-22 00:00:00,8919,225,0.0252270433905146,77.0,22.0,0.2857142857142857
2021-02-21 00:00:00,2189,127,0.0580173595248972,10.0,7.0,0.7
2021-02-20 00:00:00,2216,181,0.0816787003610108,7.0,2.0,0.2857142857142857
2021-02-19 00:00:00,7051,243,0.0344631967096866,107.0,33.0,0.308411214953271
2021-02-18 00:00:00,7427,244,0.0328531035411337,90.0,36.0,0.4
2021-02-17 00:00:00,6683,302,0.0451892862486907,74.0,28.0,0.3783783783783784
2021-02-16 00:00:00,8505,281,0.0330393885949442,90.0,38.0,0.4222222222222222
2021-02-15 00:00:00,8025,280,0.0348909657320872,103.0,36.0,0.3495145631067962
2021-02-14 00:00:00,2011,149,0.0740924912978618,13.0,5.0,0.3846153846153847
2021-02-13 00:00:00,2442,255,0.1044226044226044,19.0,6.0,0.3157894736842105
2021-02-12 00:00:00,7532,374,0.0496548061603824,127.0,50.0,0.3937007874015749
2021-02-11 00:00:00,8301,336,0.0404770509577159,115.0,51.0,0.4434782608695652
2021-02-10 00:00:00,8588,461,0.053679552864462,117.0,55.0,0.4700854700854702
2021-02-09 00:00:00,9057,408,0.0450480291487247,121.0,47.0,0.3884297520661157
2021-02-08 00:00:00,9008,459,0.0509547069271758,151.0,61.0,0.4039735099337749
2021-02-07 00:00:00,2322,238,0.1024978466838932,10.0,3.0,0.3
2021-02-06 00:00:00,2901,294,0.1013443640124095,27.0,7.0,0.2592592592592593
2021-02-05 00:00:00,8342,541,0.0648525533445217,167.0,58.0,0.3473053892215569
2021-02-04 00:00:00,7748,527,0.0680175529168818,135.0,58.0,0.4296296296296297
2021-02-03 00:00:00,6815,424,0.0622157006603082,154.0,65.0,0.4220779220779221
2021-02-02 00:00:00,9402,635,0.0675388215273346,157.0,68.0,0.4331210191082803
2021-02-01 00:00:00,10650,751,0.0705164319248826,154.0,63.0,0.4090909090909091
2021-01-31 00:00:00,2952,339,0.1148373983739838,8.0,2.0,0.25
2021-01-30 00:00:00,3500,510,0.1457142857142857,15.0,4.0,0.2666666666666667
2021-01-29 00:00:00,8906,739,0.0829777677969908,122.0,69.0,0.5655737704918032
2021-01-28 00:00:00,8514,733,0.0860934930702373,105.0,41.0,0.3904761904761905
2021-01-27 00:00:00,8947,869,0.0971275287805968,121.0,51.0,0.4214876033057851
2021-01-26 00:00:00,9340,787,0.0842612419700214,141.0,72.0,0.5106382978723404
2021-01-25 00:00:00,11564,975,0.0843133863714978,107.0,46.0,0.4299065420560748
2021-01-24 00:00:00,3422,463,0.1353009935710111,8.0,4.0,0.5
2021-01-23 00:00:00,3833,648,0.1690581789720845,14.0,6.0,0.4285714285714286
2021-01-22 00:00:00,10218,1201,0.1175376786063809,97.0,37.0,0.3814432989690722
2021-01-21 00:00:00,10635,1032,0.0970380818053597,118.0,36.0,0.3050847457627119
2021-01-20 00:00:00,9265,1160,0.1252023745277928,100.0,24.0,0.24
2021-01-19 00:00:00,10431,1275,0.1222318090307737,117.0,38.0,0.3247863247863248
2021-01-18 00:00:00,8219,775,0.0942937096970434,109.0,36.0,0.3302752293577982
2021-01-17 00:00:00,4801,738,0.1537179754217872,31.0,8.0,0.2580645161290323
2021-01-16 00:00:00,5116,979,0.1913604378420641,14.0,6.0,0.4285714285714286
2021-01-15 00:00:00,9605,1256,0.1307652264445601,120.0,42.0,0.35
2021-01-14 00:00:00,9039,1121,0.1240181435999558,115.0,24.0,0.208695652173913
2021-01-13 00:00:00,9171,1347,0.1468760222440301,155.0,26.0,0.167741935483871
2021-01-12 00:00:00,11407,1398,0.1225563250635575,218.0,31.0,0.1422018348623853
2021-01-11 00:00:00,12351,1514,0.1225811675168003,206.0,45.0,0.2184466019417476
2021-01-10 00:00:00,5687,940,0.1652892561983471,11.0,3.0,0.2727272727272727
2021-01-09 00:00:00,5993,1045,0.1743700984481896,10.0,6.0,0.6
2021-01-08 00:00:00,10697,1445,0.1350846031597644,230.0,37.0,0.1608695652173913
2021-01-07 00:00:00,9699,1455,0.1500154655119085,245.0,40.0,0.163265306122449
2021-01-06 00:00:00,10704,1629,0.1521860986547085,230.0,32.0,0.1391304347826087
2021-01-05 00:00:00,11425,1839,0.1609628008752735,226.0,29.0,0.1283185840707965
2021-01-04 00:00:00,12463,1986,0.159351680975688,253.0,33.0,0.1304347826086957
2021-01-03 00:00:00,4954,1045,0.210940654016956,4.0,0.0,0
2021-01-02 00:00:00,5242,1193,0.2275848912628768,8.0,1.0,0.125
2021-01-01 00:00:00,1725,312,0.1808695652173913,3.0,1.0,0.3333333333333333
2020-12-31 00:00:00,8418,1460,0.1734378712283203,70.0,21.0,0.3
2020-12-30 00:00:00,9792,1678,0.1713643790849673,110.0,40.0,0.3636363636363637
2020-12-29 00:00:00,9655,1649,0.170792335577421,80.0,26.0,0.325
2020-12-28 00:00:00,11435,1918,0.1677306515085265,108.0,30.0,0.2777777777777778
2020-12-27 00:00:00,4678,975,0.2084224027362121,6.0,2.0,0.3333333333333333
2020-12-26 00:00:00,4591,1099,0.2393813983881508,5.0,2.0,0.4
2020-12-25 00:00:00,843,176,0.2087781731909846,3.0,0.0,0
2020-12-24 00:00:00,5024,675,0.1343550955414013,39.0,8.0,0.2051282051282051
2020-12-23 00:00:00,8989,1206,0.1341639781955724,126.0,28.0,0.2222222222222222
2020-12-22 00:00:00,10617,1526,0.1437317509654328,155.0,28.0,0.1806451612903226
2020-12-21 00:00:00,12616,1664,0.1318960050729233,221.0,38.0,0.1719457013574661
2020-12-20 00:00:00,4255,668,0.1569917743830787,7.0,1.0,0.1428571428571429
2020-12-19 00:00:00,6024,1292,0.2144754316069057,16.0,6.0,0.375
2020-12-18 00:00:00,10744,1598,0.1487341772151899,155.0,24.0,0.1548387096774194
2020-12-17 00:00:00,10466,1543,0.1474297725969807,170.0,22.0,0.1294117647058824
