date,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL
2021-04-03 00:00:00,1,0,0,,,
2021-04-02 00:00:00,143,16,0.1118881118881119,10.0,5.0,0.5
2021-04-01 00:00:00,490,18,0.036734693877551,32.0,13.0,0.40625
2021-03-31 00:00:00,642,33,0.0514018691588785,27.0,5.0,0.1851851851851852
2021-03-30 00:00:00,719,35,0.0486787204450626,51.0,28.0,0.5490196078431374
2021-03-29 00:00:00,604,24,0.0397350993377483,37.0,20.0,0.5405405405405406
2021-03-28 00:00:00,357,14,0.0392156862745098,7.0,5.0,0.7142857142857144
2021-03-27 00:00:00,403,17,0.0421836228287841,48.0,27.0,0.5625
2021-03-26 00:00:00,653,48,0.0735068912710567,27.0,10.0,0.3703703703703704
2021-03-25 00:00:00,583,33,0.0566037735849057,37.0,20.0,0.5405405405405406
2021-03-24 00:00:00,640,35,0.0546875,44.0,17.0,0.3863636363636364
2021-03-23 00:00:00,654,27,0.0412844036697248,58.0,24.0,0.4137931034482759
2021-03-22 00:00:00,713,35,0.0490883590462833,55.0,19.0,0.3454545454545455
2021-03-21 00:00:00,351,17,0.0484330484330484,3.0,1.0,0.3333333333333333
2021-03-20 00:00:00,397,29,0.0730478589420655,18.0,6.0,0.3333333333333333
2021-03-19 00:00:00,512,27,0.052734375,77.0,28.0,0.3636363636363637
2021-03-18 00:00:00,499,33,0.0661322645290581,43.0,21.0,0.4883720930232558
2021-03-17 00:00:00,560,28,0.05,56.0,27.0,0.4821428571428572
2021-03-16 00:00:00,548,39,0.0711678832116788,41.0,28.0,0.6829268292682928
2021-03-15 00:00:00,834,38,0.0455635491606715,40.0,21.0,0.525
2021-03-14 00:00:00,371,16,0.0431266846361186,3.0,1.0,0.3333333333333333
2021-03-13 00:00:00,352,14,0.0397727272727273,22.0,6.0,0.2727272727272727
2021-03-12 00:00:00,642,26,0.0404984423676012,54.0,17.0,0.3148148148148149
2021-03-11 00:00:00,956,49,0.051255230125523,50.0,23.0,0.46
2021-03-10 00:00:00,1070,39,0.0364485981308411,37.0,15.0,0.4054054054054055
2021-03-09 00:00:00,1294,44,0.0340030911901082,39.0,18.0,0.4615384615384616
2021-03-08 00:00:00,809,51,0.0630407911001236,30.0,12.0,0.4
2021-03-07 00:00:00,405,37,0.091358024691358,6.0,4.0,0.6666666666666666
2021-03-06 00:00:00,510,39,0.0764705882352941,15.0,4.0,0.2666666666666667
2021-03-05 00:00:00,668,25,0.0374251497005988,41.0,15.0,0.3658536585365854
2021-03-04 00:00:00,670,49,0.073134328358209,35.0,17.0,0.4857142857142858
2021-03-03 00:00:00,709,38,0.0535966149506347,46.0,25.0,0.5434782608695652
2021-03-02 00:00:00,789,45,0.0570342205323194,36.0,13.0,0.3611111111111111
2021-03-01 00:00:00,810,44,0.054320987654321,60.0,21.0,0.35
2021-02-28 00:00:00,463,55,0.1187904967602592,8.0,2.0,0.25
2021-02-27 00:00:00,499,39,0.0781563126252505,27.0,9.0,0.3333333333333333
2021-02-26 00:00:00,755,30,0.0397350993377483,55.0,25.0,0.4545454545454546
2021-02-25 00:00:00,784,54,0.0688775510204082,115.0,58.0,0.5043478260869566
2021-02-24 00:00:00,694,63,0.0907780979827089,54.0,30.0,0.5555555555555556
2021-02-23 00:00:00,808,51,0.0631188118811881,48.0,27.0,0.5625
2021-02-22 00:00:00,974,96,0.0985626283367557,62.0,26.0,0.4193548387096775
2021-02-21 00:00:00,496,64,0.1290322580645161,18.0,6.0,0.3333333333333333
2021-02-20 00:00:00,469,53,0.1130063965884862,19.0,7.0,0.368421052631579
2021-02-19 00:00:00,735,72,0.0979591836734694,56.0,28.0,0.5
2021-02-18 00:00:00,702,82,0.1168091168091168,57.0,20.0,0.3508771929824561
2021-02-17 00:00:00,892,102,0.1143497757847534,45.0,22.0,0.488888888888889
2021-02-16 00:00:00,805,106,0.1316770186335404,68.0,27.0,0.3970588235294118
2021-02-15 00:00:00,652,65,0.0996932515337423,29.0,11.0,0.3793103448275862
2021-02-14 00:00:00,345,32,0.0927536231884058,10.0,0.0,0
2021-02-13 00:00:00,407,44,0.1081081081081081,12.0,6.0,0.5
2021-02-12 00:00:00,665,66,0.0992481203007519,47.0,31.0,0.6595744680851064
