date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2021-04-10 00:00:00,12,1,0.0833333333333333,,,
2021-04-09 00:00:00,59,3,0.0508474576271187,5.0,4.0,0.8
2021-04-08 00:00:00,144,1,0.0069444444444444,2.0,0.0,0
2021-04-07 00:00:00,99,1,0.0101010101010101,9.0,4.0,0.4444444444444444
2021-04-06 00:00:00,87,1,0.0114942528735632,4.0,3.0,0.75
2021-04-05 00:00:00,192,3,0.015625,8.0,4.0,0.5
2021-04-04 00:00:00,21,0,0,,,
2021-04-03 00:00:00,37,2,0.0540540540540541,2.0,2.0,1
2021-04-02 00:00:00,63,2,0.0317460317460317,8.0,4.0,0.5
2021-04-01 00:00:00,205,2,0.0097560975609756,2.0,2.0,1
2021-03-31 00:00:00,92,5,0.0543478260869565,1.0,0.0,0
2021-03-30 00:00:00,66,2,0.0303030303030303,1.0,1.0,1
2021-03-29 00:00:00,362,6,0.0165745856353591,9.0,5.0,0.5555555555555556
2021-03-28 00:00:00,31,3,0.0967741935483871,1.0,0.0,0
2021-03-27 00:00:00,25,2,0.08,,,
2021-03-26 00:00:00,75,1,0.0133333333333333,3.0,1.0,0.3333333333333333
2021-03-25 00:00:00,229,4,0.0174672489082969,6.0,3.0,0.5
2021-03-24 00:00:00,138,10,0.072463768115942,14.0,6.0,0.4285714285714286
2021-03-23 00:00:00,82,4,0.0487804878048781,4.0,1.0,0.25
2021-03-22 00:00:00,338,11,0.0325443786982249,6.0,2.0,0.3333333333333333
2021-03-21 00:00:00,44,4,0.0909090909090909,,,
2021-03-20 00:00:00,36,3,0.0833333333333333,,,
2021-03-19 00:00:00,74,1,0.0135135135135135,6.0,4.0,0.6666666666666666
2021-03-18 00:00:00,200,2,0.01,28.0,15.0,0.5357142857142858
2021-03-17 00:00:00,73,1,0.0136986301369863,1.0,0.0,0
2021-03-16 00:00:00,81,2,0.0246913580246914,10.0,4.0,0.4
2021-03-15 00:00:00,322,4,0.0124223602484472,3.0,1.0,0.3333333333333333
2021-03-14 00:00:00,25,1,0.04,,,
2021-03-13 00:00:00,22,0,0,,,
2021-03-12 00:00:00,72,5,0.0694444444444445,2.0,0.0,0
2021-03-11 00:00:00,272,6,0.0220588235294118,3.0,1.0,0.3333333333333333
2021-03-10 00:00:00,86,11,0.1279069767441861,5.0,2.0,0.4
2021-03-09 00:00:00,86,5,0.0581395348837209,89.0,48.0,0.5393258426966292
