date,ED_covid,ICU_covid,inpatient_beds_covid,ventilators_covid,deaths,hospitalizations,icu_covid,icu_non_covid,icu_empty,inpatient_covid,inpatient_non_covid,inpatient_empty,vents_in_use,vents_available
1/2/2020,,,,,,1,,,,,,,,
1/3/2020,,,,,,2,,,,,,,,
1/4/2020,,,,,,1,,,,,,,,
1/6/2020,,,,,,1,,,,,,,,
1/19/2020,,,,,,1,,,,,,,,
1/30/2020,,,,,,1,,,,,,,,
2/21/2020,,,,,,1,,,,,,,,
2/28/2020,,,,,,1,,,,,,,,
3/3/2020,,,,,,1,,,,,,,,
3/4/2020,,,,,,1,,,,,,,,
3/5/2020,,,,,,1,,,,,,,,
3/6/2020,,,,,,1,,,,,,,,
3/8/2020,,,,,,1,,,,,,,,
3/9/2020,,,,,,3,,,,,,,,
3/11/2020,,,,,,3,,,,,,,,
3/12/2020,,,,,,5,,,,,,,,
3/13/2020,,,,,,6,,,,,,,,
3/14/2020,,,,,,4,,,,,,,,
3/15/2020,,,,,,10,,,,,,,,
3/16/2020,,,,,,6,,,,,,,,
3/17/2020,,,,,1,13,,,,,,,,
3/18/2020,,,,,,12,,,,,,,,
3/19/2020,,,,,2,18,,,,,,,,
3/20/2020,,,,,2,21,,,,,,,,
3/21/2020,,,,,1,19,,,,,,,,
3/22/2020,,,,,1,17,,,,,,,,
3/23/2020,,,,,5,45,,,,,,,,
3/24/2020,,,,,2,30,,,,,,,,
3/25/2020,,,,,4,46,,,,,,,,
3/26/2020,,,,,7,39,,,,,,,233,889
3/27/2020,,,,,7,40,,,,,,,276,1081
3/28/2020,,,,,6,45,,,,,,,310,1142
3/29/2020,,,,,6,41,,,,,,,335,1194
3/30/2020,,,,,7,50,,,,,,,328,1186
3/31/2020,,,,,13,56,,,,,,,362,1183
4/1/2020,,,,,10,48,,,,,,,369,1172
4/2/2020,,,,,6,35,,,,,,,379,1156
4/3/2020,,,,,11,52,,,,,,,377,1185
4/4/2020,,,,,7,44,,,,,,,401,1150
4/5/2020,,,,,11,47,,,,,,,381,1135
4/6/2020,,,,,12,58,,,,,,,379,1125
4/7/2020,,,,,15,36,,,,,,,383,1127
4/8/2020,81,155,338,133,10,54,,,,,,,369,1072
4/9/2020,445,248,519,212,13,45,,,,,,,369,1117
