date,Arizona,Arizona_cum,StatePODs,StatePODs_cum
2021-05-09 00:00:00,7071,5363835,5695.0,1518734.0
2021-05-08 00:00:00,20311,5356764,7653.0,1513039.0
2021-05-07 00:00:00,34338,5336453,8283.0,1505386.0
2021-05-06 00:00:00,34408,5302115,6933.0,1497103.0
2021-05-05 00:00:00,31577,5267707,3718.0,1490170.0
2021-05-04 00:00:00,36205,5236130,7900.0,1486452.0
2021-05-03 00:00:00,28761,5199925,3784.0,1478552.0
2021-05-02 00:00:00,20930,5171164,10604.0,1474768.0
2021-05-01 00:00:00,24164,5150234,7321.0,1464164.0
2021-04-30 00:00:00,42166,5126070,8350.0,1456843.0
2021-04-29 00:00:00,43521,5083904,9809.0,1448493.0
2021-04-28 00:00:00,46443,5040383,9575.0,1438684.0
2021-04-27 00:00:00,42524,4993940,10604.0,1429109.0
2021-04-26 00:00:00,38898,4951416,11559.0,1418505.0
2021-04-25 00:00:00,25276,4912518,13541.0,1406946.0
2021-04-24 00:00:00,38773,4887242,14525.0,1393405.0
2021-04-23 00:00:00,55805,4848469,17211.0,1378880.0
2021-04-22 00:00:00,59711,4792664,17939.0,1361669.0
2021-04-21 00:00:00,57691,4732953,16549.0,1343730.0
2021-04-20 00:00:00,52439,4675262,16611.0,1327181.0
2021-04-19 00:00:00,51272,4622823,16501.0,1310570.0
2021-04-18 00:00:00,29111,4571551,15768.0,1294069.0
2021-04-17 00:00:00,42085,4542440,16624.0,1278301.0
2021-04-16 00:00:00,61844,4500355,17751.0,1261677.0
2021-04-15 00:00:00,63368,4438511,17044.0,1243926.0
2021-04-14 00:00:00,59240,4375143,16564.0,1226882.0
2021-04-13 00:00:00,49582,4315903,14773.0,1210318.0
2021-04-12 00:00:00,51791,4266321,13268.0,1195545.0
2021-04-11 00:00:00,30923,4214530,16818.0,1182277.0
2021-04-10 00:00:00,47952,4183607,17696.0,1165459.0
2021-04-09 00:00:00,69659,4135655,18209.0,1147763.0
2021-04-08 00:00:00,74711,4065996,16987.0,1129554.0
2021-04-07 00:00:00,73920,3991285,18041.0,1112567.0
2021-04-06 00:00:00,64882,3917365,16627.0,1094526.0
2021-04-05 00:00:00,57552,3852483,16488.0,1077899.0
2021-04-04 00:00:00,20952,3794931,10412.0,1061411.0
2021-04-03 00:00:00,48625,3773979,23328.0,1050999.0
2021-04-02 00:00:00,67820,3725354,24781.0,1027671.0
2021-04-01 00:00:00,74299,3657534,24097.0,1002890.0
2021-03-31 00:00:00,76303,3583235,24419.0,978793.0
2021-03-30 00:00:00,66513,3506932,24236.0,954374.0
2021-03-29 00:00:00,60364,3440419,24130.0,930138.0
2021-03-28 00:00:00,37885,3380055,22846.0,906008.0
2021-03-27 00:00:00,52740,3342170,22584.0,883162.0
2021-03-26 00:00:00,69777,3289430,23049.0,860578.0
2021-03-25 00:00:00,71145,3219653,22028.0,837529.0
2021-03-24 00:00:00,63418,3148508,19058.0,815501.0
2021-03-23 00:00:00,48842,3085090,12943.0,796443.0
2021-03-22 00:00:00,43329,3036248,12899.0,783500.0
2021-03-21 00:00:00,31135,2992919,17062.0,770601.0
2021-03-20 00:00:00,46565,2961784,17703.0,753539.0
2021-03-19 00:00:00,60228,2915219,17468.0,735836.0
2021-03-18 00:00:00,63839,2854991,16473.0,718368.0
2021-03-17 00:00:00,62694,2791152,16715.0,701895.0
2021-03-16 00:00:00,54842,2728458,14687.0,685180.0
2021-03-15 00:00:00,47356,2673616,13741.0,670493.0
2021-03-14 00:00:00,28812,2626260,16103.0,656752.0
2021-03-13 00:00:00,51537,2597448,17896.0,640649.0
2021-03-12 00:00:00,73130,2545911,16837.0,622753.0
2021-03-11 00:00:00,70707,2472781,17635.0,605916.0
2021-03-10 00:00:00,67280,2402074,16903.0,588281.0
2021-03-09 00:00:00,56820,2334794,16195.0,571378.0
2021-03-08 00:00:00,51033,2277974,16646.0,555183.0
2021-03-07 00:00:00,26060,2226941,16283.0,538537.0
2021-03-06 00:00:00,44661,2200881,16442.0,522254.0
2021-03-05 00:00:00,58613,2156220,16393.0,505812.0
2021-03-04 00:00:00,58073,2097607,15922.0,489419.0
2021-03-03 00:00:00,58689,2039534,15403.0,473497.0
2021-03-02 00:00:00,50918,1980845,14456.0,458094.0
2021-03-01 00:00:00,45465,1929927,12849.0,443638.0
2021-02-28 00:00:00,25574,1884462,15591.0,430789.0
2021-02-27 00:00:00,51752,1858888,15108.0,415198.0
2021-02-26 00:00:00,66789,1807136,13993.0,400090.0
2021-02-25 00:00:00,60441,1740347,13365.0,386097.0
2021-02-24 00:00:00,56893,1679906,13718.0,372732.0
2021-02-23 00:00:00,44093,1623013,12732.0,359014.0
2021-02-22 00:00:00,27998,1578920,11778.0,346282.0
2021-02-21 00:00:00,14878,1550922,10822.0,334504.0
2021-02-20 00:00:00,35189,1536044,11256.0,323682.0
2021-02-19 00:00:00,42723,1500855,10223.0,312426.0
2021-02-18 00:00:00,44989,1458132,9844.0,302203.0
2021-02-17 00:00:00,46924,1413143,10555.0,292359.0
2021-02-16 00:00:00,44513,1366219,11079.0,281804.0
2021-02-15 00:00:00,31232,1321706,11030.0,270725.0
2021-02-14 00:00:00,17326,1290474,10228.0,259695.0
2021-02-13 00:00:00,45615,1273148,10477.0,249467.0
2021-02-12 00:00:00,61491,1227533,11058.0,238990.0
2021-02-11 00:00:00,51136,1166042,10848.0,227932.0
2021-02-10 00:00:00,50390,1114906,11071.0,217084.0
2021-02-09 00:00:00,44172,1064516,11037.0,206013.0
2021-02-08 00:00:00,38722,1020344,13488.0,194976.0
2021-02-07 00:00:00,16310,981622,11448.0,181488.0
2021-02-06 00:00:00,38156,965312,10991.0,170040.0
2021-02-05 00:00:00,43706,927156,9144.0,159049.0
2021-02-04 00:00:00,46427,883450,9950.0,149905.0
2021-02-03 00:00:00,43627,837023,8977.0,139955.0
2021-02-02 00:00:00,38464,793396,8730.0,130978.0
2021-02-01 00:00:00,29937,754932,8254.0,122248.0
2021-01-31 00:00:00,11581,724995,4834.0,113994.0
2021-01-30 00:00:00,26256,713414,4759.0,109160.0
2021-01-29 00:00:00,39711,687158,4955.0,104401.0
2021-01-28 00:00:00,39806,647447,5412.0,99446.0
2021-01-27 00:00:00,39619,607641,5515.0,94034.0
2021-01-26 00:00:00,36683,568022,6136.0,88519.0
2021-01-25 00:00:00,29216,531339,5275.0,82383.0
2021-01-24 00:00:00,16250,502123,5751.0,77108.0
2021-01-23 00:00:00,28540,485873,5761.0,71357.0
2021-01-22 00:00:00,37823,457333,5561.0,65596.0
2021-01-21 00:00:00,35186,419510,6168.0,60035.0
2021-01-20 00:00:00,31562,384324,5694.0,53867.0
2021-01-19 00:00:00,26931,352762,6001.0,48173.0
2021-01-18 00:00:00,18953,325831,6008.0,42172.0
2021-01-17 00:00:00,9310,306878,5971.0,36164.0
2021-01-16 00:00:00,15717,297568,5664.0,30193.0
2021-01-15 00:00:00,24881,281851,5948.0,24529.0
2021-01-14 00:00:00,24647,256970,5885.0,18581.0
2021-01-13 00:00:00,25202,232323,6323.0,12696.0
2021-01-12 00:00:00,23121,207121,5637.0,6373.0
2021-01-11 00:00:00,15700,184000,734.0,736.0
2021-01-10 00:00:00,3207,168300,,
2021-01-09 00:00:00,7923,165093,,
2021-01-08 00:00:00,11957,157170,1.0,2.0
2021-01-07 00:00:00,12546,145213,,
2021-01-06 00:00:00,11872,132667,,
2021-01-05 00:00:00,8852,120795,1.0,1.0
2021-01-04 00:00:00,8603,111943,,
2021-01-03 00:00:00,3195,103340,,
2021-01-02 00:00:00,7549,100145,,
2021-01-01 00:00:00,755,92596,,
2020-12-31 00:00:00,7784,91841,,
2020-12-30 00:00:00,14836,84057,,
2020-12-29 00:00:00,12853,69221,,
2020-12-28 00:00:00,9263,56368,,
2020-12-27 00:00:00,2647,47105,,
2020-12-26 00:00:00,6512,44458,,
2020-12-25 00:00:00,137,37946,,
2020-12-24 00:00:00,3832,37809,,
2020-12-23 00:00:00,9698,33977,,
2020-12-22 00:00:00,7759,24279,,
2020-12-21 00:00:00,5494,16520,,
2020-12-20 00:00:00,1015,11026,,
2020-12-19 00:00:00,2552,10011,,
2020-12-18 00:00:00,3629,7459,,
2020-12-17 00:00:00,3116,3830,,
2020-12-16 00:00:00,564,714,,
2020-12-15 00:00:00,37,150,,
2020-12-14 00:00:00,9,113,,
2020-12-13 00:00:00,3,104,,
2020-12-12 00:00:00,6,101,,
2020-12-11 00:00:00,8,95,,
2020-12-10 00:00:00,7,87,,
2020-12-09 00:00:00,6,80,,
2020-12-08 00:00:00,3,74,,
2020-12-07 00:00:00,4,71,,
2020-12-05 00:00:00,1,67,,
2020-12-04 00:00:00,4,66,,
2020-12-03 00:00:00,9,62,,
2020-12-02 00:00:00,9,53,,
2020-12-01 00:00:00,44,44,,
