date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-05-12 00:00:00,2.0,0.0,0,,,
2021-05-11 00:00:00,5.0,0.0,0,,,
2021-05-10 00:00:00,17.0,0.0,0,1.0,0.0,0
2021-05-09 00:00:00,3.0,0.0,0,,,
2021-05-08 00:00:00,3.0,0.0,0,,,
2021-05-07 00:00:00,11.0,1.0,0.0909090909090909,,,
2021-05-06 00:00:00,14.0,0.0,0,1.0,1.0,1
2021-05-05 00:00:00,115.0,0.0,0,,,
2021-05-04 00:00:00,17.0,4.0,0.2352941176470588,,,
2021-05-03 00:00:00,11.0,1.0,0.0909090909090909,,,
2021-05-02 00:00:00,4.0,0.0,0,,,
2021-05-01 00:00:00,4.0,0.0,0,,,
2021-04-30 00:00:00,11.0,1.0,0.0909090909090909,,,
2021-04-29 00:00:00,14.0,0.0,0,1.0,0.0,0
2021-04-28 00:00:00,10.0,0.0,0,,,
2021-04-27 00:00:00,20.0,1.0,0.05,1.0,1.0,1
2021-04-26 00:00:00,18.0,0.0,0,,,
2021-04-25 00:00:00,5.0,0.0,0,3.0,1.0,0.3333333333333333
2021-04-24 00:00:00,9.0,0.0,0,,,
2021-04-23 00:00:00,14.0,1.0,0.0714285714285714,1.0,0.0,0
2021-04-22 00:00:00,13.0,0.0,0,2.0,1.0,0.5
2021-04-21 00:00:00,17.0,2.0,0.1176470588235294,1.0,0.0,0
2021-04-20 00:00:00,19.0,2.0,0.1052631578947368,,,
2021-04-19 00:00:00,23.0,1.0,0.0434782608695652,,,
2021-04-18 00:00:00,5.0,0.0,0,,,
2021-04-17 00:00:00,4.0,0.0,0,,,
2021-04-16 00:00:00,26.0,0.0,0,1.0,1.0,1
2021-04-15 00:00:00,199.0,3.0,0.0150753768844221,,,
2021-04-14 00:00:00,241.0,6.0,0.024896265560166,,,
2021-04-13 00:00:00,30.0,4.0,0.1333333333333333,1.0,1.0,1
2021-04-12 00:00:00,32.0,0.0,0,,,
