date,Santa Cruz_cume,Santa Cruz
2020-12-22 00:00:00,61,
2020-12-23 00:00:00,81,20
2020-12-24 00:00:00,101,20
2020-12-28 00:00:00,141,40
2020-12-29 00:00:00,201,60
2020-12-30 00:00:00,265,64
2020-12-31 00:00:00,309,44
2021-01-04 00:00:00,350,41
2021-01-05 00:00:00,430,80
2021-01-06 00:00:00,564,134
2021-01-07 00:00:00,735,171
2021-01-08 00:00:00,914,179
2021-01-11 00:00:00,1009,95
2021-01-12 00:00:00,1163,154
2021-01-13 00:00:00,1371,208
2021-01-14 00:00:00,1592,221
2021-01-15 00:00:00,1793,201
2021-01-19 00:00:00,1910,117
2021-01-20 00:00:00,2349,439
2021-01-21 00:00:00,2767,418
2021-01-22 00:00:00,3269,502
2021-01-25 00:00:00,3383,114
2021-01-26 00:00:00,3792,409
2021-01-27 00:00:00,3973,181
2021-01-28 00:00:00,4488,515
2021-01-29 00:00:00,4901,413
2021-02-01 00:00:00,5018,117
2021-02-02 00:00:00,5589,571
2021-02-03 00:00:00,5774,185
2021-02-04 00:00:00,6339,565
2021-02-05 00:00:00,7019,680
2021-02-06 00:00:00,7025,6
2021-02-08 00:00:00,7194,169
2021-02-09 00:00:00,7756,562
2021-02-10 00:00:00,8373,617
2021-02-11 00:00:00,9001,628
2021-02-12 00:00:00,9630,629
2021-02-13 00:00:00,10108,478
2021-02-14 00:00:00,10547,439
2021-02-15 00:00:00,10635,88
2021-02-16 00:00:00,10722,87
2021-02-17 00:00:00,10725,3
2021-02-18 00:00:00,10736,11
2021-02-19 00:00:00,10783,47
2021-02-22 00:00:00,10822,39
2021-02-23 00:00:00,11450,628
2021-02-24 00:00:00,12248,798
2021-02-25 00:00:00,13007,759
2021-02-26 00:00:00,13728,721
2021-02-27 00:00:00,13740,12
2021-03-01 00:00:00,13882,142
2021-03-02 00:00:00,14740,858
2021-03-03 00:00:00,15472,732
2021-03-04 00:00:00,16268,796
2021-03-05 00:00:00,17052,784
2021-03-06 00:00:00,17126,74
2021-03-07 00:00:00,17142,16
2021-03-08 00:00:00,17304,162
2021-03-09 00:00:00,17957,653
2021-03-10 00:00:00,18671,714
2021-03-11 00:00:00,19364,693
2021-03-12 00:00:00,20050,686
2021-03-13 00:00:00,20562,512
2021-03-14 00:00:00,20929,367
2021-03-15 00:00:00,21090,161
2021-03-16 00:00:00,21784,694
2021-03-17 00:00:00,22534,750
2021-03-18 00:00:00,23227,693
2021-03-19 00:00:00,24069,842
2021-03-20 00:00:00,24091,22
2021-03-21 00:00:00,24102,11
2021-03-22 00:00:00,24291,189
2021-03-23 00:00:00,25045,754
2021-03-24 00:00:00,25746,701
2021-03-25 00:00:00,26386,640
2021-03-26 00:00:00,27124,738
2021-03-27 00:00:00,27170,46
2021-03-28 00:00:00,27171,1
2021-03-29 00:00:00,27330,159
2021-03-30 00:00:00,28162,832
2021-03-31 00:00:00,28984,822
2021-04-01 00:00:00,29838,854
2021-04-02 00:00:00,30526,688
2021-04-03 00:00:00,30552,26
2021-04-04 00:00:00,30563,11
2021-04-05 00:00:00,31110,547
2021-04-06 00:00:00,31820,710
2021-04-07 00:00:00,32618,798
2021-04-08 00:00:00,33341,723
2021-04-09 00:00:00,34060,719
2021-04-10 00:00:00,34616,556
2021-04-11 00:00:00,34626,10
2021-04-12 00:00:00,34958,332
2021-04-13 00:00:00,35752,794
2021-04-14 00:00:00,36615,863
2021-04-15 00:00:00,37434,819
2021-04-16 00:00:00,38393,959
2021-04-17 00:00:00,38417,24
2021-04-18 00:00:00,38456,39
2021-04-19 00:00:00,38690,234
2021-04-20 00:00:00,39476,786
2021-04-21 00:00:00,40197,721
2021-04-22 00:00:00,40962,765
2021-04-23 00:00:00,41752,790
2021-04-24 00:00:00,42115,363
2021-04-26 00:00:00,42659,544
2021-04-27 00:00:00,43409,750
2021-04-28 00:00:00,44086,677
2021-04-29 00:00:00,44758,672
2021-04-30 00:00:00,45332,574
2021-05-01 00:00:00,45348,16
2021-05-02 00:00:00,45360,12
2021-05-03 00:00:00,45843,483
2021-05-04 00:00:00,46424,581
2021-05-05 00:00:00,47141,717
2021-05-06 00:00:00,47711,570
2021-05-07 00:00:00,48366,655
2021-05-08 00:00:00,48374,8
2021-05-09 00:00:00,48385,11
2021-05-10 00:00:00,48804,419
2021-05-11 00:00:00,48909,105
2021-05-12 00:00:00,49245,336
2021-05-13 00:00:00,50078,833
2021-05-14 00:00:00,50745,667
