,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5577889,1558091,17238,94550,127784,45707,17486,7972,15823,2108613,122698,46246,748192,235976,51687,164812,160401
Total_people_one_dose,3159025,851711,10066,54021,70001,25441,9685,4513,8783,1248713,71505,27051,426006,136708,29471,94960,90390
Total_people_complete,2647573,,,,,,,,,,,,,,,,
Total_doses_ordered,5131640,,,,,,,,,,,,,,,,
65 years and older,592000,,,,,,,,,,,,,,,,
55-64 years,305358,,,,,,,,,,,,,,,,
45-54 years,232539,,,,,,,,,,,,,,,,
20-44 years,495054,,,,,,,,,,,,,,,,
Less than 20 years,69077,,,,,,,,,,,,,,,,
65 years and older,90390,,,,,,,,,,,,,,,,
55-64 years,257643,,,,,,,,,,,,,,,,
45-54 years,205695,,,,,,,,,,,,,,,,
20-44 years,452866,,,,,,,,,,,,,,,,
Less than 20 years,61427,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",73987,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",76835,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",118485,,,,,,,,,,,,,,,,
Unknown,421181,,,,,,,,,,,,,,,,
Hispanic or Latino,426233,,,,,,,,,,,,,,,,
Other Race,533417,,,,,,,,,,,,,,,,
"White, non-Hispanic",1508887,,,,,,,,,,,,,,,,
