date,hospitalizations
2021-05-20,1
2021-05-19,12
2021-05-18,35
2021-05-17,30
2021-05-16,38
2021-05-15,26
2021-05-14,39
2021-05-13,42
2021-05-12,22
2021-05-11,51
2021-05-10,49
2021-05-09,34
2021-05-08,34
2021-05-07,45
2021-05-06,43
2021-05-05,45
2021-05-04,70
2021-05-03,59
2021-05-02,38
2021-05-01,51
2021-04-30,70
2021-04-29,42
2021-04-28,38
2021-04-27,64
2021-04-26,60
2021-04-25,52
2021-04-24,47
2021-04-23,52
2021-04-22,56
2021-04-21,49
2021-04-20,61
2021-04-19,65
2021-04-18,33
2021-04-17,48
2021-04-16,47
2021-04-15,42
2021-04-14,55
2021-04-13,53
2021-04-12,52
2021-04-11,46
2021-04-10,52
2021-04-09,49
2021-04-08,49
2021-04-07,49
2021-04-06,46
2021-04-05,40
2021-04-04,38
2021-04-03,30
2021-04-02,38
2021-04-01,38
2021-03-31,48
2021-03-30,38
2021-03-29,49
2021-03-28,40
2021-03-27,41
2021-03-26,33
2021-03-25,37
2021-03-24,28
2021-03-23,42
2021-03-22,43
2021-03-21,44
2021-03-20,39
2021-03-19,44
2021-03-18,45
2021-03-17,45
2021-03-16,59
2021-03-15,63
2021-03-14,40
2021-03-13,45
2021-03-12,58
2021-03-11,35
2021-03-10,64
2021-03-09,73
2021-03-08,68
2021-03-07,51
2021-03-06,59
2021-03-05,63
2021-03-04,62
2021-03-03,62
2021-03-02,59
2021-03-01,69
2021-02-28,76
2021-02-27,67
2021-02-26,94
2021-02-25,98
2021-02-24,85
2021-02-23,98
2021-02-22,97
2021-02-21,95
2021-02-20,89
2021-02-19,105
2021-02-18,120
2021-02-17,111
2021-02-16,129
2021-02-15,137
2021-02-14,103
2021-02-13,126
2021-02-12,153
2021-02-11,165
2021-02-10,187
2021-02-09,173
2021-02-08,199
2021-02-07,150
2021-02-06,160
2021-02-05,200
2021-02-04,206
2021-02-03,252
2021-02-02,243
2021-02-01,285
2021-01-31,216
2021-01-30,256
2021-01-29,316
2021-01-28,266
2021-01-27,346
2021-01-26,349
2021-01-25,377
2021-01-24,310
2021-01-23,343
2021-01-22,357
2021-01-21,425
2021-01-20,412
2021-01-19,464
2021-01-18,438
2021-01-17,369
2021-01-16,424
2021-01-15,438
2021-01-14,466
2021-01-13,475
2021-01-12,479
2021-01-11,473
2021-01-10,444
2021-01-09,467
2021-01-08,574
2021-01-07,532
2021-01-06,505
2021-01-05,543
2021-01-04,555
2021-01-03,468
2021-01-02,506
2021-01-01,518
2020-12-31,485
2020-12-30,463
2020-12-29,489
2020-12-28,495
2020-12-27,463
2020-12-26,453
2020-12-25,413
2020-12-24,414
2020-12-23,468
2020-12-22,449
2020-12-21,512
2020-12-20,423
2020-12-19,411
2020-12-18,398
2020-12-17,429
2020-12-16,402
2020-12-15,426
2020-12-14,460
