Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,5714486.0,17813.0,129365.0,96736.0,17978.0,8027.0,46514.0,16002.0,2190594.0,125965.0,47195.0,242008.0,761654.0,53457.0,166510.0,163256.0
Total_people_complete,2732365.0,8128.0,63065.0,46669.0,8873.0,4006.0,22945.0,7672.0,1050451.0,58014.0,22426.0,118514.0,375201.0,25001.0,78621.0,76763.0
Total_doses_ordered,5131640.0,16600.0,95562.0,85330.0,18130.0,9800.0,36170.0,19000.0,1472977.0,120570.0,38770.0,192350.0,583024.0,47140.0,162770.0,125930.0
total_pouluation,7189020.0,71808.0,147275.0,130808.0,38476.0,10375.0,55159.0,22085.0,4367835.0,216985.0,112825.0,455210.0,1044675.0,53161.0,232386.0,229957.0
Total_people_one_dose,3215683.0,10531.0,70841.0,54902.0,9776.0,4533.0,25693.0,8821.0,1282941.0,72860.0,27511.0,139159.0,432073.0,30464.0,95639.0,91697.0
Male-65 years and older,480741.0,1621.0,7049.0,9972.0,1550.0,522.0,5534.0,2983.0,161980.0,19285.0,5434.0,27445.0,68130.0,3409.0,22451.0,14816.0
Male-55-64 years,260933.0,833.0,5367.0,4618.0,863.0,571.0,2387.0,626.0,104181.0,6799.0,2454.0,11539.0,31828.0,2344.0,7531.0,7538.0
Male-45-54 years,209978.0,478.0,4686.0,3072.0,729.0,462.0,1429.0,273.0,93836.0,3158.0,1624.0,9641.0,25739.0,2583.0,4019.0,6240.0
Male-20-44 years,463497.0,865.0,13817.0,6965.0,1635.0,934.0,2657.0,415.0,198985.0,4887.0,3143.0,19066.0,58508.0,5365.0,7574.0,15597.0
Male-Less than 20 years,69749.0,1328.0,1730.0,885.0,106.0,41.0,302.0,52.0,24983.0,358.0,978.0,1474.0,6778.0,1336.0,1021.0,1148.0
Female-65 years and older,594860.0,1662.0,8134.0,11830.0,1929.0,510.0,5880.0,2900.0,211730.0,21635.0,5791.0,31498.0,90268.0,4145.0,28037.0,16852.0
Female-55-64 years,308331.0,935.0,6162.0,5656.0,986.0,402.0,2755.0,795.0,124843.0,8205.0,2775.0,12611.0,40684.0,2421.0,9851.0,8205.0
Female-45-54 years,236629.0,555.0,4991.0,3682.0,634.0,356.0,1554.0,308.0,107857.0,3429.0,1696.0,8791.0,31690.0,2520.0,4899.0,6510.0
Female-20-44 years,504196.0,845.0,16346.0,7153.0,1205.0,692.0,2789.0,394.0,225160.0,4604.0,2555.0,14896.0,69891.0,4914.0,7883.0,13213.0
Female-Less than 20 years,77264.0,1404.0,2502.0,985.0,130.0,41.0,347.0,61.0,27195.0,402.0,1033.0,1641.0,7718.0,1358.0,1054.0,1310.0
"Black or African American, non-Hispanic",0.0235374568948494,0.0150033235210331,0.0063946019960193,0.0161378456158246,0.0029664484451718,0.0094859916170307,0.0026466352703071,0.0022673166307675,0.0331987207517727,0.0056135053527313,0.0053796663152921,0.0204298679927277,0.0163120583790239,0.0006893382352941,0.0040778343562773,0.0036969584610184
"American Indian or Alaska Native, non-Hispanic",0.0245238725334556,0.433766973696705,0.1933343685154078,0.0034424975410732,0.076411620294599,0.0158835208471211,0.1822675436889425,0.0106563881646072,0.020993171159079,0.0063958276146033,0.2044636690778234,0.0435832393161779,0.0189805889282598,0.0003610819327731,0.0091071633956859,0.0119196920291831
"Asian or Pacific Islander, non-Hispanic",0.0375690016708737,0.0112050137688729,0.013382080998292,0.0192889147936323,0.003171031096563,0.0099272005294507,0.0070057992449305,0.0053281940823036,0.0470637387066124,0.012942629700796,0.0093053687615863,0.0140989803031065,0.0239820585873221,0.0025603991596639,0.0121080312424848,0.0052346314492295
Unknown,0.1330152878875188,0.1757667837812174,0.2402140003670191,0.1655859531528906,0.5106382978723404,0.0944187072578866,0.3093838788775153,0.3856705588935495,0.1235879124605107,0.2330634092780676,0.1009414416051761,0.2901788601527749,0.1993042842297482,0.0692949054621849,0.2906763977038656,0.3503168042575003
Hispanic or Latino,0.1364904438652691,0.0954325325230273,0.0591324233141825,0.2012494991075007,0.1557896890343699,0.4436355614383411,0.0409839255828436,0.0957941276499263,0.1412738387813625,0.0552978314575899,0.0547053905710443,0.1392867151962863,0.202741203454046,0.7516741071428572,0.0513807128890934,0.3806122337699162
Other Race,0.1690244343114667,0.0456746747697275,0.1094140398921529,0.149029179264872,0.0288461538461539,0.0176483564968012,0.1325652901568521,0.0122435098061444,0.1533468803319872,0.1637661268185561,0.208171276943768,0.0855711811668667,0.1187322512630968,0.0375853466386555,0.1462269576218907,0.0785412827028147
"White, non-Hispanic",0.475839502836567,0.223150697939417,0.3781284849169267,0.4452661105242068,0.222176759410802,0.4090006618133687,0.325146927178609,0.4880399047727016,0.4805357378086756,0.5229206697776558,0.4170331867253099,0.40685115587206,0.4199475551585033,0.1378348214285714,0.4864229027907026,0.169678397330338
