date,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL
2021-06-02 00:00:00,3,0,0,,,
2021-06-01 00:00:00,402,20,0.0497512437810945,8.0,5.0,0.625
2021-05-31 00:00:00,537,23,0.042830540037244,8.0,3.0,0.375
2021-05-30 00:00:00,483,31,0.0641821946169772,12.0,7.0,0.5833333333333334
2021-05-29 00:00:00,544,35,0.0643382352941176,14.0,7.0,0.5
2021-05-28 00:00:00,1419,54,0.0380549682875264,54.0,34.0,0.6296296296296298
2021-05-27 00:00:00,2031,60,0.0295420974889217,57.0,31.0,0.543859649122807
2021-05-26 00:00:00,967,47,0.0486039296794209,99.0,56.0,0.5656565656565656
2021-05-25 00:00:00,1561,72,0.0461242793081358,73.0,31.0,0.4246575342465753
2021-05-24 00:00:00,1386,84,0.0606060606060606,50.0,22.0,0.44
2021-05-23 00:00:00,618,50,0.0809061488673139,13.0,8.0,0.6153846153846154
2021-05-22 00:00:00,603,47,0.0779436152570481,19.0,10.0,0.5263157894736842
2021-05-21 00:00:00,1058,68,0.0642722117202269,107.0,57.0,0.5327102803738318
2021-05-20 00:00:00,1220,68,0.0557377049180328,78.0,45.0,0.576923076923077
2021-05-19 00:00:00,1307,82,0.0627390971690895,152.0,89.0,0.5855263157894738
2021-05-18 00:00:00,1355,78,0.0575645756457565,66.0,32.0,0.484848484848485
2021-05-17 00:00:00,1694,91,0.0537190082644628,65.0,37.0,0.5692307692307692
2021-05-16 00:00:00,689,78,0.1132075471698113,17.0,8.0,0.4705882352941176
2021-05-15 00:00:00,480,48,0.1,52.0,32.0,0.6153846153846154
2021-05-14 00:00:00,1535,46,0.0299674267100977,47.0,21.0,0.4468085106382979
2021-05-13 00:00:00,2126,76,0.0357478833490122,65.0,34.0,0.5230769230769232
2021-05-12 00:00:00,1125,42,0.0373333333333333,109.0,55.0,0.5045871559633028
2021-05-11 00:00:00,1582,55,0.0347661188369153,95.0,49.0,0.5157894736842106
2021-05-10 00:00:00,1804,80,0.0443458980044346,49.0,26.0,0.5306122448979592
2021-05-09 00:00:00,588,53,0.0901360544217687,4.0,1.0,0.25
2021-05-08 00:00:00,675,51,0.0755555555555556,47.0,23.0,0.4893617021276596
2021-05-07 00:00:00,1415,94,0.0664310954063604,64.0,35.0,0.546875
2021-05-06 00:00:00,1423,57,0.0400562192550949,78.0,43.0,0.5512820512820514
2021-05-05 00:00:00,1454,49,0.0337001375515818,71.0,37.0,0.5211267605633804
2021-05-04 00:00:00,1243,96,0.0772325020112631,79.0,48.0,0.6075949367088608
2021-05-03 00:00:00,2009,73,0.0363364858138377,59.0,30.0,0.5084745762711864
2021-05-02 00:00:00,533,46,0.0863039399624766,62.0,41.0,0.6612903225806452
2021-05-01 00:00:00,608,41,0.0674342105263158,124.0,65.0,0.5241935483870968
2021-04-30 00:00:00,1708,60,0.0351288056206089,94.0,52.0,0.5531914893617022
2021-04-29 00:00:00,2132,56,0.026266416510319,199.0,97.0,0.4874371859296482
2021-04-28 00:00:00,1449,72,0.0496894409937888,190.0,105.0,0.5526315789473686
2021-04-27 00:00:00,1239,75,0.0605326876513317,73.0,35.0,0.4794520547945206
2021-04-26 00:00:00,1829,71,0.038819026790596,48.0,22.0,0.4583333333333334
2021-04-25 00:00:00,548,43,0.0784671532846715,21.0,9.0,0.4285714285714286
2021-04-24 00:00:00,590,46,0.0779661016949153,93.0,45.0,0.4838709677419356
