date,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA
2021-06-03 00:00:00,28,1,0.0357142857142857,,,
2021-06-02 00:00:00,1922,115,0.0598335067637877,54.0,27.0,0.5
2021-06-01 00:00:00,4370,225,0.051487414187643,380.0,206.0,0.5421052631578948
2021-05-31 00:00:00,1374,103,0.0749636098981077,119.0,67.0,0.5630252100840336
2021-05-30 00:00:00,2397,140,0.0584063412599082,112.0,72.0,0.642857142857143
2021-05-29 00:00:00,2703,138,0.051054384017758,180.0,127.0,0.7055555555555556
2021-05-28 00:00:00,3475,205,0.0589928057553957,422.0,241.0,0.571090047393365
2021-05-27 00:00:00,3908,191,0.0488741044012282,466.0,196.0,0.4206008583690987
2021-05-26 00:00:00,4025,212,0.0526708074534162,541.0,335.0,0.6192236598890942
2021-05-25 00:00:00,4294,245,0.0570563577084304,562.0,338.0,0.601423487544484
2021-05-24 00:00:00,4567,250,0.0547405298883293,329.0,179.0,0.5440729483282676
2021-05-23 00:00:00,2504,167,0.0666932907348243,169.0,108.0,0.63905325443787
2021-05-22 00:00:00,2701,145,0.0536838208071085,265.0,171.0,0.6452830188679246
2021-05-21 00:00:00,4058,234,0.0576638738294727,417.0,244.0,0.5851318944844126
2021-05-20 00:00:00,4072,220,0.0540275049115914,553.0,322.0,0.5822784810126582
2021-05-19 00:00:00,4348,258,0.0593376264949402,642.0,412.0,0.6417445482866044
2021-05-18 00:00:00,4542,247,0.0543813298106561,546.0,320.0,0.5860805860805862
2021-05-17 00:00:00,5069,293,0.0578023278753206,413.0,232.0,0.5617433414043584
2021-05-16 00:00:00,2513,165,0.065658575407879,184.0,110.0,0.5978260869565218
2021-05-15 00:00:00,2456,189,0.0769543973941368,265.0,173.0,0.6528301886792452
2021-05-14 00:00:00,4175,239,0.0572455089820359,499.0,280.0,0.561122244488978
2021-05-13 00:00:00,4580,263,0.0574235807860262,495.0,276.0,0.5575757575757576
2021-05-12 00:00:00,4711,287,0.0609212481426449,488.0,291.0,0.5963114754098362
2021-05-11 00:00:00,5298,318,0.0600226500566251,493.0,284.0,0.5760649087221096
2021-05-10 00:00:00,5706,320,0.0560813179109709,355.0,187.0,0.5267605633802818
2021-05-09 00:00:00,2594,192,0.0740169622205089,104.0,52.0,0.5
2021-05-08 00:00:00,3065,203,0.066231647634584,270.0,161.0,0.5962962962962964
2021-05-07 00:00:00,4699,297,0.0632049372206853,458.0,260.0,0.5676855895196506
2021-05-06 00:00:00,4789,314,0.0655669242012946,559.0,329.0,0.5885509838998212
2021-05-05 00:00:00,5362,345,0.0643416635583737,515.0,281.0,0.545631067961165
2021-05-04 00:00:00,5529,340,0.0614939410381624,727.0,410.0,0.563961485557084
2021-05-03 00:00:00,6456,328,0.0508054522924411,424.0,210.0,0.4952830188679246
2021-05-02 00:00:00,2927,223,0.076187222412026,189.0,109.0,0.5767195767195768
2021-05-01 00:00:00,3084,218,0.0706874189364462,229.0,140.0,0.611353711790393
2021-04-30 00:00:00,4948,345,0.0697251414713015,508.0,290.0,0.5708661417322834
2021-04-29 00:00:00,5060,305,0.0602766798418972,599.0,330.0,0.5509181969949918
2021-04-28 00:00:00,5340,366,0.0685393258426966,628.0,344.0,0.5477707006369428
2021-04-27 00:00:00,5924,348,0.0587440918298447,641.0,349.0,0.544461778471139
2021-04-26 00:00:00,6008,418,0.0695739014647137,422.0,200.0,0.4739336492890996
2021-04-25 00:00:00,2705,231,0.0853974121996303,133.0,64.0,0.481203007518797
2021-04-24 00:00:00,2964,238,0.0802968960863698,283.0,172.0,0.607773851590106
2021-04-23 00:00:00,4749,323,0.0680143188039587,494.0,278.0,0.562753036437247
2021-04-22 00:00:00,4930,364,0.0738336713995943,662.0,388.0,0.5861027190332326
2021-04-21 00:00:00,5408,337,0.0623150887573965,643.0,320.0,0.4976671850699846
2021-04-20 00:00:00,5775,364,0.063030303030303,586.0,341.0,0.5819112627986348
2021-04-19 00:00:00,6496,398,0.0612684729064039,445.0,210.0,0.4719101123595506
