date,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-06-05 00:00:00,4,0,0,,,
2021-06-04 00:00:00,45,4,0.0888888888888889,1.0,0.0,0
2021-06-03 00:00:00,86,1,0.0116279069767442,7.0,7.0,1
2021-06-02 00:00:00,112,4,0.0357142857142857,6.0,5.0,0.8333333333333334
2021-06-01 00:00:00,182,6,0.032967032967033,10.0,5.0,0.5
2021-05-31 00:00:00,39,1,0.0256410256410256,3.0,3.0,1
2021-05-30 00:00:00,79,5,0.0632911392405063,7.0,1.0,0.1428571428571429
2021-05-29 00:00:00,50,2,0.04,2.0,1.0,0.5
2021-05-28 00:00:00,110,4,0.0363636363636364,10.0,3.0,0.3
2021-05-27 00:00:00,123,3,0.024390243902439,10.0,5.0,0.5
2021-05-26 00:00:00,110,2,0.0181818181818182,3.0,1.0,0.3333333333333333
2021-05-25 00:00:00,170,8,0.0470588235294118,8.0,2.0,0.25
2021-05-24 00:00:00,171,1,0.0058479532163743,8.0,4.0,0.5
2021-05-23 00:00:00,60,1,0.0166666666666667,4.0,3.0,0.75
2021-05-22 00:00:00,52,2,0.0384615384615385,7.0,6.0,0.8571428571428572
2021-05-21 00:00:00,118,2,0.0169491525423729,8.0,4.0,0.5
2021-05-20 00:00:00,104,0,0,18.0,10.0,0.5555555555555556
2021-05-19 00:00:00,101,2,0.0198019801980198,6.0,3.0,0.5
2021-05-18 00:00:00,151,2,0.0132450331125828,5.0,3.0,0.6
2021-05-17 00:00:00,172,1,0.0058139534883721,6.0,4.0,0.6666666666666666
2021-05-16 00:00:00,48,2,0.0416666666666667,4.0,3.0,0.75
2021-05-15 00:00:00,52,3,0.0576923076923077,2.0,2.0,1
2021-05-14 00:00:00,119,2,0.0168067226890756,8.0,1.0,0.125
2021-05-13 00:00:00,178,2,0.0112359550561798,8.0,3.0,0.375
2021-05-12 00:00:00,130,2,0.0153846153846154,2.0,1.0,0.5
2021-05-11 00:00:00,190,7,0.0368421052631579,14.0,4.0,0.2857142857142857
2021-05-10 00:00:00,169,4,0.0236686390532544,4.0,2.0,0.5
2021-05-09 00:00:00,61,2,0.0327868852459016,,,
