Category,value
Cases,888337
Deaths,17809
Yuma,"37,283"
Yavapai,"19,475"
Santa Cruz,"8,064"
Pinal,"53,540"
Pima,"117,156"
Navajo,"16,552"
Mohave,"23,407"
Maricopa,"555,683"
La Paz,"2,481"
Greenlee,576
Graham,"5,598"
Gila,"7,033"
Coconino,"17,921"
Cochise,"12,136"
Apache,"11,432"
<20y,145919
20-44y,390680
45-54y,129188
55-64y,105718
65+,115829
%null%,1003
Male,428006
Female,456604
Unknown,149420
Other Race,50487
"Asian or Pacific Islander, non-Hispanic",13250
"Black or African American, non-Hispanic",29143
"American Indian or Alaska Native, non-Hispanic",43319
Hispanic or Latino,264673
"White, non-Hispanic",338045
