date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2021-06-23 00:00:00,8,0,0,,,
2021-06-22 00:00:00,11,1,0.0909090909090909,,,
2021-06-21 00:00:00,10,2,0.2,,,
2021-06-19 00:00:00,3,0,0,1,1,1
2021-06-18 00:00:00,6,0,0,,,
2021-06-17 00:00:00,7,0,0,,,
2021-06-16 00:00:00,6,0,0,,,
2021-06-15 00:00:00,8,0,0,1,0,0
2021-06-14 00:00:00,5,0,0,,,
2021-06-13 00:00:00,1,0,0,,,
2021-06-12 00:00:00,2,0,0,,,
2021-06-11 00:00:00,7,0,0,,,
2021-06-10 00:00:00,11,0,0,1,1,1
2021-06-09 00:00:00,10,0,0,,,
2021-06-08 00:00:00,11,0,0,,,
2021-06-07 00:00:00,16,4,0.25,,,
2021-06-06 00:00:00,6,0,0,,,
2021-06-05 00:00:00,1,0,0,,,
2021-06-04 00:00:00,9,0,0,1,0,0
2021-06-03 00:00:00,15,0,0,3,1,0.3333333333333333
2021-06-02 00:00:00,11,0,0,,,
2021-06-01 00:00:00,15,0,0,,,
2021-05-31 00:00:00,4,1,0.25,,,
2021-05-30 00:00:00,10,0,0,,,
2021-05-29 00:00:00,6,1,0.1666666666666667,,,
2021-05-28 00:00:00,7,0,0,,,
2021-05-27 00:00:00,6,0,0,,,
2021-05-26 00:00:00,11,1,0.0909090909090909,,,
2021-05-25 00:00:00,5,0,0,2,2,1
2021-05-24 00:00:00,2,0,0,2,1,0.5
2021-05-23 00:00:00,1,0,0,,,
2021-05-22 00:00:00,2,0,0,,,
2021-05-21 00:00:00,7,0,0,1,1,1
2021-05-20 00:00:00,3,0,0,,,
2021-05-19 00:00:00,9,1,0.1111111111111111,,,
2021-05-18 00:00:00,16,0,0,,,
2021-05-17 00:00:00,12,1,0.0833333333333333,8,6,0.75
2021-05-16 00:00:00,6,0,0,,,
2021-05-15 00:00:00,5,0,0,,,
2021-05-14 00:00:00,7,1,0.1428571428571429,,,
2021-05-13 00:00:00,17,0,0,,,
2021-05-12 00:00:00,25,2,0.08,,,
2021-05-11 00:00:00,7,0,0,1,0,0
2021-05-10 00:00:00,12,0,0,,,
2021-05-09 00:00:00,1,0,0,,,
2021-05-08 00:00:00,5,0,0,,,
2021-05-07 00:00:00,6,0,0,,,
2021-05-06 00:00:00,9,0,0,,,
2021-05-05 00:00:00,7,0,0,,,
2021-05-04 00:00:00,4,0,0,1,0,0
2021-05-03 00:00:00,5,0,0,,,
2021-05-02 00:00:00,1,0,0,,,
2021-05-01 00:00:00,1,1,1,,,
2021-04-30 00:00:00,8,0,0,3,1,0.3333333333333333
2021-04-29 00:00:00,5,0,0,1,0,0
