date,pcr_tests,pcr_pos_tests,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-06-30 00:00:00,138,4,0.0289855072463768,,,,,,,,,,2.0,0.0,0.0,,,,7.0,0.0,0.0,,,,1.0,0.0,0.0,,,,2.0,0.0,0.0,,,,39.0,1.0,0.0256410256410256,,,,1.0,0.0,0.0,,,,6.0,0.0,0.0,,,,71.0,2.0,0.028169014084507,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,1.0,0.0,0.0,,,,2.0,1.0,0.5,,,
2021-06-29 00:00:00,6567,332,0.0505558093497792,242.0,122.0,0.5041322314049588,12.0,0.0,0.0,,,,164.0,9.0,0.0548780487804878,,,,223.0,8.0,0.0358744394618834,3.0,3.0,1.0,17.0,3.0,0.1764705882352941,,,,277.0,27.0,0.0974729241877256,13.0,9.0,0.6923076923076924,968.0,38.0,0.0392561983471074,14.0,8.0,0.5714285714285714,82.0,6.0,0.0731707317073171,1.0,1.0,1.0,289.0,16.0,0.055363321799308,4.0,1.0,0.25,4021.0,212.0,0.0527232031832877,167.0,73.0,0.437125748502994,138.0,0.0,0.0,,,,5.0,0.0,0.0,,,,17.0,1.0,0.0588235294117647,,,,47.0,5.0,0.1063829787234043,40.0,27.0,0.675,117.0,5.0,0.0427350427350427,,,,47.0,0.0,0.0,,,
2021-06-28 00:00:00,13396,676,0.0504628247237982,422.0,224.0,0.5308056872037916,27.0,1.0,0.037037037037037,1.0,1.0,1.0,180.0,3.0,0.0166666666666667,3.0,2.0,0.6666666666666666,380.0,8.0,0.0210526315789474,9.0,2.0,0.2222222222222222,31.0,1.0,0.032258064516129,3.0,2.0,0.6666666666666666,962.0,67.0,0.0696465696465697,19.0,15.0,0.7894736842105264,1666.0,65.0,0.039015606242497,29.0,12.0,0.4137931034482759,148.0,17.0,0.1148648648648649,1.0,1.0,1.0,378.0,42.0,0.1111111111111111,16.0,7.0,0.4375,8606.0,447.0,0.0519405066232861,312.0,165.0,0.528846153846154,14.0,1.0,0.0714285714285714,,,,2.0,0.0,0.0,,,,29.0,0.0,0.0,,,,115.0,9.0,0.0782608695652174,17.0,8.0,0.4705882352941176,222.0,5.0,0.0225225225225225,4.0,3.0,0.75,97.0,2.0,0.0206185567010309,6.0,4.0,0.6666666666666666
2021-06-27 00:00:00,6806,410,0.0602409638554217,295.0,205.0,0.6949152542372882,21.0,0.0,0.0,,,,54.0,0.0,0.0,1.0,0.0,0.0,157.0,10.0,0.0636942675159236,32.0,22.0,0.6875,12.0,0.0,0.0,,,,377.0,44.0,0.116710875331565,11.0,9.0,0.8181818181818182,735.0,41.0,0.0557823129251701,11.0,0.0,0.0,68.0,5.0,0.0735294117647059,,,,160.0,21.0,0.13125,1.0,1.0,1.0,4722.0,276.0,0.0584498094027954,234.0,171.0,0.7307692307692308,7.0,0.0,0.0,,,,,,,,,,39.0,0.0,0.0,,,,14.0,2.0,0.1428571428571429,3.0,2.0,0.6666666666666666,146.0,3.0,0.0205479452054795,,,,49.0,1.0,0.0204081632653061,,,
2021-06-26 00:00:00,6592,472,0.0716019417475728,640.0,480.0,0.75,13.0,0.0,0.0,1.0,1.0,1.0,64.0,3.0,0.046875,1.0,1.0,1.0,158.0,19.0,0.120253164556962,,,,21.0,2.0,0.0952380952380952,1.0,0.0,0.0,474.0,50.0,0.1054852320675106,19.0,10.0,0.5263157894736842,852.0,42.0,0.0492957746478873,9.0,3.0,0.3333333333333333,90.0,10.0,0.1111111111111111,,,,138.0,20.0,0.1449275362318841,12.0,7.0,0.5833333333333334,4381.0,314.0,0.0716731339876741,593.0,456.0,0.7689713322091062,8.0,0.0,0.0,,,,,,,,,,9.0,0.0,0.0,,,,33.0,4.0,0.1212121212121212,,,,94.0,4.0,0.0425531914893617,2.0,2.0,1.0,47.0,1.0,0.0212765957446809,2.0,0.0,0.0
2021-06-25 00:00:00,12497,629,0.0503320796991278,974.0,616.0,0.6324435318275154,27.0,3.0,0.1111111111111111,1.0,0.0,0.0,213.0,2.0,0.0093896713615023,4.0,2.0,0.5,283.0,10.0,0.0353356890459364,19.0,6.0,0.3157894736842105,45.0,3.0,0.0666666666666667,,,,1286.0,54.0,0.0419906687402799,69.0,42.0,0.6086956521739132,1502.0,65.0,0.0432756324900133,33.0,14.0,0.4242424242424243,126.0,13.0,0.1031746031746032,,,,378.0,52.0,0.1375661375661376,36.0,23.0,0.6388888888888888,7543.0,403.0,0.0534270184276813,773.0,502.0,0.6494178525226392,8.0,0.0,0.0,,,,1.0,0.0,0.0,2.0,0.0,0.0,68.0,1.0,0.0147058823529412,,,,59.0,1.0,0.0169491525423729,1.0,1.0,1.0,214.0,4.0,0.0186915887850467,19.0,16.0,0.8421052631578948,92.0,2.0,0.0217391304347826,13.0,7.0,0.5384615384615384
2021-06-24 00:00:00,13506,634,0.046942099807493,1146.0,730.0,0.636998254799302,33.0,5.0,0.1515151515151515,4.0,2.0,0.5,175.0,0.0,0.0,3.0,3.0,1.0,319.0,13.0,0.0407523510971787,103.0,76.0,0.737864077669903,38.0,2.0,0.0526315789473684,2.0,0.0,0.0,1553.0,42.0,0.0270444301352222,77.0,46.0,0.5974025974025974,1509.0,63.0,0.0417495029821074,35.0,12.0,0.3428571428571429,202.0,14.0,0.0693069306930693,56.0,36.0,0.642857142857143,336.0,41.0,0.1220238095238095,31.0,15.0,0.4838709677419356,8258.0,426.0,0.0515863405182853,765.0,490.0,0.6405228758169934,14.0,1.0,0.0714285714285714,11.0,8.0,0.7272727272727274,2.0,0.0,0.0,,,,8.0,0.0,0.0,,,,163.0,6.0,0.0368098159509203,41.0,30.0,0.7317073170731708,206.0,5.0,0.0242718446601942,7.0,4.0,0.5714285714285714,128.0,5.0,0.0390625,4.0,1.0,0.25
2021-06-23 00:00:00,13321,617,0.0463178440057053,1239.0,779.0,0.6287328490718322,34.0,2.0,0.0588235294117647,3.0,2.0,0.6666666666666666,135.0,7.0,0.0518518518518519,3.0,2.0,0.6666666666666666,376.0,10.0,0.0265957446808511,31.0,15.0,0.4838709677419356,40.0,1.0,0.025,2.0,2.0,1.0,1063.0,46.0,0.0432737535277516,58.0,37.0,0.6379310344827588,1854.0,65.0,0.035059331175836,66.0,25.0,0.3787878787878788,131.0,5.0,0.0381679389312977,20.0,14.0,0.7,374.0,33.0,0.0882352941176471,37.0,16.0,0.4324324324324325,8050.0,415.0,0.0515527950310559,933.0,600.0,0.6430868167202572,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,34.0,0.0,0.0,10.0,4.0,0.4,51.0,7.0,0.1372549019607843,8.0,3.0,0.375,269.0,5.0,0.0185873605947955,58.0,52.0,0.896551724137931,103.0,8.0,0.0776699029126214,5.0,4.0,0.8
2021-06-22 00:00:00,15853,593,0.0374061691793351,1177.0,760.0,0.6457094307561598,53.0,1.0,0.0188679245283019,37.0,23.0,0.6216216216216216,206.0,1.0,0.0048543689320388,7.0,4.0,0.5714285714285714,426.0,12.0,0.028169014084507,8.0,3.0,0.375,38.0,3.0,0.0789473684210526,2.0,1.0,0.5,1293.0,35.0,0.0270688321732405,39.0,28.0,0.717948717948718,2104.0,56.0,0.026615969581749,48.0,23.0,0.4791666666666668,167.0,4.0,0.0239520958083832,19.0,10.0,0.5263157894736842,831.0,38.0,0.0457280385078219,38.0,22.0,0.5789473684210528,9219.0,415.0,0.0450157283870268,935.0,612.0,0.6545454545454547,24.0,1.0,0.0416666666666667,1.0,1.0,1.0,3.0,0.0,0.0,,,,33.0,0.0,0.0,,,,82.0,13.0,0.1585365853658537,4.0,3.0,0.75,305.0,5.0,0.0163934426229508,30.0,25.0,0.8333333333333334,85.0,1.0,0.0117647058823529,4.0,3.0,0.75
2021-06-21 00:00:00,15479,652,0.042121584081659,750.0,402.0,0.536,33.0,2.0,0.0606060606060606,,,,232.0,4.0,0.0172413793103448,6.0,3.0,0.5,397.0,19.0,0.0478589420654912,9.0,5.0,0.5555555555555556,47.0,0.0,0.0,2.0,2.0,1.0,1201.0,62.0,0.0516236469608659,106.0,75.0,0.7075471698113208,2025.0,54.0,0.0266666666666667,50.0,17.0,0.34,252.0,13.0,0.0515873015873016,2.0,2.0,1.0,377.0,33.0,0.0875331564986737,30.0,15.0,0.5,9424.0,431.0,0.0457342954159593,520.0,268.0,0.5153846153846154,27.0,2.0,0.0740740740740741,,,,4.0,0.0,0.0,,,,42.0,0.0,0.0,1.0,1.0,1.0,84.0,6.0,0.0714285714285714,9.0,7.0,0.7777777777777778,276.0,7.0,0.0253623188405797,3.0,0.0,0.0,120.0,6.0,0.05,10.0,6.0,0.6
