date,ED_covid
2021-07-08 00:00:00,872
2021-07-07 00:00:00,866
2021-07-06 00:00:00,879
2021-07-05 00:00:00,744
2021-07-04 00:00:00,792
2021-07-03 00:00:00,812
2021-07-02 00:00:00,871
2021-07-01 00:00:00,836
2021-06-30 00:00:00,844
2021-06-29 00:00:00,878
2021-06-28 00:00:00,795
2021-06-27 00:00:00,782
2021-06-26 00:00:00,828
2021-06-25 00:00:00,847
2021-06-24 00:00:00,783
2021-06-23 00:00:00,938
2021-06-22 00:00:00,906
2021-06-21 00:00:00,746
2021-06-20 00:00:00,708
2021-06-19 00:00:00,818
2021-06-18 00:00:00,874
2021-06-17 00:00:00,813
2021-06-16 00:00:00,857
2021-06-15 00:00:00,769
2021-06-14 00:00:00,787
2021-06-13 00:00:00,796
2021-06-12 00:00:00,825
2021-06-11 00:00:00,908
2021-06-10 00:00:00,907
2021-06-09 00:00:00,879
2021-06-08 00:00:00,865
2021-06-07 00:00:00,796
2021-06-06 00:00:00,823
2021-06-05 00:00:00,896
2021-06-04 00:00:00,859
2021-06-03 00:00:00,887
2021-06-02 00:00:00,887
2021-06-01 00:00:00,858
2021-05-31 00:00:00,801
2021-05-30 00:00:00,855
2021-05-29 00:00:00,865
2021-05-28 00:00:00,855
2021-05-27 00:00:00,876
2021-05-26 00:00:00,927
2021-05-25 00:00:00,1006
2021-05-24 00:00:00,815
2021-05-23 00:00:00,788
2021-05-22 00:00:00,863
2021-05-21 00:00:00,950
2021-05-20 00:00:00,928
2021-05-19 00:00:00,935
2021-05-18 00:00:00,900
2021-05-17 00:00:00,806
2021-05-16 00:00:00,869
2021-05-15 00:00:00,945
2021-05-14 00:00:00,891
2021-05-13 00:00:00,927
2021-05-12 00:00:00,1283
2021-05-11 00:00:00,1001
2021-05-10 00:00:00,824
2021-05-09 00:00:00,828
2021-05-08 00:00:00,921
2021-05-07 00:00:00,913
2021-05-06 00:00:00,965
2021-05-05 00:00:00,975
2021-05-04 00:00:00,945
2021-05-03 00:00:00,808
2021-05-02 00:00:00,833
2021-05-01 00:00:00,954
2021-04-30 00:00:00,959
2021-04-29 00:00:00,954
2021-04-28 00:00:00,1004
2021-04-27 00:00:00,1043
2021-04-26 00:00:00,900
2021-04-25 00:00:00,946
2021-04-24 00:00:00,993
2021-04-23 00:00:00,965
2021-04-22 00:00:00,995
2021-04-21 00:00:00,1030
2021-04-20 00:00:00,1015
2021-04-19 00:00:00,969
2021-04-18 00:00:00,900
2021-04-17 00:00:00,1007
2021-04-16 00:00:00,989
2021-04-15 00:00:00,893
2021-04-14 00:00:00,968
2021-04-13 00:00:00,984
2021-04-12 00:00:00,881
2021-04-11 00:00:00,911
2021-04-10 00:00:00,1056
2021-04-09 00:00:00,1010
2021-04-08 00:00:00,974
2021-04-07 00:00:00,1022
2021-04-06 00:00:00,1112
2021-04-05 00:00:00,892
2021-04-04 00:00:00,722
2021-04-03 00:00:00,1013
2021-04-02 00:00:00,1001
2021-04-01 00:00:00,1007
2021-03-31 00:00:00,1016
2021-03-30 00:00:00,1031
2021-03-28 00:00:00,864
2021-03-27 00:00:00,767
2021-03-26 00:00:00,941
2021-03-25 00:00:00,965
2021-03-24 00:00:00,973
2021-03-23 00:00:00,1109
2021-03-22 00:00:00,879
2021-03-21 00:00:00,940
2021-03-20 00:00:00,908
2021-03-19 00:00:00,1000
2021-03-18 00:00:00,958
2021-03-17 00:00:00,1031
2021-03-16 00:00:00,1095
2021-03-15 00:00:00,873
2021-03-14 00:00:00,884
