date,cases,cases_APACHE,cases_YUMA,cases_YAVAPAI,cases_SANTA_CRUZ,cases_PINAL,cases_PIMA,cases_NAVAJO,cases_MOHAVE,cases_MARICOPA,cases_LA_PAZ,cases_GREENLEE,cases_GRAHAM,cases_GILA,cases_COCONINO,cases_COCHISE
2021-07-15 00:00:00,5,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,
2021-07-14 00:00:00,146,1.0,,16.0,,14.0,8.0,6.0,29.0,47.0,2.0,1.0,1.0,8.0,13.0,
2021-07-13 00:00:00,767,8.0,4.0,55.0,4.0,62.0,56.0,20.0,54.0,448.0,3.0,1.0,3.0,14.0,28.0,7.0
2021-07-12 00:00:00,1173,4.0,17.0,55.0,10.0,87.0,74.0,19.0,55.0,800.0,3.0,3.0,3.0,8.0,25.0,10.0
2021-07-11 00:00:00,637,2.0,6.0,28.0,1.0,48.0,56.0,4.0,36.0,430.0,1.0,,2.0,4.0,11.0,8.0
2021-07-10 00:00:00,651,2.0,8.0,23.0,4.0,40.0,37.0,5.0,40.0,477.0,,,2.0,1.0,8.0,4.0
2021-07-09 00:00:00,828,4.0,7.0,34.0,4.0,62.0,64.0,9.0,49.0,570.0,1.0,,1.0,10.0,10.0,3.0
2021-07-08 00:00:00,855,4.0,5.0,29.0,1.0,62.0,69.0,14.0,65.0,579.0,2.0,,2.0,6.0,14.0,3.0
2021-07-07 00:00:00,892,5.0,5.0,32.0,8.0,82.0,57.0,7.0,53.0,590.0,3.0,,2.0,13.0,33.0,2.0
2021-07-06 00:00:00,882,12.0,12.0,32.0,7.0,70.0,63.0,26.0,60.0,570.0,4.0,2.0,,8.0,12.0,4.0
2021-07-05 00:00:00,723,3.0,3.0,26.0,2.0,56.0,42.0,7.0,61.0,507.0,,2.0,2.0,1.0,10.0,1.0
2021-07-04 00:00:00,189,6.0,,6.0,,10.0,17.0,5.0,12.0,127.0,1.0,1.0,,3.0,,1.0
2021-07-03 00:00:00,346,4.0,4.0,12.0,1.0,22.0,40.0,4.0,14.0,238.0,2.0,,,2.0,1.0,2.0
2021-07-02 00:00:00,596,2.0,1.0,16.0,3.0,62.0,45.0,4.0,50.0,390.0,3.0,1.0,1.0,4.0,10.0,4.0
2021-07-01 00:00:00,615,2.0,5.0,20.0,2.0,24.0,44.0,10.0,50.0,442.0,,,2.0,2.0,7.0,5.0
2021-06-30 00:00:00,630,1.0,9.0,23.0,1.0,46.0,54.0,11.0,51.0,423.0,1.0,1.0,,2.0,6.0,1.0
2021-06-29 00:00:00,593,2.0,12.0,18.0,4.0,37.0,49.0,16.0,41.0,399.0,1.0,,1.0,4.0,6.0,3.0
2021-06-28 00:00:00,609,4.0,2.0,8.0,1.0,55.0,67.0,23.0,45.0,380.0,4.0,,,14.0,3.0,3.0
2021-06-27 00:00:00,352,,1.0,8.0,,25.0,35.0,7.0,22.0,249.0,,1.0,,2.0,1.0,1.0
2021-06-26 00:00:00,413,,3.0,17.0,4.0,39.0,39.0,9.0,22.0,271.0,1.0,,,4.0,3.0,1.0
