date,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA
2021-07-17 00:00:00,1,0,0,,,
2021-07-16 00:00:00,182,12,0.0659340659340659,1.0,1.0,1
2021-07-15 00:00:00,183,16,0.087431693989071,2.0,1.0,0.5
2021-07-14 00:00:00,158,18,0.1139240506329114,4.0,3.0,0.75
2021-07-13 00:00:00,205,11,0.0536585365853659,3.0,1.0,0.3333333333333333
2021-07-12 00:00:00,325,18,0.0553846153846154,4.0,3.0,0.75
2021-07-11 00:00:00,139,7,0.0503597122302158,1.0,1.0,1
2021-07-10 00:00:00,184,8,0.0434782608695652,,,
2021-07-09 00:00:00,257,9,0.0350194552529183,4.0,1.0,0.25
2021-07-08 00:00:00,227,5,0.0220264317180617,4.0,2.0,0.5
2021-07-07 00:00:00,169,6,0.0355029585798817,5.0,3.0,0.6
2021-07-06 00:00:00,357,12,0.0336134453781513,,,
2021-07-05 00:00:00,153,6,0.0392156862745098,,,
2021-07-04 00:00:00,55,0,0,,,
2021-07-03 00:00:00,87,4,0.0459770114942529,,,
2021-07-02 00:00:00,250,1,0.004,8.0,5.0,0.625
2021-07-01 00:00:00,254,6,0.0236220472440945,4.0,2.0,0.5
2021-06-30 00:00:00,246,9,0.0365853658536585,3.0,1.0,0.3333333333333333
2021-06-29 00:00:00,272,13,0.0477941176470588,3.0,1.0,0.3333333333333333
2021-06-28 00:00:00,247,3,0.0121457489878543,3.0,2.0,0.6666666666666666
2021-06-27 00:00:00,102,0,0,1.0,0.0,0
2021-06-26 00:00:00,101,3,0.0297029702970297,2.0,1.0,0.5
2021-06-25 00:00:00,220,2,0.0090909090909091,4.0,2.0,0.5
2021-06-24 00:00:00,191,0,0,5.0,4.0,0.8
2021-06-23 00:00:00,139,7,0.0503597122302158,4.0,3.0,0.75
2021-06-22 00:00:00,207,1,0.0048309178743961,7.0,4.0,0.5714285714285714
2021-06-21 00:00:00,232,4,0.0172413793103448,6.0,3.0,0.5
2021-06-20 00:00:00,61,0,0,,,
2021-06-19 00:00:00,71,3,0.0422535211267606,,,
2021-06-18 00:00:00,205,1,0.0048780487804878,1.0,1.0,1
2021-06-17 00:00:00,161,2,0.0124223602484472,4.0,1.0,0.25
2021-06-16 00:00:00,190,3,0.0157894736842105,6.0,2.0,0.3333333333333333
2021-06-15 00:00:00,180,1,0.0055555555555556,5.0,1.0,0.2
2021-06-14 00:00:00,249,3,0.0120481927710843,5.0,3.0,0.6
2021-06-13 00:00:00,60,1,0.0166666666666667,,,
2021-06-12 00:00:00,66,0,0,2.0,0.0,0
2021-06-11 00:00:00,208,3,0.0144230769230769,49.0,33.0,0.673469387755102
2021-06-10 00:00:00,169,2,0.0118343195266272,26.0,19.0,0.7307692307692308
2021-06-09 00:00:00,144,3,0.0208333333333333,54.0,32.0,0.5925925925925926
2021-06-08 00:00:00,201,2,0.0099502487562189,4.0,1.0,0.25
2021-06-07 00:00:00,276,4,0.0144927536231884,7.0,5.0,0.7142857142857144
2021-06-06 00:00:00,76,2,0.0263157894736842,,,
2021-06-05 00:00:00,89,4,0.0449438202247191,,,
2021-06-04 00:00:00,226,3,0.0132743362831858,4.0,3.0,0.75
2021-06-03 00:00:00,227,5,0.0220264317180617,4.0,4.0,1
2021-06-02 00:00:00,181,2,0.0110497237569061,8.0,5.0,0.625
2021-06-01 00:00:00,255,2,0.007843137254902,8.0,5.0,0.625
2021-05-31 00:00:00,49,0,0,,,
2021-05-30 00:00:00,71,1,0.0140845070422535,1.0,0.0,0
2021-05-29 00:00:00,87,1,0.0114942528735632,,,
2021-05-28 00:00:00,254,7,0.0275590551181102,5.0,2.0,0.4
2021-05-27 00:00:00,155,7,0.0451612903225806,6.0,6.0,1
2021-05-26 00:00:00,202,7,0.0346534653465347,9.0,7.0,0.7777777777777778
2021-05-25 00:00:00,208,5,0.0240384615384615,4.0,2.0,0.5
2021-05-24 00:00:00,241,5,0.020746887966805,2.0,2.0,1
2021-05-23 00:00:00,74,7,0.0945945945945946,,,
2021-05-22 00:00:00,85,1,0.0117647058823529,3.0,1.0,0.3333333333333333
2021-05-21 00:00:00,311,12,0.0385852090032154,5.0,2.0,0.4
2021-05-20 00:00:00,339,1,0.0029498525073746,7.0,4.0,0.5714285714285714
2021-05-19 00:00:00,194,4,0.0206185567010309,6.0,4.0,0.6666666666666666
2021-05-18 00:00:00,232,8,0.0344827586206897,4.0,3.0,0.75
2021-05-17 00:00:00,390,3,0.0076923076923077,3.0,3.0,1
2021-05-16 00:00:00,56,2,0.0357142857142857,2.0,2.0,1
2021-05-15 00:00:00,81,2,0.0246913580246914,1.0,0.0,0
2021-05-14 00:00:00,241,3,0.012448132780083,19.0,11.0,0.5789473684210528
2021-05-13 00:00:00,243,5,0.0205761316872428,39.0,19.0,0.4871794871794872
2021-05-12 00:00:00,267,6,0.0224719101123596,56.0,37.0,0.6607142857142858
2021-05-11 00:00:00,324,7,0.0216049382716049,3.0,2.0,0.6666666666666666
2021-05-10 00:00:00,370,8,0.0216216216216216,4.0,3.0,0.75
2021-05-09 00:00:00,65,1,0.0153846153846154,,,
2021-05-08 00:00:00,84,2,0.0238095238095238,4.0,2.0,0.5
2021-05-07 00:00:00,242,4,0.0165289256198347,3.0,1.0,0.3333333333333333
2021-05-06 00:00:00,261,9,0.0344827586206897,5.0,3.0,0.6
2021-05-05 00:00:00,346,6,0.0173410404624277,5.0,3.0,0.6
2021-05-04 00:00:00,333,10,0.03003003003003,13.0,8.0,0.6153846153846154
2021-05-03 00:00:00,481,10,0.0207900207900208,11.0,5.0,0.4545454545454546
2021-05-02 00:00:00,60,3,0.05,1.0,1.0,1
2021-05-01 00:00:00,81,3,0.037037037037037,1.0,0.0,0
2021-04-30 00:00:00,252,14,0.0555555555555556,12.0,6.0,0.5
2021-04-29 00:00:00,218,9,0.0412844036697248,9.0,8.0,0.8888888888888888
2021-04-28 00:00:00,250,8,0.032,4.0,1.0,0.25
2021-04-27 00:00:00,370,7,0.0189189189189189,12.0,8.0,0.6666666666666666
2021-04-26 00:00:00,296,6,0.0202702702702703,8.0,1.0,0.125
2021-04-25 00:00:00,62,3,0.0483870967741936,,,
2021-04-24 00:00:00,91,4,0.043956043956044,1.0,1.0,1
2021-04-23 00:00:00,273,15,0.0549450549450549,8.0,5.0,0.625
2021-04-22 00:00:00,227,5,0.0220264317180617,11.0,5.0,0.4545454545454546
2021-04-21 00:00:00,284,4,0.0140845070422535,11.0,6.0,0.5454545454545454
2021-04-20 00:00:00,412,4,0.0097087378640777,6.0,4.0,0.6666666666666666
2021-04-19 00:00:00,679,10,0.0147275405007364,7.0,5.0,0.7142857142857144
2021-04-18 00:00:00,65,3,0.0461538461538462,,,
2021-04-17 00:00:00,94,11,0.1170212765957447,125.0,73.0,0.584
2021-04-16 00:00:00,313,8,0.0255591054313099,11.0,9.0,0.8181818181818182
2021-04-15 00:00:00,240,19,0.0791666666666667,45.0,27.0,0.6
2021-04-14 00:00:00,345,10,0.0289855072463768,66.0,37.0,0.5606060606060606
2021-04-13 00:00:00,475,8,0.0168421052631579,7.0,3.0,0.4285714285714286
2021-04-12 00:00:00,532,8,0.0150375939849624,6.0,3.0,0.5
2021-04-11 00:00:00,48,6,0.125,2.0,0.0,0
2021-04-10 00:00:00,91,4,0.043956043956044,1.0,1.0,1
2021-04-09 00:00:00,476,5,0.0105042016806723,9.0,4.0,0.4444444444444444
2021-04-08 00:00:00,322,7,0.0217391304347826,9.0,7.0,0.7777777777777778
2021-04-07 00:00:00,317,8,0.0252365930599369,12.0,6.0,0.5
2021-04-06 00:00:00,409,18,0.0440097799511002,11.0,7.0,0.6363636363636364
2021-04-05 00:00:00,614,13,0.0211726384364821,4.0,1.0,0.25
2021-04-04 00:00:00,82,5,0.0609756097560976,,,
2021-04-03 00:00:00,90,9,0.1,,,
2021-04-02 00:00:00,365,12,0.0328767123287671,7.0,4.0,0.5714285714285714
2021-04-01 00:00:00,302,14,0.0463576158940397,13.0,9.0,0.6923076923076924
2021-03-31 00:00:00,365,14,0.0383561643835616,12.0,6.0,0.5
2021-03-30 00:00:00,421,17,0.0403800475059382,14.0,6.0,0.4285714285714286
2021-03-29 00:00:00,838,10,0.0119331742243437,9.0,5.0,0.5555555555555556
2021-03-28 00:00:00,70,1,0.0142857142857143,1.0,1.0,1
2021-03-27 00:00:00,93,5,0.0537634408602151,2.0,1.0,0.5
2021-03-26 00:00:00,301,10,0.0332225913621263,12.0,8.0,0.6666666666666666
2021-03-25 00:00:00,333,16,0.0480480480480481,9.0,7.0,0.7777777777777778
2021-03-24 00:00:00,348,11,0.0316091954022989,18.0,12.0,0.6666666666666666
2021-03-23 00:00:00,389,16,0.0411311053984576,15.0,11.0,0.7333333333333334
2021-03-22 00:00:00,738,20,0.02710027100271,14.0,4.0,0.2857142857142857
2021-03-21 00:00:00,59,6,0.1016949152542373,,,
2021-03-20 00:00:00,91,6,0.0659340659340659,1.0,0.0,0
2021-03-19 00:00:00,323,14,0.043343653250774,28.0,17.0,0.6071428571428572
2021-03-18 00:00:00,360,8,0.0222222222222222,29.0,16.0,0.5517241379310346
2021-03-17 00:00:00,288,14,0.0486111111111111,100.0,61.0,0.61
2021-03-16 00:00:00,369,13,0.035230352303523,76.0,40.0,0.5263157894736842
2021-03-15 00:00:00,530,18,0.0339622641509434,15.0,9.0,0.6
2021-03-14 00:00:00,63,1,0.0158730158730159,,,
2021-03-13 00:00:00,99,8,0.0808080808080808,3.0,2.0,0.6666666666666666
2021-03-12 00:00:00,296,7,0.0236486486486487,20.0,11.0,0.55
2021-03-11 00:00:00,591,14,0.0236886632825719,10.0,6.0,0.6
2021-03-10 00:00:00,294,15,0.0510204081632653,24.0,13.0,0.5416666666666666
2021-03-09 00:00:00,361,8,0.0221606648199446,19.0,8.0,0.4210526315789474
2021-03-08 00:00:00,723,17,0.0235131396957123,7.0,5.0,0.7142857142857144
2021-03-07 00:00:00,159,4,0.0251572327044025,2.0,0.0,0
