date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-07-20,841,6926,906
2021-07-19,809,6791,1045
2021-07-18,814,6877,964
2021-07-17,775,6938,946
2021-07-16,745,6990,925
2021-07-15,719,7043,909
2021-07-14,689,7033,926
2021-07-13,669,7038,946
2021-07-12,643,7002,1008
2021-07-11,602,7079,976
2021-07-10,603,7087,978
2021-07-09,550,7163,961
2021-07-08,535,7190,950
2021-07-07,548,7053,1047
2021-07-06,562,6963,1123
2021-07-05,531,6926,1176
2021-07-04,525,7015,1100
2021-07-03,504,7086,1054
2021-07-02,520,7142,981
2021-07-01,530,7199,912
2021-06-30,527,7189,928
2021-06-29,559,7149,935
2021-06-28,532,7049,1066
2021-06-27,503,7049,1101
2021-06-26,506,7100,1047
2021-06-25,525,7188,940
2021-06-24,523,7152,924
2021-06-23,497,7257,906
2021-06-22,502,7234,913
2021-06-21,487,7111,1057
2021-06-20,522,7145,973
2021-06-19,514,7210,928
2021-06-18,503,7231,917
2021-06-17,499,7214,916
2021-06-16,480,7126,1022
2021-06-15,554,7024,1050
2021-06-14,509,7019,1099
2021-06-13,520,6938,1169
2021-06-12,512,7165,969
2021-06-11,529,7195,929
2021-06-10,525,7190,940
2021-06-09,559,7167,928
2021-06-08,600,6946,972
2021-06-07,602,6820,1083
2021-06-06,560,6901,1034
2021-06-05,552,7035,996
2021-06-04,566,7077,945
2021-06-03,590,7062,947
2021-06-02,532,7110,956
2021-06-01,544,6906,1145
2021-05-31,549,6860,1187
2021-05-30,553,6907,1123
2021-05-29,545,7005,1039
2021-05-28,555,7090,955
2021-05-27,576,7088,935
2021-05-26,545,7145,909
2021-05-25,545,7082,970
2021-05-24,551,6942,1102
2021-05-23,529,6934,1132
2021-05-22,535,7006,1046
2021-05-21,573,6999,1029
2021-05-20,581,7022,1004
2021-05-19,591,7041,996
2021-05-18,607,6950,1071
2021-05-17,578,6819,1223
2021-05-16,594,6869,1122
2021-05-15,596,6930,1069
2021-05-14,595,7052,956
2021-05-13,594,7034,977
2021-05-12,585,7021,999
2021-05-11,599,6994,1014
2021-05-10,577,6876,1143
2021-05-09,565,6870,1154
2021-05-08,592,6967,1034
2021-05-07,612,7061,929
2021-05-06,666,7015,919
2021-05-05,672,7008,915
2021-05-04,636,6896,1061
2021-05-03,615,6857,1120
2021-05-02,607,6875,1093
2021-05-01,605,6944,1034
