date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-07-26 00:00:00,1,0,0,,,
2021-07-25 00:00:00,6,0,0,,,
2021-07-24 00:00:00,17,4,0.2352941176470588,,,
2021-07-23 00:00:00,74,1,0.0135135135135135,1.0,1.0,1
2021-07-22 00:00:00,56,0,0,2.0,2.0,1
2021-07-21 00:00:00,36,1,0.0277777777777778,3.0,3.0,1
2021-07-20 00:00:00,32,1,0.03125,,,
2021-07-19 00:00:00,34,3,0.0882352941176471,2.0,1.0,0.5
2021-07-18 00:00:00,10,1,0.1,,,
2021-07-17 00:00:00,5,0,0,,,
2021-07-16 00:00:00,17,1,0.0588235294117647,,,
2021-07-15 00:00:00,16,1,0.0625,,,
2021-07-14 00:00:00,46,2,0.0434782608695652,5.0,3.0,0.6
2021-07-13 00:00:00,36,1,0.0277777777777778,5.0,1.0,0.2
2021-07-12 00:00:00,22,1,0.0454545454545455,,,
2021-07-11 00:00:00,7,0,0,,,
2021-07-10 00:00:00,4,0,0,,,
2021-07-09 00:00:00,12,1,0.0833333333333333,3.0,0.0,0
2021-07-08 00:00:00,14,0,0,,,
2021-07-07 00:00:00,34,2,0.0588235294117647,1.0,0.0,0
2021-07-06 00:00:00,26,0,0,,,
2021-07-05 00:00:00,20,1,0.05,,,
2021-07-04 00:00:00,5,0,0,,,
2021-07-03 00:00:00,8,0,0,,,
2021-07-02 00:00:00,17,0,0,5.0,3.0,0.6
2021-07-01 00:00:00,38,3,0.0789473684210526,1.0,1.0,1
2021-06-30 00:00:00,17,0,0,,,
2021-06-29 00:00:00,56,1,0.0178571428571429,1.0,1.0,1
2021-06-28 00:00:00,29,0,0,,,
2021-06-27 00:00:00,41,0,0,,,
2021-06-26 00:00:00,10,0,0,,,
2021-06-25 00:00:00,68,1,0.0147058823529412,,,
2021-06-24 00:00:00,8,0,0,,,
