date,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO
2021-07-30 00:00:00,95,14,0.1473684210526316,4.0,1.0,0.25
2021-07-29 00:00:00,194,25,0.1288659793814433,6.0,2.0,0.3333333333333333
2021-07-28 00:00:00,265,29,0.109433962264151,9.0,7.0,0.7777777777777778
2021-07-27 00:00:00,220,19,0.0863636363636364,5.0,3.0,0.6
2021-07-26 00:00:00,243,18,0.0740740740740741,5.0,1.0,0.2
2021-07-25 00:00:00,103,12,0.1165048543689321,,,
2021-07-24 00:00:00,109,22,0.2018348623853211,4.0,1.0,0.25
2021-07-23 00:00:00,241,20,0.0829875518672199,13.0,6.0,0.4615384615384616
2021-07-22 00:00:00,241,36,0.1493775933609959,7.0,5.0,0.7142857142857144
2021-07-21 00:00:00,227,24,0.105726872246696,9.0,5.0,0.5555555555555556
2021-07-20 00:00:00,219,30,0.136986301369863,8.0,5.0,0.625
2021-07-19 00:00:00,257,25,0.0972762645914397,5.0,1.0,0.2
2021-07-18 00:00:00,66,9,0.1363636363636364,,,
2021-07-17 00:00:00,99,8,0.0808080808080808,1.0,1.0,1
2021-07-16 00:00:00,213,22,0.1032863849765258,2.0,2.0,1
2021-07-15 00:00:00,203,19,0.0935960591133005,3.0,1.0,0.3333333333333333
2021-07-14 00:00:00,250,19,0.076,4.0,3.0,0.75
2021-07-13 00:00:00,163,14,0.0858895705521472,4.0,3.0,0.75
2021-07-12 00:00:00,220,16,0.0727272727272727,5.0,3.0,0.6
2021-07-11 00:00:00,68,5,0.0735294117647059,1.0,0.0,0
2021-07-10 00:00:00,99,5,0.0505050505050505,2.0,1.0,0.5
2021-07-09 00:00:00,159,10,0.0628930817610063,4.0,3.0,0.75
2021-07-08 00:00:00,146,11,0.0753424657534247,3.0,2.0,0.6666666666666666
2021-07-07 00:00:00,227,10,0.0440528634361234,2.0,1.0,0.5
2021-07-06 00:00:00,210,25,0.1190476190476191,,,
2021-07-05 00:00:00,110,8,0.0727272727272727,1.0,1.0,1
2021-07-04 00:00:00,64,5,0.078125,,,
2021-07-03 00:00:00,70,3,0.0428571428571429,,,
2021-07-02 00:00:00,141,7,0.049645390070922,1.0,0.0,0
2021-07-01 00:00:00,128,12,0.09375,50.0,27.0,0.54
