date,icu_covid,icu_non_covid,icu_empty
2021-08-02,293,1243,187
2021-08-01,298,1218,208
2021-07-31,296,1240,192
2021-07-30,312,1248,164
2021-07-29,306,1242,178
2021-07-28,335,1205,186
2021-07-27,332,1201,193
2021-07-26,274,1230,222
2021-07-25,254,1273,216
2021-07-24,248,1280,211
2021-07-23,256,1276,206
2021-07-22,238,1290,207
2021-07-21,237,1277,217
2021-07-20,223,1278,231
2021-07-19,215,1276,239
2021-07-18,192,1314,230
2021-07-17,179,1351,209
2021-07-16,185,1333,222
2021-07-15,185,1327,224
2021-07-14,184,1335,218
2021-07-13,188,1320,228
2021-07-12,183,1311,241
2021-07-11,165,1338,230
2021-07-10,154,1351,237
2021-07-09,155,1349,238
2021-07-08,160,1331,250
2021-07-07,152,1337,246
2021-07-06,150,1346,241
2021-07-05,144,1330,255
2021-07-04,135,1359,243
2021-07-03,135,1363,240
2021-07-02,134,1368,242
2021-07-01,136,1369,238
2021-06-30,136,1362,241
2021-06-29,134,1347,257
2021-06-28,125,1336,270
2021-06-27,131,1372,234
2021-06-26,127,1369,237
2021-06-25,130,1346,262
2021-06-24,129,1347,266
2021-06-23,124,1275,343
2021-06-22,135,1347,256
2021-06-21,136,1338,267
2021-06-20,133,1340,264
2021-06-19,133,1374,234
2021-06-18,149,1365,225
2021-06-17,136,1351,241
2021-06-16,129,1356,243
2021-06-15,120,1349,259
2021-06-14,120,1318,290
2021-06-13,128,1350,256
2021-06-12,131,1353,251
2021-06-11,126,1358,250
2021-06-10,144,1346,244
2021-06-09,143,1343,246
2021-06-08,148,1306,273
2021-06-07,130,1327,270
2021-06-06,141,1343,248
2021-06-05,140,1363,234
2021-06-04,145,1367,227
2021-06-03,158,1349,238
2021-06-02,167,1285,287
2021-06-01,153,1272,317
