date,Yuma_cume,Yuma
1/1/2021,4,
1/10/2021,5,1
1/11/2021,6,1
1/12/2021,7,1
1/13/2021,8,1
1/14/2021,10,2
1/15/2021,17,7
1/16/2021,43,26
1/17/2021,44,1
1/18/2021,46,2
1/19/2021,222,176
1/2/2021,920,698
1/20/2021,1675,755
1/21/2021,1913,238
1/22/2021,2017,104
1/23/2021,2018,1
1/24/2021,2447,429
1/25/2021,2807,360
1/26/2021,3239,432
1/27/2021,3332,93
1/28/2021,3353,21
1/29/2021,3355,2
1/3/2021,3356,1
1/30/2021,3574,218
1/31/2021,3904,330
1/4/2021,4386,482
1/5/2021,4614,228
1/6/2021,4935,321
1/7/2021,4949,14
1/8/2021,4964,15
1/9/2021,5641,677
12/1/2020,6320,679
12/10/2020,7069,749
12/12/2020,7253,184
12/16/2020,7445,192
12/17/2020,7446,1
12/19/2020,7447,1
12/20/2020,7484,37
12/21/2020,7874,390
12/22/2020,8446,572
12/23/2020,10229,1783
12/24/2020,11809,1580
12/26/2020,11951,142
12/27/2020,11964,13
12/28/2020,12398,434
12/29/2020,13250,852
12/3/2020,14650,1400
12/30/2020,16723,2073
12/31/2020,18793,2070
12/4/2020,19996,1203
12/8/2020,20009,13
2/1/2021,20879,870
2/10/2021,21953,1074
2/11/2021,23459,1506
2/12/2021,24467,1008
2/13/2021,25172,705
2/14/2021,25212,40
2/15/2021,25234,22
2/16/2021,25515,281
2/17/2021,26357,842
2/18/2021,28715,2358
2/19/2021,31187,2472
2/2/2021,33071,1884
2/20/2021,33939,868
2/21/2021,33942,3
2/22/2021,34057,115
2/23/2021,34315,258
2/24/2021,34639,324
2/25/2021,35264,625
2/26/2021,36117,853
2/27/2021,36493,376
2/28/2021,36502,9
2/3/2021,36543,41
2/4/2021,37744,1201
2/5/2021,40375,2631
2/6/2021,43538,3163
2/7/2021,46287,2749
2/8/2021,47128,841
2/9/2021,47475,347
3/1/2021,49364,1889
3/10/2021,50731,1367
3/11/2021,52002,1271
3/12/2021,54879,2877
3/13/2021,58515,3636
3/14/2021,58745,230
3/15/2021,58923,178
3/16/2021,59950,1027
3/17/2021,62124,2174
3/18/2021,64091,1967
3/19/2021,67508,3417
3/2/2021,70700,3192
3/20/2021,72335,1635
3/21/2021,72536,201
3/22/2021,73387,851
3/23/2021,75007,1620
3/24/2021,77107,2100
3/25/2021,81058,3951
3/26/2021,84223,3165
3/27/2021,85562,1339
3/28/2021,85910,348
3/29/2021,86457,547
3/3/2021,87967,1510
3/30/2021,90322,2355
3/31/2021,92650,2328
3/4/2021,94899,2249
3/5/2021,95505,606
3/6/2021,95757,252
3/7/2021,96370,613
3/8/2021,99202,2832
3/9/2021,102220,3018
4/1/2021,105137,2917
4/10/2021,107048,1911
4/11/2021,107809,761
4/12/2021,108502,693
4/13/2021,109933,1431
4/14/2021,112152,2219
4/15/2021,114598,2446
4/16/2021,117475,2877
4/17/2021,119516,2041
4/18/2021,120063,547
4/19/2021,120278,215
4/2/2021,120928,650
4/20/2021,121970,1042
4/21/2021,124637,2667
4/22/2021,127666,3029
4/23/2021,130781,3115
4/24/2021,131535,754
4/25/2021,132108,573
4/26/2021,133710,1602
4/27/2021,135694,1984
4/28/2021,137297,1603
4/29/2021,138695,1398
4/3/2021,140647,1952
4/30/2021,140973,326
4/4/2021,141164,191
4/5/2021,141712,548
4/6/2021,144841,3129
4/7/2021,146778,1937
4/8/2021,148586,1808
4/9/2021,150107,1521
5/1/2021,150337,230
5/10/2021,150517,180
5/11/2021,151393,876
5/12/2021,152990,1597
5/13/2021,154200,1210
5/14/2021,155719,1519
5/15/2021,156896,1177
5/16/2021,157160,264
5/17/2021,157286,126
5/18/2021,157810,524
5/19/2021,158553,743
5/2/2021,159964,1411
5/20/2021,161105,1141
5/21/2021,162262,1157
5/22/2021,162966,704
5/23/2021,163147,181
5/24/2021,164088,941
5/25/2021,164932,844
5/26/2021,165559,627
5/27/2021,166203,644
5/28/2021,166871,668
5/29/2021,167125,254
5/3/2021,167301,176
5/30/2021,167822,521
5/31/2021,168681,859
5/4/2021,169354,673
5/5/2021,170270,916
5/6/2021,171106,836
5/7/2021,171339,233
5/8/2021,171495,156
5/9/2021,171627,132
6/1/2021,172372,745
6/10/2021,173116,744
6/11/2021,173772,656
6/12/2021,174444,672
6/13/2021,174971,527
6/14/2021,175106,135
6/15/2021,175689,583
6/16/2021,176389,700
6/17/2021,177210,821
6/18/2021,178000,790
6/19/2021,178811,811
6/2/2021,179012,201
6/20/2021,179119,107
6/21/2021,179724,605
6/22/2021,180463,739
6/23/2021,180982,519
6/24/2021,181529,547
6/25/2021,181981,452
6/26/2021,182140,159
6/27/2021,182240,100
6/28/2021,182675,435
6/29/2021,183659,984
6/3/2021,185085,1426
6/30/2021,186468,1383
6/4/2021,187055,587
6/5/2021,187215,160
6/6/2021,187310,95
6/7/2021,187770,460
6/8/2021,188562,792
6/9/2021,189280,718
7/1/2021,190104,824
7/10/2021,190602,498
7/11/2021,190751,149
7/12/2021,190776,25
7/13/2021,190962,186
7/14/2021,191491,529
7/15/2021,192032,541
7/16/2021,192515,483
7/17/2021,193000,485
7/18/2021,193190,190
7/19/2021,193260,70
7/2/2021,193771,511
7/20/2021,194235,464
7/21/2021,194710,475
7/22/2021,195121,411
7/23/2021,195623,502
7/24/2021,195815,192
7/25/2021,195919,104
7/26/2021,196337,418
7/27/2021,196799,462
7/28/2021,197241,442
7/29/2021,197743,502
7/3/2021,198258,515
7/30/2021,198508,250
7/31/2021,198593,85
7/4/2021,199105,512
7/5/2021,199712,607
7/6/2021,200288,576
7/7/2021,200798,510
7/8/2021,201266,468
7/9/2021,201494,228
8/1/2021,201588,94
8/2/2021,201942,354
8/3/2021,202197,255
