date,Maricopa_cume,Maricopa
1/1/2021,77,
1/10/2021,88,11
1/11/2021,93,5
1/12/2021,94,1
1/13/2021,98,4
1/14/2021,101,3
1/15/2021,106,5
1/16/2021,116,10
1/17/2021,120,4
1/18/2021,122,2
1/19/2021,124,2
1/2/2021,131,7
1/20/2021,147,16
1/21/2021,191,44
1/22/2021,1441,1250
1/23/2021,3102,1661
1/24/2021,4786,1684
1/25/2021,5764,978
1/26/2021,9033,3269
1/27/2021,13297,4264
1/28/2021,18120,4823
1/29/2021,19684,1564
1/3/2021,19686,2
1/30/2021,24810,5124
1/31/2021,27131,2321
1/4/2021,32431,5300
1/5/2021,40394,7963
1/6/2021,49212,8818
1/7/2021,52989,3777
1/8/2021,53713,724
1/9/2021,59950,6237
12/1/2020,62648,2698
12/10/2020,67332,4684
12/11/2020,71729,4397
12/12/2020,76764,5035
12/13/2020,82060,5296
12/14/2020,86646,4586
12/15/2020,91299,4653
12/16/2020,94031,2732
12/17/2020,103047,9016
12/18/2020,113846,10799
12/19/2020,125429,11583
12/2/2020,136901,11472
12/20/2020,146775,9874
12/21/2020,153181,6406
12/22/2020,155924,2743
12/23/2020,162779,6855
12/24/2020,175069,12290
12/25/2020,188660,13591
12/26/2020,202976,14316
12/27/2020,220323,17347
12/28/2020,234261,13938
12/29/2020,241443,7182
12/3/2020,253062,11619
12/30/2020,269973,16911
12/31/2020,285812,15839
12/4/2020,300105,14293
12/7/2020,317494,17389
12/8/2020,328887,11393
12/9/2020,332395,3508
2/1/2021,341796,9401
2/10/2021,356319,14523
2/11/2021,370674,14355
2/12/2021,387487,16813
2/13/2021,402684,15197
2/14/2021,417173,14489
2/15/2021,419680,2507
2/16/2021,431013,11333
2/17/2021,449080,18067
2/18/2021,465687,16607
2/19/2021,482919,17232
2/2/2021,509767,26848
2/20/2021,529508,19741
2/21/2021,533410,3902
2/22/2021,542912,9502
2/23/2021,561085,18173
2/24/2021,580667,19582
2/25/2021,600779,20112
2/26/2021,621596,20817
2/27/2021,637834,16238
2/28/2021,640924,3090
2/3/2021,650512,9588
2/4/2021,670021,19509
2/5/2021,691545,21524
2/6/2021,711442,19897
2/7/2021,738224,26782
2/8/2021,757528,19304
2/9/2021,761732,4204
3/1/2021,776985,15253
3/10/2021,794399,17414
3/11/2021,812893,18494
3/12/2021,832137,19244
3/13/2021,852382,20245
3/14/2021,867208,14826
3/15/2021,872041,4833
3/16/2021,889207,17166
3/17/2021,909034,19827
3/18/2021,932020,22986
3/19/2021,955830,23810
3/2/2021,985598,29768
3/20/2021,1003466,17868
3/21/2021,1010735,7269
3/22/2021,1028765,18030
3/23/2021,1049358,20593
3/24/2021,1073159,23801
3/25/2021,1097190,24031
3/26/2021,1118880,21690
3/27/2021,1137458,18578
3/28/2021,1146576,9118
3/29/2021,1163774,17198
3/3/2021,1182315,18541
3/30/2021,1204735,22420
3/31/2021,1229293,24558
3/4/2021,1252176,22883
3/5/2021,1269343,17167
3/6/2021,1278067,8724
3/7/2021,1298908,20841
3/8/2021,1321154,22246
3/9/2021,1348581,27427
4/1/2021,1378041,29460
4/10/2021,1402567,24526
4/11/2021,1416821,14254
4/12/2021,1423486,6665
4/13/2021,1448119,24633
4/14/2021,1476602,28483
4/15/2021,1509299,32697
4/16/2021,1543841,34542
4/17/2021,1573106,29265
4/18/2021,1592319,19213
4/19/2021,1602437,10118
4/2/2021,1624010,21573
4/20/2021,1644058,20048
4/21/2021,1666274,22216
4/22/2021,1690079,23805
4/23/2021,1712914,22835
4/24/2021,1728763,15849
4/25/2021,1737132,8369
4/26/2021,1757737,20605
4/27/2021,1778751,21014
4/28/2021,1804705,25954
4/29/2021,1830105,25400
4/3/2021,1852613,22508
4/30/2021,1866972,14359
4/4/2021,1874937,7965
4/5/2021,1894899,19962
4/6/2021,1915411,20512
4/7/2021,1937893,22482
4/8/2021,1958108,20215
4/9/2021,1980802,22694
5/1/2021,1994801,13999
5/10/2021,2002670,7869
5/11/2021,2017705,15035
5/12/2021,2036370,18665
5/13/2021,2053866,17496
5/14/2021,2071807,17941
5/15/2021,2090229,18422
5/16/2021,2103043,12814
5/17/2021,2107953,4910
5/18/2021,2121803,13850
5/19/2021,2136718,14915
5/2/2021,2153588,16870
5/20/2021,2174111,20523
5/21/2021,2193384,19273
5/22/2021,2207260,13876
5/23/2021,2216003,8743
5/24/2021,2233811,17808
5/25/2021,2250399,16588
5/26/2021,2272433,22034
5/27/2021,2290013,17580
5/28/2021,2309471,19458
5/29/2021,2324038,14567
5/3/2021,2331075,7037
5/30/2021,2345359,14284
5/31/2021,2358252,12893
5/4/2021,2370825,12573
5/5/2021,2383054,12229
5/6/2021,2396181,13127
5/7/2021,2404100,7919
5/8/2021,2409040,4940
5/9/2021,2411572,2532
6/1/2021,2424078,12506
6/10/2021,2434653,10575
6/11/2021,2447624,12971
6/12/2021,2461647,14023
6/13/2021,2471954,10307
6/14/2021,2478292,6338
6/15/2021,2490120,11828
6/16/2021,2501049,10929
6/17/2021,2511220,10171
6/18/2021,2523212,11992
6/19/2021,2538848,15636
6/2/2021,2549159,10311
6/20/2021,2554170,5011
6/21/2021,2565017,10847
6/22/2021,2575011,9994
6/23/2021,2584369,9358
6/24/2021,2593309,8940
6/25/2021,2604515,11206
6/26/2021,2611043,6528
6/27/2021,2614795,3752
6/28/2021,2621681,6886
6/29/2021,2629557,7876
6/3/2021,2637137,7580
6/30/2021,2644385,7248
6/4/2021,2653599,9214
6/5/2021,2660034,6435
6/6/2021,2662640,2606
6/7/2021,2668198,5558
6/8/2021,2675488,7290
6/9/2021,2681939,6451
7/1/2021,2688137,6198
7/10/2021,2694712,6575
7/11/2021,2698633,3921
7/12/2021,2699463,830
7/13/2021,2704192,4729
7/14/2021,2710893,6701
7/15/2021,2717547,6654
7/16/2021,2723943,6396
7/17/2021,2733721,9778
7/18/2021,2739135,5414
7/19/2021,2741913,2778
7/2/2021,2747350,5437
7/20/2021,2752769,5419
7/21/2021,2757765,4996
7/22/2021,2762531,4766
7/23/2021,2769311,6780
7/24/2021,2773957,4646
7/25/2021,2776675,2718
7/26/2021,2782955,6280
7/27/2021,2789421,6466
7/28/2021,2795561,6140
7/29/2021,2801925,6364
7/3/2021,2810644,8719
7/30/2021,2816226,5582
7/31/2021,2819845,3619
7/4/2021,2826764,6919
7/5/2021,2835090,8326
7/6/2021,2841961,6871
7/7/2021,2848898,6937
7/8/2021,2860733,11835
7/9/2021,2868976,8243
8/1/2021,2872167,3191
8/2/2021,2878594,6427
8/3/2021,2885116,6522
8/4/2021,2890974,5858
8/5/2021,2896536,5562
8/6/2021,2899486,2950
