Category,La Paz
Total_doses_administered,17404
Total_people_one_dose,9567
Total_people_complete,8553
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3114
Male-55-64 years,685
Male-45-54 years,313
Male-20-44 years,506
Male-Less than 20 years,131
Female-65 years and older,3016
Female-55-64 years,842
Female-45-54 years,347
Female-20-44 years,456
Female-Less than 20 years,137
"Black or African American, non-Hispanic",27
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",183
Hispanic or Latino,982
Other Race,1089
Unknown,2620
"White, non-Hispanic",4596
