date,Mohave_cume,Mohave
1/1/2021,54,
1/10/2021,287,233
1/11/2021,443,156
1/12/2021,623,180
1/13/2021,684,61
1/14/2021,1013,329
1/15/2021,1431,418
1/16/2021,1797,366
1/17/2021,2098,301
1/18/2021,2144,46
1/19/2021,2193,49
1/2/2021,2223,30
1/20/2021,2461,238
1/21/2021,2612,151
1/22/2021,2949,337
1/23/2021,3245,296
1/24/2021,3572,327
1/25/2021,3649,77
1/26/2021,3702,53
1/27/2021,3934,232
1/28/2021,4258,324
1/29/2021,4615,357
1/3/2021,5054,439
1/30/2021,5634,580
1/31/2021,5789,155
1/4/2021,5829,40
1/5/2021,6213,384
1/6/2021,6548,335
1/7/2021,7193,645
1/8/2021,7658,465
1/9/2021,8202,544
12/22/2020,9008,806
12/23/2020,9715,707
12/24/2020,10415,700
12/26/2020,11174,759
12/27/2020,12140,966
12/28/2020,13176,1036
12/29/2020,13876,700
12/30/2020,14559,683
12/31/2020,15130,571
2/1/2021,15811,681
2/10/2021,16452,641
2/11/2021,17840,1388
2/12/2021,18649,809
2/13/2021,19438,789
2/14/2021,19756,318
2/15/2021,19906,150
2/16/2021,20355,449
2/17/2021,20832,477
2/18/2021,21906,1074
2/19/2021,22587,681
2/2/2021,23713,1126
2/20/2021,24239,526
2/21/2021,24369,130
2/22/2021,24991,622
2/23/2021,25586,595
2/24/2021,26147,561
2/25/2021,26551,404
2/26/2021,27072,521
2/27/2021,27236,164
2/28/2021,27294,58
2/3/2021,27671,377
2/4/2021,27932,261
2/5/2021,28810,878
2/6/2021,30060,1250
2/7/2021,31237,1177
2/8/2021,32207,970
2/9/2021,33130,923
3/1/2021,34115,985
3/10/2021,35157,1042
3/11/2021,37768,2611
3/12/2021,39487,1719
3/13/2021,41182,1695
3/14/2021,42122,940
3/15/2021,42613,491
3/16/2021,43542,929
3/17/2021,44644,1102
3/18/2021,46803,2159
3/19/2021,48538,1735
3/2/2021,50237,1699
3/20/2021,51127,890
3/21/2021,51514,387
3/22/2021,52430,916
3/23/2021,53525,1095
3/24/2021,55434,1909
3/25/2021,56892,1458
3/26/2021,58192,1300
3/27/2021,59441,1249
3/28/2021,60052,611
3/29/2021,61488,1436
3/3/2021,62862,1374
3/30/2021,64530,1668
3/31/2021,66086,1556
3/4/2021,67785,1699
3/5/2021,68924,1139
3/6/2021,70113,1189
3/7/2021,71791,1678
3/8/2021,73445,1654
3/9/2021,75979,2534
4/1/2021,77869,1890
4/10/2021,79549,1680
4/11/2021,80357,808
4/12/2021,80670,313
4/13/2021,82055,1385
4/14/2021,83573,1518
4/15/2021,85342,1769
4/16/2021,86967,1625
4/17/2021,88740,1773
4/18/2021,89755,1015
4/19/2021,90261,506
4/2/2021,92696,2435
4/20/2021,93951,1255
4/21/2021,95898,1947
4/22/2021,97925,2027
4/23/2021,99331,1406
4/24/2021,100311,980
4/25/2021,100822,511
4/26/2021,101966,1144
4/27/2021,103261,1295
4/28/2021,104709,1448
4/29/2021,106050,1341
4/3/2021,107402,1352
4/30/2021,108273,871
4/4/2021,108627,354
4/5/2021,109969,1342
4/6/2021,111427,1458
4/7/2021,112783,1356
4/8/2021,114028,1245
4/9/2021,115319,1291
5/1/2021,115815,496
5/10/2021,116083,268
5/11/2021,117027,944
5/12/2021,118009,982
5/13/2021,119063,1054
5/14/2021,119939,876
5/15/2021,120892,953
5/16/2021,121462,570
5/17/2021,121623,161
5/18/2021,122284,661
5/19/2021,122931,647
5/2/2021,123517,586
5/20/2021,124710,1193
5/21/2021,125450,740
5/22/2021,125904,454
5/23/2021,126112,208
5/24/2021,127953,1841
5/25/2021,128632,679
5/26/2021,129296,664
5/27/2021,129982,686
5/28/2021,130708,726
5/29/2021,131082,374
5/3/2021,131205,123
5/30/2021,131703,498
5/31/2021,132201,498
5/4/2021,132583,382
5/5/2021,132995,412
5/6/2021,133570,575
5/7/2021,133724,154
