date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,21190,22641,20567,17917,11792,211
1/10/2021,34947,34748,32634,29526,28365,499
1/11/2021,36887,36560,34582,31190,32090,560
1/12/2021,39709,39244,37366,33699,39586,678
1/13/2021,42499,42159,40443,36398,48288,774
1/14/2021,45280,45198,43667,39385,57587,847
1/15/2021,48783,48433,47025,42493,66654,973
1/16/2021,50592,50012,48693,44101,72003,1021
1/17/2021,51707,51032,49768,45189,75442,1065
1/18/2021,53362,52570,51506,46919,83192,1114
1/19/2021,55408,54450,53533,49096,93209,1215
1/2/2021,23107,24334,22099,19327,12792,244
1/20/2021,57831,56961,56455,52027,105397,1346
1/21/2021,60546,59832,59789,55495,121034,1500
1/22/2021,65067,63980,64404,60352,136637,1675
1/23/2021,68383,66749,67504,63518,147119,1831
1/24/2021,69925,68141,69025,65203,154744,1886
1/25/2021,72329,70289,71628,68140,168307,1972
1/26/2021,75271,72808,74534,71390,185517,2090
1/27/2021,78403,75424,77474,74751,204381,2196
1/28/2021,81453,78005,80439,78398,225582,2347
1/29/2021,85326,81130,83798,82160,245462,2568
1/3/2021,24010,25075,22745,19873,13128,266
1/30/2021,88155,83266,86129,84630,256852,2758
1/31/2021,89064,84006,86996,85661,262804,2807
1/4/2021,25745,26710,24333,21346,14971,292
1/5/2021,27542,28348,25907,22898,17050,329
1/6/2021,29759,30296,27939,24914,20068,398
1/7/2021,31576,31919,29710,26696,23365,436
1/8/2021,33307,33475,31372,28344,25749,465
1/9/2021,34409,34307,32215,29135,27912,492
12/1/2020,31,21,25,17,28,1
12/10/2020,43,29,38,35,49,2
12/11/2020,43,32,40,40,51,2
12/12/2020,44,32,42,43,52,2
12/13/2020,45,33,44,44,54,2
12/14/2020,46,37,47,45,61,2
12/15/2020,55,48,60,58,69,2
12/16/2020,163,195,219,179,125,2
12/17/2020,792,1026,1011,831,374,9
12/18/2020,1653,2029,1849,1483,663,10
12/19/2020,2276,2744,2424,1917,860,15
12/2/2020,34,22,27,21,33,2
12/20/2020,2488,3007,2677,2128,953,17
12/21/2020,3858,4427,3934,3097,1424,26
12/22/2020,5721,6467,5738,4530,2052,35
12/23/2020,7993,9025,7971,6344,2935,53
12/24/2020,8965,9992,8781,7079,3283,56
12/25/2020,9003,10026,8808,7104,3299,56
12/26/2020,10530,11752,10236,8372,3841,70
12/27/2020,11155,12407,10839,8879,4087,81
12/28/2020,13307,14575,12833,10722,5298,106
12/29/2020,16175,17510,15554,13233,7427,154
12/3/2020,37,22,30,23,36,2
12/30/2020,19345,20839,18762,16203,9707,186
12/31/2020,21050,22502,20403,17733,11078,205
12/4/2020,37,22,32,26,37,2
12/5/2020,38,22,32,26,38,2
12/6/2020,39,22,32,27,38,2
12/7/2020,39,24,36,28,39,2
12/8/2020,40,25,36,31,40,2
12/9/2020,41,25,37,33,45,2
2/1/2021,90902,85681,88759,87936,278301,2926
2/10/2021,110463,101557,106856,111636,441546,4886
2/11/2021,113188,103769,109147,114835,464162,5265
2/12/2021,116474,106466,111987,118541,491313,5598
2/13/2021,120142,109297,114970,121922,510634,6017
2/14/2021,121070,110005,115882,123084,517996,6069
2/15/2021,122231,110982,116953,124525,532229,6138
2/16/2021,124130,112316,118452,126575,548912,6302
2/17/2021,126547,114166,120271,128862,565529,6951
2/18/2021,128022,115379,121540,130604,581602,7078
2/19/2021,129957,116880,123057,132540,593554,7508
2/2/2021,92990,87515,90795,90601,296344,3036
2/20/2021,132734,118869,125019,134719,603367,7872
2/21/2021,133414,119501,125691,135538,609244,7931
2/22/2021,134428,120295,126477,136586,617022,8036
2/23/2021,136139,121557,127932,138535,628876,8219
2/24/2021,138440,123386,129832,141210,645763,8459
2/25/2021,140556,125121,131647,143771,664734,9006
2/26/2021,143264,127289,133858,146998,682961,9293
2/27/2021,145307,128973,135584,149453,695151,9534
2/28/2021,146124,129599,136394,151030,702918,9604
2/3/2021,95423,89580,93069,93540,317083,3201
2/4/2021,97926,91623,95608,96730,336867,3385
2/5/2021,100652,93915,98145,100019,354355,3550
2/6/2021,103388,95969,100629,103068,370914,4234
2/7/2021,104063,96573,101261,103880,378828,4278
2/8/2021,105915,98036,102911,106107,396461,4443
2/9/2021,107843,99666,104694,108686,416458,4615
3/1/2021,147615,130809,137788,153285,714067,9815
3/10/2021,166986,145450,154159,236952,817497,12318
3/11/2021,170673,148323,157224,252185,831808,12658
3/12/2021,174421,151007,160361,265846,844322,12986
3/13/2021,176917,152981,162700,277133,851560,13237
3/14/2021,178692,154431,164269,285479,856400,13382
3/15/2021,181227,156492,166789,298729,865128,13648
3/16/2021,185104,159453,170312,312009,874913,14092
3/17/2021,190513,163517,174967,327195,887225,14599
3/18/2021,195588,167524,179827,341671,898698,15040
3/19/2021,201760,172093,184998,355359,908517,15666
3/2/2021,149545,132234,139365,156542,726971,10110
3/20/2021,206080,175510,189277,364800,915687,16078
3/21/2021,209310,178310,192480,371305,919392,16452
3/22/2021,214608,182658,197375,380109,926360,17089
3/23/2021,221613,188042,203237,389864,933421,18045
3/24/2021,231822,195875,211772,399351,940721,20066
3/25/2021,243588,204695,221362,408676,948153,22282
3/26/2021,254118,212630,230036,416954,953866,24579
3/27/2021,262565,219177,236987,421915,956861,27036
3/28/2021,269249,224196,242461,424527,958537,29102
3/29/2021,280777,232532,251803,428707,961697,31984
3/3/2021,151481,133727,141126,161843,741986,10422
3/30/2021,293290,241407,261704,433783,965685,35130
3/31/2021,306862,250915,273005,439774,970507,38838
3/4/2021,153533,135401,142942,172183,755890,10720
3/5/2021,156516,137551,145252,183799,768061,11102
3/6/2021,158389,138887,146733,192600,776557,11428
3/7/2021,159623,139831,147765,199617,781955,11526
3/8/2021,161425,141173,149293,211169,792706,11702
3/9/2021,163994,143242,151603,223270,804391,11953
4/1/2021,319652,259795,283902,445226,975449,42217
4/10/2021,404524,315009,345951,486531,1009636,64425
4/11/2021,409137,317847,349055,488520,1011083,66162
4/12/2021,416879,322745,354819,492863,1014984,68020
4/13/2021,423496,326691,359246,496250,1017913,69717
4/14/2021,430908,331146,363908,499464,1020601,71525
4/15/2021,438947,336621,369072,503064,1023450,73186
4/16/2021,445943,341197,373843,506423,1026077,74833
4/17/2021,450621,344407,377489,508876,1027984,76389
4/18/2021,453232,345981,379285,510083,1028847,77387
4/19/2021,458330,349316,382797,512937,1031314,78813
4/2/2021,330480,267330,292610,449904,979184,45316
4/20/2021,463202,352393,386214,515502,1033666,80145
4/21/2021,469526,356495,390363,518583,1036302,81688
4/22/2021,475543,360383,394246,521513,1038769,83086
4/23/2021,481512,364389,398249,524532,1041023,84761
4/24/2021,485204,366697,400790,526456,1042507,86348
4/25/2021,487594,368100,402284,527457,1043198,87387
4/26/2021,491941,370955,405295,529848,1045199,88851
4/27/2021,496581,373896,408469,532379,1047389,90079
4/28/2021,501495,376749,411678,534975,1049834,91399
4/29/2021,506116,379485,414579,537414,1052185,92514
4/3/2021,337684,272215,298332,452932,981368,47615
4/30/2021,511168,382458,417941,540188,1054554,93875
4/4/2021,341401,274297,300782,454144,982178,48750
4/5/2021,350627,280092,307472,458979,986366,51233
4/6/2021,361066,286626,315246,464683,991658,53896
4/7/2021,373328,295161,324068,470687,996748,56590
4/8/2021,384828,302682,332280,476904,1002175,59096
4/9/2021,396328,309756,340288,482762,1006874,61963
5/1/2021,514086,384199,419916,541807,1055594,94850
5/10/2021,540320,399326,435663,555181,1067359,102293
5/11/2021,543253,400894,437354,556664,1068766,103198
5/12/2021,546283,402638,439149,558144,1070178,104705
5/13/2021,549621,404578,441090,559674,1071481,112478
5/14/2021,553513,406925,443415,561452,1072961,120676
5/15/2021,556170,408604,445121,562791,1073772,130492
5/16/2021,558052,409664,446180,563566,1074286,135041
5/17/2021,561582,411664,448358,565234,1075768,140050
5/18/2021,564932,413610,450253,566828,1077238,144272
5/19/2021,568510,415606,452338,568527,1078701,149811
5/2/2021,516072,385399,421114,542703,1056205,95546
5/20/2021,571712,417503,454180,570031,1080005,154062
5/21/2021,575292,419658,456326,571641,1081226,160274
5/22/2021,578052,421245,458000,572805,1081942,166414
5/23/2021,579676,422168,458853,573436,1082314,168603
5/24/2021,582420,423709,460372,574703,1083372,171850
5/25/2021,584944,425225,461860,575922,1084353,174680
5/26/2021,587721,426730,463287,576992,1085290,177845
5/27/2021,590215,428141,464646,578085,1086169,180988
5/28/2021,592965,429745,466237,579319,1087096,184471
5/29/2021,594676,430708,467262,580070,1087552,186509
5/3/2021,519166,387091,422968,544364,1057767,96362
5/30/2021,595745,431337,467850,580512,1087767,187555
5/31/2021,596258,431652,468141,580734,1087923,188022
5/4/2021,523045,389273,425279,546372,1059730,97304
5/5/2021,526830,391489,427542,548222,1061396,98256
5/6/2021,530560,393629,429714,550090,1063131,99260
5/7/2021,534105,395812,431947,551987,1064783,100361
5/8/2021,536434,397163,433440,553220,1065639,101188
5/9/2021,537846,397964,434280,553895,1066071,101667
