Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7216369,32755,151023,120991,21736,8771,52625,17732,3057365,156312,76987,315901,948825,69803,190575,213984
Total_people_complete,3483917,12016,74465,59601,10663,4308,25780,8694,1501313,74061,36872,159073,472090,35076,91422,102642
Total_doses_ordered,5297970,16600,97448,90250,19640,10440,37330,19050,1616078,129340,41410,198708,617632,49212,169790,145058
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,3972698,18441,83138,68165,12223,5052,29315,9770,1750474,90025,43400,181424,534453,39155,109408,121999
Male-65 years and older,519473,1941,7773,10742,1664,559,5903,3141,181681,21633,6921,29989,73095,3602,24024,15966
Male-55-64 years,299424,1282,6059,5184,1003,609,2642,693,127705,8485,3590,13845,36912,2623,8551,8911
Male-45-54 years,260947,1008,5450,3796,890,507,1632,327,126897,4366,2534,12891,31923,3043,4979,7871
Male-20-44 years,617543,2451,16488,9760,2063,1067,3200,538,294739,7298,5352,29815,78450,7727,9698,22762
Male-Less than 20 years,161917,2480,3179,2687,413,93,749,149,81106,1285,3056,5786,21087,2511,2024,5244
Female-65 years and older,640583,2046,8867,12712,2101,530,6251,3048,235365,24122,7603,34395,96322,4373,29984,18064
Female-55-64 years,344701,1403,6777,6268,1149,423,2939,855,147194,9869,3857,14766,45576,2667,10930,9360
Female-45-54 years,286036,1000,5595,4352,795,380,1722,356,140790,4623,2556,11598,37620,2900,5802,8113
Female-20-44 years,652329,2251,18968,9809,1673,797,3322,476,319751,6775,4715,21907,90213,7100,9850,19742
Female-Less than 20 years,170273,2569,3899,2763,461,84,893,165,83441,1412,3182,5839,22311,2540,2254,5594
"Black or African American, non-Hispanic",108385,281,604,1272,72,47,97,30,67548,626,224,5187,10423,35,577,679
"American Indian or Alaska Native, non-Hispanic",117222,10713,17347,321,1019,91,5881,211,36829,922,15526,8709,11135,18,1088,1598
"Asian or Pacific Islander, non-Hispanic",149440,165,1248,1308,63,50,260,73,81637,1297,415,3260,13510,98,1428,739
Unknown,428637,1007,16985,9136,3888,450,5455,2650,172580,15235,2191,36596,84166,2340,27432,33561
Other Race,669467,1237,9637,10359,931,141,4864,1117,268443,15986,8297,19428,67760,2034,16748,10753
Hispanic or Latino,669706,1827,5872,16568,2021,2198,1337,1035,319910,6387,2257,28824,126561,29809,6879,52758
"White, non-Hispanic",1829841,3211,31445,29201,4229,2075,11421,4654,803527,49572,14490,79420,220898,4821,55256,21911
