date,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2021-08-22 00:00:00,14,3,0.2142857142857143,,,
2021-08-21 00:00:00,36,3,0.0833333333333333,,,
2021-08-20 00:00:00,190,10,0.0526315789473684,1.0,0.0,0
2021-08-19 00:00:00,222,11,0.0495495495495496,,,
2021-08-18 00:00:00,212,10,0.0471698113207547,9.0,8.0,0.8888888888888888
2021-08-17 00:00:00,203,3,0.0147783251231527,7.0,5.0,0.7142857142857144
2021-08-16 00:00:00,286,12,0.041958041958042,13.0,11.0,0.8461538461538462
2021-08-15 00:00:00,62,3,0.0483870967741936,3.0,2.0,0.6666666666666666
2021-08-14 00:00:00,64,1,0.015625,,,
2021-08-13 00:00:00,180,12,0.0666666666666667,7.0,2.0,0.2857142857142857
2021-08-12 00:00:00,248,10,0.0403225806451613,1.0,1.0,1
2021-08-11 00:00:00,211,14,0.0663507109004739,12.0,7.0,0.5833333333333334
2021-08-10 00:00:00,202,7,0.0346534653465347,14.0,11.0,0.7857142857142858
2021-08-09 00:00:00,257,10,0.0389105058365759,30.0,22.0,0.7333333333333334
2021-08-08 00:00:00,55,4,0.0727272727272727,,,
2021-08-07 00:00:00,68,3,0.0441176470588235,,,
2021-08-06 00:00:00,106,7,0.0660377358490566,3.0,3.0,1
2021-08-05 00:00:00,99,5,0.0505050505050505,,,
2021-08-04 00:00:00,101,6,0.0594059405940594,3.0,3.0,1
2021-08-03 00:00:00,95,5,0.0526315789473684,1.0,0.0,0
2021-08-02 00:00:00,122,11,0.0901639344262295,1.0,1.0,1
2021-08-01 00:00:00,44,2,0.0454545454545455,,,
2021-07-31 00:00:00,59,3,0.0508474576271187,,,
2021-07-30 00:00:00,79,4,0.0506329113924051,2.0,0.0,0
2021-07-29 00:00:00,91,12,0.1318681318681319,2.0,2.0,1
2021-07-28 00:00:00,92,13,0.141304347826087,7.0,3.0,0.4285714285714286
2021-07-27 00:00:00,95,8,0.0842105263157895,5.0,4.0,0.8
2021-07-26 00:00:00,97,3,0.0309278350515464,4.0,3.0,0.75
2021-07-25 00:00:00,15,3,0.2,,,
2021-07-24 00:00:00,35,2,0.0571428571428571,2.0,0.0,0
2021-07-23 00:00:00,49,6,0.1224489795918367,,,
2021-07-22 00:00:00,96,7,0.0729166666666667,24.0,20.0,0.8333333333333334
2021-07-21 00:00:00,78,6,0.0769230769230769,1.0,1.0,1
2021-07-20 00:00:00,56,4,0.0714285714285714,1.0,1.0,1
2021-07-19 00:00:00,60,4,0.0666666666666667,,,
2021-07-18 00:00:00,14,0,0,,,
2021-07-17 00:00:00,17,3,0.1764705882352941,,,
2021-07-16 00:00:00,50,3,0.06,,,
2021-07-15 00:00:00,102,4,0.0392156862745098,30.0,28.0,0.9333333333333334
2021-07-14 00:00:00,80,2,0.025,3.0,2.0,0.6666666666666666
2021-07-13 00:00:00,62,4,0.0645161290322581,2.0,1.0,0.5
2021-07-12 00:00:00,82,9,0.1097560975609756,3.0,2.0,0.6666666666666666
2021-07-11 00:00:00,15,1,0.0666666666666667,,,
2021-07-10 00:00:00,19,4,0.2105263157894737,,,
