date,pcr_tests,pcr_pos_test,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_pos_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_pos_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_pos_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_pos_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_pos_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_pos_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-08-28 00:00:00,43,6,0.1395348837209302,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,21.0,3.0,0.1428571428571429,,,,,,,,,,2.0,0.0,0.0,,,,14.0,3.0,0.2142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,2.0,0.0,0.0,,,
2021-08-27 00:00:00,5300,483,0.0911320754716981,491.0,224.0,0.4562118126272914,54.0,3.0,0.0555555555555556,1.0,0.0,0.0,191.0,17.0,0.0890052356020942,7.0,6.0,0.8571428571428572,165.0,20.0,0.1212121212121212,12.0,2.0,0.1666666666666667,9.0,1.0,0.1111111111111111,,,,244.0,27.0,0.110655737704918,29.0,12.0,0.4137931034482759,967.0,70.0,0.0723888314374354,18.0,5.0,0.2777777777777778,100.0,24.0,0.24,3.0,2.0,0.6666666666666666,145.0,25.0,0.1724137931034483,13.0,1.0,0.0769230769230769,3063.0,260.0,0.0848841005550114,387.0,189.0,0.4883720930232558,7.0,0.0,0.0,,,,,,,,,,12.0,4.0,0.3333333333333333,,,,31.0,5.0,0.1612903225806452,12.0,7.0,0.5833333333333334,98.0,7.0,0.0714285714285714,5.0,0.0,0.0,72.0,4.0,0.0555555555555556,3.0,0.0,0.0
2021-08-26 00:00:00,14030,1507,0.1074126870990734,943.0,544.0,0.5768822905620362,305.0,2.0,0.0065573770491803,1.0,1.0,1.0,297.0,25.0,0.0841750841750842,9.0,5.0,0.5555555555555556,335.0,43.0,0.1283582089552239,29.0,14.0,0.4827586206896552,34.0,3.0,0.0882352941176471,2.0,0.0,0.0,831.0,117.0,0.1407942238267148,59.0,30.0,0.5084745762711864,1686.0,140.0,0.0830367734282325,65.0,35.0,0.5384615384615384,180.0,19.0,0.1055555555555556,4.0,0.0,0.0,272.0,60.0,0.2205882352941177,43.0,23.0,0.5348837209302326,8972.0,1012.0,0.1127953633526527,684.0,409.0,0.597953216374269,18.0,1.0,0.0555555555555556,,,,,,,,,,56.0,11.0,0.1964285714285714,,,,94.0,13.0,0.1382978723404255,5.0,3.0,0.6,186.0,12.0,0.0645161290322581,6.0,5.0,0.8333333333333334,254.0,13.0,0.0511811023622047,28.0,14.0,0.5
2021-08-25 00:00:00,17873,1985,0.1110613774967829,1089.0,620.0,0.5693296602387512,120.0,6.0,0.05,,,,436.0,30.0,0.0688073394495413,16.0,12.0,0.75,378.0,70.0,0.1851851851851852,26.0,13.0,0.5,131.0,7.0,0.0534351145038168,5.0,5.0,1.0,946.0,159.0,0.1680761099365751,73.0,35.0,0.4794520547945206,2811.0,220.0,0.0782639630024902,70.0,34.0,0.4857142857142858,321.0,27.0,0.0841121495327103,7.0,5.0,0.7142857142857144,290.0,58.0,0.2,40.0,13.0,0.325,10952.0,1268.0,0.1157779401022644,782.0,461.0,0.5895140664961638,26.0,1.0,0.0384615384615385,,,,4.0,1.0,0.25,,,,87.0,13.0,0.1494252873563219,1.0,1.0,1.0,114.0,10.0,0.087719298245614,20.0,12.0,0.6,374.0,31.0,0.0828877005347594,7.0,2.0,0.2857142857142857,405.0,29.0,0.0716049382716049,30.0,19.0,0.6333333333333334
2021-08-24 00:00:00,19230,1948,0.1013000520020801,1123.0,610.0,0.5431878895814782,136.0,21.0,0.1544117647058824,1.0,1.0,1.0,478.0,36.0,0.0753138075313808,7.0,5.0,0.7142857142857144,442.0,57.0,0.1289592760180996,22.0,15.0,0.6818181818181818,132.0,10.0,0.0757575757575758,2.0,2.0,1.0,907.0,148.0,0.1631753031973539,69.0,34.0,0.4927536231884058,3192.0,216.0,0.0676691729323308,67.0,38.0,0.5671641791044776,329.0,39.0,0.1185410334346505,9.0,6.0,0.6666666666666666,350.0,64.0,0.1828571428571429,45.0,15.0,0.3333333333333333,11879.0,1255.0,0.105648623621517,852.0,470.0,0.551643192488263,21.0,3.0,0.1428571428571429,,,,10.0,0.0,0.0,,,,101.0,14.0,0.1386138613861386,1.0,0.0,0.0,119.0,14.0,0.1176470588235294,7.0,4.0,0.5714285714285714,509.0,28.0,0.0550098231827112,5.0,4.0,0.8,305.0,14.0,0.0459016393442623,18.0,7.0,0.3888888888888889
2021-08-23 00:00:00,20660,2201,0.1065343659244918,1085.0,572.0,0.527188940092166,186.0,23.0,0.1236559139784946,1.0,0.0,0.0,487.0,50.0,0.1026694045174538,14.0,10.0,0.7142857142857144,490.0,75.0,0.1530612244897959,18.0,11.0,0.6111111111111112,172.0,9.0,0.0523255813953488,15.0,14.0,0.9333333333333332,1250.0,197.0,0.1576,86.0,39.0,0.4534883720930232,2980.0,232.0,0.0778523489932886,77.0,35.0,0.4545454545454546,413.0,40.0,0.0968523002421308,7.0,5.0,0.7142857142857144,373.0,62.0,0.1662198391420912,49.0,13.0,0.2653061224489796,12732.0,1359.0,0.1067389255419416,751.0,405.0,0.5392809587217045,32.0,1.0,0.03125,1.0,0.0,0.0,1.0,0.0,0.0,,,,102.0,22.0,0.2156862745098039,1.0,1.0,1.0,166.0,29.0,0.1746987951807229,20.0,17.0,0.85,502.0,36.0,0.0717131474103586,9.0,6.0,0.6666666666666666,363.0,41.0,0.1129476584022039,23.0,12.0,0.5217391304347826
2021-08-22 00:00:00,9773,1176,0.1203315256318428,250.0,133.0,0.532,46.0,7.0,0.1521739130434783,,,,149.0,14.0,0.0939597315436242,,,,224.0,42.0,0.1875,1.0,1.0,1.0,29.0,3.0,0.103448275862069,,,,612.0,101.0,0.1650326797385621,20.0,11.0,0.55,1271.0,106.0,0.0833988985051141,10.0,5.0,0.5,106.0,11.0,0.1037735849056604,1.0,0.0,0.0,163.0,24.0,0.147239263803681,23.0,7.0,0.3043478260869566,6656.0,816.0,0.1225961538461539,185.0,105.0,0.5675675675675677,4.0,0.0,0.0,,,,1.0,1.0,1.0,,,,5.0,1.0,0.2,,,,26.0,5.0,0.1923076923076923,,,,118.0,16.0,0.1355932203389831,,,,89.0,6.0,0.0674157303370787,7.0,4.0,0.5714285714285714
2021-08-21 00:00:00,11443,1330,0.1162282618194529,396.0,190.0,0.4797979797979798,47.0,4.0,0.0851063829787234,1.0,1.0,1.0,191.0,23.0,0.1204188481675393,,,,273.0,45.0,0.1648351648351648,2.0,0.0,0.0,38.0,2.0,0.0526315789473684,1.0,1.0,1.0,750.0,120.0,0.16,37.0,10.0,0.2702702702702703,1347.0,116.0,0.0861172976985895,13.0,8.0,0.6153846153846154,115.0,18.0,0.1565217391304348,,,,174.0,36.0,0.2068965517241379,19.0,5.0,0.2631578947368421,7869.0,909.0,0.1155165840640488,290.0,149.0,0.513793103448276,10.0,1.0,0.1,,,,,,,,,,7.0,2.0,0.2857142857142857,,,,28.0,4.0,0.1428571428571429,4.0,3.0,0.75,170.0,12.0,0.0705882352941177,1.0,1.0,1.0,136.0,8.0,0.0588235294117647,22.0,8.0,0.3636363636363637
2021-08-20 00:00:00,18936,2010,0.1061470215462611,1020.0,564.0,0.5529411764705884,102.0,9.0,0.0882352941176471,1.0,0.0,0.0,513.0,45.0,0.087719298245614,13.0,7.0,0.5384615384615384,397.0,57.0,0.1435768261964736,29.0,13.0,0.4482758620689655,117.0,7.0,0.0598290598290598,1.0,0.0,0.0,1191.0,165.0,0.1385390428211587,70.0,36.0,0.5142857142857142,2742.0,223.0,0.0813274981765135,75.0,46.0,0.6133333333333334,265.0,24.0,0.0905660377358491,5.0,1.0,0.2,345.0,53.0,0.1536231884057971,61.0,20.0,0.3278688524590164,11386.0,1276.0,0.1120674512559283,715.0,410.0,0.5734265734265734,27.0,0.0,0.0,1.0,0.0,0.0,,,,,,,139.0,15.0,0.1079136690647482,,,,167.0,17.0,0.1017964071856287,11.0,6.0,0.5454545454545454,317.0,28.0,0.0883280757097792,6.0,4.0,0.6666666666666666,443.0,32.0,0.072234762979684,19.0,16.0,0.8421052631578948
2021-08-19 00:00:00,19773,2083,0.1053456733930107,957.0,534.0,0.5579937304075236,127.0,16.0,0.1259842519685039,,,,543.0,51.0,0.0939226519337017,10.0,8.0,0.8,481.0,66.0,0.1372141372141372,31.0,16.0,0.5161290322580646,154.0,8.0,0.051948051948052,,,,1035.0,154.0,0.148792270531401,69.0,38.0,0.5507246376811594,3087.0,217.0,0.0702947845804989,50.0,32.0,0.64,290.0,43.0,0.1482758620689655,6.0,2.0,0.3333333333333333,365.0,74.0,0.2027397260273973,50.0,19.0,0.38,12248.0,1332.0,0.1087524493794905,702.0,397.0,0.5655270655270656,32.0,1.0,0.03125,1.0,0.0,0.0,4.0,0.0,0.0,,,,57.0,7.0,0.1228070175438597,1.0,1.0,1.0,142.0,10.0,0.0704225352112676,9.0,3.0,0.3333333333333333,261.0,24.0,0.0919540229885058,7.0,5.0,0.7142857142857144,332.0,9.0,0.0271084337349398,9.0,7.0,0.7777777777777778
