date,pcr_tests_PIMA,pcr_pos_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_pos_tests_PIMA,ser_positivity_PIMA
2021-09-03 00:00:00,36,1,0.0277777777777778,,,
2021-09-02 00:00:00,1096,69,0.0629562043795621,14,5,0.3571428571428572
2021-09-01 00:00:00,1953,156,0.0798771121351767,48,24,0.5
2021-08-31 00:00:00,2485,195,0.0784708249496982,59,34,0.576271186440678
2021-08-30 00:00:00,2634,211,0.0801063022019742,54,24,0.4444444444444444
2021-08-29 00:00:00,1204,122,0.1013289036544851,11,3,0.2727272727272727
2021-08-28 00:00:00,1443,123,0.0852390852390853,13,6,0.4615384615384616
2021-08-27 00:00:00,3098,207,0.0668173014848289,91,46,0.5054945054945056
2021-08-26 00:00:00,2498,200,0.0800640512409928,69,36,0.5217391304347826
2021-08-25 00:00:00,2981,223,0.0748071117074807,75,35,0.4666666666666668
2021-08-24 00:00:00,3284,212,0.0645554202192448,70,39,0.5571428571428572
2021-08-23 00:00:00,3037,229,0.0754033585775436,81,37,0.4567901234567902
2021-08-22 00:00:00,1262,105,0.0832012678288431,10,5,0.5
2021-08-21 00:00:00,1342,116,0.0864381520119225,13,8,0.6153846153846154
2021-08-20 00:00:00,2775,220,0.0792792792792793,75,46,0.6133333333333334
2021-08-19 00:00:00,3089,210,0.0679831660731628,52,34,0.653846153846154
2021-08-18 00:00:00,3081,196,0.0636157091853294,75,39,0.52
2021-08-17 00:00:00,3244,223,0.0687422934648582,89,56,0.6292134831460674
2021-08-16 00:00:00,3155,200,0.063391442155309,77,39,0.5064935064935064
2021-08-15 00:00:00,1347,143,0.1061618411284336,8,4,0.5
2021-08-14 00:00:00,1345,143,0.1063197026022305,3,2,0.6666666666666666
2021-08-13 00:00:00,2402,198,0.0824313072439634,53,28,0.5283018867924528
2021-08-12 00:00:00,2190,184,0.0840182648401827,49,29,0.5918367346938777
2021-08-11 00:00:00,2191,184,0.0839799178457325,47,23,0.4893617021276596
2021-08-10 00:00:00,2156,198,0.0918367346938776,58,33,0.5689655172413794
2021-08-09 00:00:00,2241,216,0.0963855421686747,47,23,0.4893617021276596
2021-08-08 00:00:00,983,102,0.103763987792472,9,5,0.5555555555555556
2021-08-07 00:00:00,1012,127,0.1254940711462451,12,5,0.4166666666666667
2021-08-06 00:00:00,1569,169,0.1077119184193754,54,16,0.2962962962962963
2021-08-05 00:00:00,1706,175,0.1025791324736225,51,20,0.3921568627450981
2021-08-04 00:00:00,1665,170,0.1021021021021021,43,10,0.2325581395348837
2021-08-03 00:00:00,1726,191,0.1106604866743917,41,11,0.2682926829268293
2021-08-02 00:00:00,1615,187,0.1157894736842105,47,25,0.5319148936170214
2021-08-01 00:00:00,898,95,0.1057906458797327,8,3,0.375
2021-07-31 00:00:00,926,107,0.1155507559395249,6,2,0.3333333333333333
2021-07-30 00:00:00,1472,124,0.0842391304347826,53,24,0.4528301886792454
2021-07-29 00:00:00,1433,120,0.0837404047452896,44,15,0.3409090909090909
2021-07-28 00:00:00,1264,108,0.0854430379746835,57,29,0.5087719298245614
2021-07-27 00:00:00,1131,107,0.094606542882405,51,25,0.4901960784313726
2021-07-26 00:00:00,1118,91,0.0813953488372093,29,8,0.2758620689655173
2021-07-25 00:00:00,517,61,0.1179883945841393,2,2,1
2021-07-24 00:00:00,451,40,0.0886917960088692,10,2,0.2
2021-07-23 00:00:00,910,83,0.0912087912087912,31,11,0.3548387096774194
2021-07-22 00:00:00,931,68,0.0730397422126746,30,12,0.4
2021-07-21 00:00:00,922,74,0.0802603036876356,31,17,0.5483870967741936
2021-07-20 00:00:00,942,78,0.0828025477707006,26,8,0.3076923076923077
2021-07-19 00:00:00,1012,85,0.0839920948616601,32,13,0.40625
2021-07-18 00:00:00,481,47,0.0977130977130977,4,1,0.25
2021-07-17 00:00:00,489,44,0.0899795501022495,9,3,0.3333333333333333
2021-07-16 00:00:00,906,57,0.0629139072847682,40,10,0.25
2021-07-15 00:00:00,849,46,0.0541813898704358,27,14,0.5185185185185186
2021-07-14 00:00:00,821,60,0.0730816077953715,30,9,0.3
2021-07-13 00:00:00,858,67,0.0780885780885781,44,15,0.3409090909090909
2021-07-12 00:00:00,778,53,0.0681233933161954,39,18,0.4615384615384616
2021-07-11 00:00:00,457,37,0.0809628008752735,4,2,0.5
2021-07-10 00:00:00,460,23,0.05,5,3,0.6
2021-07-09 00:00:00,823,47,0.0571081409477521,35,12,0.3428571428571429
2021-07-08 00:00:00,811,52,0.0641183723797781,42,16,0.380952380952381
2021-07-07 00:00:00,749,40,0.0534045393858478,36,16,0.4444444444444444
2021-07-06 00:00:00,898,57,0.0634743875278396,29,19,0.6551724137931034
2021-07-05 00:00:00,613,28,0.0456769983686786,5,2,0.4
2021-07-04 00:00:00,224,12,0.0535714285714286,2,2,1
2021-07-03 00:00:00,497,30,0.0603621730382294,11,3,0.2727272727272727
2021-07-02 00:00:00,779,35,0.0449293966623877,27,9,0.3333333333333333
2021-07-01 00:00:00,675,27,0.04,33,15,0.4545454545454546
2021-06-30 00:00:00,756,39,0.0515873015873016,40,16,0.4
2021-06-29 00:00:00,763,29,0.0380078636959371,44,21,0.4772727272727274
2021-06-28 00:00:00,895,43,0.0480446927374302,43,18,0.4186046511627907
2021-06-27 00:00:00,433,24,0.0554272517321016,8,0,0
2021-06-26 00:00:00,475,29,0.0610526315789474,6,3,0.5
2021-06-25 00:00:00,750,38,0.0506666666666667,27,9,0.3333333333333333
2021-06-24 00:00:00,757,38,0.0501981505944518,28,8,0.2857142857142857
2021-06-23 00:00:00,787,38,0.048284625158831,45,21,0.4666666666666668
2021-06-22 00:00:00,789,43,0.0544993662864385,37,18,0.4864864864864866
2021-06-21 00:00:00,824,35,0.0424757281553398,39,14,0.358974358974359
2021-06-20 00:00:00,447,25,0.0559284116331096,3,1,0.3333333333333333
2021-06-19 00:00:00,467,15,0.0321199143468951,9,5,0.5555555555555556
