date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,301,387,429,500,328,7
1/10/2021,454,559,639,748,788,12
1/11/2021,471,573,670,787,886,12
1/12/2021,491,597,699,834,1048,12
1/13/2021,509,628,743,878,1212,13
1/14/2021,542,659,792,943,1411,14
1/15/2021,567,704,830,1009,1644,15
1/16/2021,578,721,846,1049,1911,17
1/17/2021,579,724,846,1052,1935,17
1/18/2021,597,742,868,1082,2145,18
1/19/2021,616,759,900,1131,2328,19
1/2/2021,307,396,438,511,341,7
1/20/2021,649,787,924,1197,2601,20
1/21/2021,666,809,946,1231,2750,20
1/22/2021,695,831,975,1277,2992,20
1/23/2021,708,841,985,1296,3588,20
1/24/2021,708,847,994,1302,4120,20
1/25/2021,715,854,1004,1320,4374,21
1/26/2021,729,861,1014,1348,4728,22
1/27/2021,753,880,1040,1399,5141,23
1/28/2021,772,903,1072,1447,5671,23
1/29/2021,788,911,1087,1477,6049,23
1/3/2021,309,397,447,518,348,7
1/30/2021,793,916,1099,1496,6352,23
1/31/2021,796,918,1105,1509,6826,23
1/4/2021,330,425,476,565,410,8
1/5/2021,345,451,497,592,453,8
1/6/2021,385,487,536,656,523,9
1/7/2021,412,515,583,691,636,11
1/8/2021,443,547,623,732,740,12
1/9/2021,449,556,634,743,758,12
12/16/2020,,,1,,,
12/17/2020,,,1,,,
12/18/2020,,,1,1,,
12/19/2020,,,1,1,,
12/20/2020,,,1,1,,
12/21/2020,1,,5,6,2,
12/22/2020,5,12,23,26,9,
12/23/2020,32,55,76,82,40,
12/24/2020,65,90,104,104,55,
12/25/2020,65,90,104,104,55,
12/26/2020,94,132,136,146,73,1
12/27/2020,100,141,150,156,94,2
12/28/2020,146,201,204,223,135,3
12/29/2020,207,271,299,322,190,4
12/30/2020,253,332,367,417,256,6
12/31/2020,299,384,421,490,307,6
2/1/2021,813,938,1123,1562,7227,24
2/10/2021,900,1034,1240,1790,10443,30
2/11/2021,903,1040,1252,1805,10668,31
2/12/2021,928,1066,1277,1846,11041,34
2/13/2021,930,1075,1282,1863,11267,34
2/14/2021,931,1076,1282,1870,11293,34
2/15/2021,941,1086,1300,1888,11451,35
2/16/2021,946,1090,1310,1908,11698,35
2/17/2021,959,1095,1316,1922,11961,35
2/18/2021,968,1109,1331,1940,12139,35
2/19/2021,971,1113,1332,1947,12223,35
2/2/2021,821,954,1140,1586,7630,25
2/20/2021,971,1113,1333,1951,12243,35
2/21/2021,971,1113,1333,1951,12265,35
2/22/2021,974,1114,1337,1959,12354,35
2/23/2021,976,1114,1338,1964,12429,35
2/24/2021,978,1120,1348,1985,12692,35
2/25/2021,983,1124,1361,2004,13014,35
2/26/2021,986,1130,1374,2022,13330,35
2/27/2021,996,1145,1383,2035,13543,35
2/28/2021,1001,1149,1392,2047,13852,35
2/3/2021,839,969,1168,1633,8395,27
2/4/2021,851,984,1188,1667,8810,27
2/5/2021,866,995,1204,1690,9166,28
2/6/2021,871,997,1206,1694,9371,28
2/7/2021,871,1005,1210,1705,9477,28
2/8/2021,871,1008,1213,1720,9636,29
2/9/2021,883,1020,1227,1742,9769,29
3/1/2021,1010,1155,1405,2060,14248,36
3/10/2021,1172,1317,1630,3055,19445,43
3/11/2021,1184,1330,1642,3248,20295,43
3/12/2021,1206,1349,1664,3404,21012,46
3/13/2021,1216,1367,1684,3552,21353,47
3/14/2021,1220,1377,1691,3612,21620,47
3/15/2021,1234,1387,1702,3736,22024,48
3/16/2021,1246,1391,1716,3867,22597,48
3/17/2021,1267,1406,1757,4066,23701,48
3/18/2021,1288,1429,1791,4223,24431,48
3/19/2021,1311,1450,1815,4477,25032,50
3/2/2021,1019,1165,1411,2073,14723,36
3/20/2021,1340,1475,1856,4763,25663,50
