date,Cochise_cume,Cochise
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,62,59
1/13/2021,201,139
1/14/2021,275,74
1/15/2021,311,36
1/16/2021,650,339
1/17/2021,1103,453
1/18/2021,1552,449
1/19/2021,1680,128
1/2/2021,1681,1
1/20/2021,1703,22
1/21/2021,1809,106
1/22/2021,1887,78
1/23/2021,2104,217
1/24/2021,2320,216
1/25/2021,2333,13
1/26/2021,2334,1
1/27/2021,2337,3
1/28/2021,2394,57
1/29/2021,2481,87
1/3/2021,2590,109
1/30/2021,2658,68
1/31/2021,2822,164
1/4/2021,3198,376
1/5/2021,3202,4
1/6/2021,3569,367
1/7/2021,3824,255
1/8/2021,4262,438
1/9/2021,4609,347
12/1/2020,5083,474
12/15/2020,5484,401
12/16/2020,5501,17
12/17/2020,5747,246
12/18/2020,6184,437
12/19/2020,6897,713
12/20/2020,7557,660
12/21/2020,7893,336
12/22/2020,8461,568
12/23/2020,8573,112
12/24/2020,9017,444
12/25/2020,9499,482
12/26/2020,10283,784
12/28/2020,11304,1021
12/29/2020,11996,692
12/30/2020,12017,21
12/31/2020,12031,14
2/1/2021,12325,294
2/10/2021,12545,220
2/11/2021,13106,561
2/12/2021,13521,415
2/13/2021,13998,477
2/14/2021,14165,167
2/15/2021,14176,11
2/16/2021,14710,534
2/17/2021,15543,833
2/18/2021,16929,1386
2/19/2021,18976,2047
2/2/2021,20378,1402
2/20/2021,20722,344
2/21/2021,20735,13
2/22/2021,21148,413
2/23/2021,21836,688
2/24/2021,22364,528
2/25/2021,23072,708
2/26/2021,23448,376
2/27/2021,23800,352
2/28/2021,23920,120
2/3/2021,24192,272
2/4/2021,24430,238
2/5/2021,25350,920
2/6/2021,27448,2098
2/7/2021,28918,1470
2/8/2021,29809,891
2/9/2021,29839,30
3/1/2021,30398,559
3/10/2021,30925,527
3/11/2021,32128,1203
3/12/2021,33775,1647
3/13/2021,34846,1071
3/14/2021,35867,1021
3/15/2021,35918,51
3/16/2021,36478,560
3/17/2021,37442,964
3/18/2021,39050,1608
3/19/2021,41190,2140
3/2/2021,42757,1567
3/20/2021,43585,828
3/21/2021,43615,30
3/22/2021,44560,945
3/23/2021,45491,931
3/24/2021,46469,978
3/25/2021,47854,1385
3/26/2021,48884,1030
3/27/2021,49798,914
3/28/2021,49832,34
3/29/2021,50400,568
3/3/2021,50770,370
3/30/2021,51774,1004
3/31/2021,54183,2409
3/4/2021,55691,1508
3/5/2021,56726,1035
3/6/2021,56749,23
3/7/2021,57310,561
3/8/2021,57987,677
3/9/2021,59447,1460
4/1/2021,61725,2278
4/10/2021,63096,1371
4/11/2021,64414,1318
4/12/2021,64461,47
4/13/2021,65162,701
4/14/2021,66089,927
4/15/2021,67741,1652
4/16/2021,69426,1685
4/17/2021,70558,1132
4/18/2021,71343,785
4/19/2021,71431,88
4/2/2021,72144,713
4/20/2021,72697,553
4/21/2021,73825,1128
4/22/2021,75985,2160
4/23/2021,77143,1158
4/24/2021,78473,1330
4/25/2021,78513,40
4/26/2021,79163,650
4/27/2021,79688,525
4/28/2021,80689,1001
4/29/2021,82182,1493
4/3/2021,83203,1021
4/30/2021,84034,831
4/4/2021,84065,31
4/5/2021,84569,504
4/6/2021,85080,511
4/7/2021,86096,1016
4/8/2021,87122,1026
4/9/2021,87809,687
5/1/2021,88287,478
5/10/2021,88310,23
5/11/2021,88611,301
5/12/2021,89089,478
5/13/2021,90034,945
5/14/2021,91073,1039
5/15/2021,91798,725
5/16/2021,92262,464
5/17/2021,92291,29
5/18/2021,92632,341
5/19/2021,92947,315
5/2/2021,93720,773
5/20/2021,94992,1272
5/21/2021,95523,531
5/22/2021,95838,315
5/23/2021,95894,56
5/24/2021,96340,446
5/25/2021,96812,472
5/26/2021,97623,811
5/27/2021,98400,777
5/28/2021,99119,719
5/29/2021,99461,342
5/3/2021,99521,60
5/30/2021,99937,416
5/31/2021,100233,296
5/4/2021,100675,442
5/5/2021,101334,659
5/6/2021,101909,575
5/7/2021,102003,94
5/8/2021,102064,61
5/9/2021,102129,65
6/1/2021,102459,330
6/10/2021,102888,429
6/11/2021,103489,601
6/12/2021,103990,501
6/13/2021,104130,140
